week,pos,score,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtopN,dMAE
1,RB,pts_pp,32,1,0.6680722591971866,,,-2.4843468142636356,7.654157244469202,9.689073269087451,0.6815321275321353,"+0.127 [+0.003,+0.279]",,-0.7854133989751979
1,RB,z,32,1,0.6128884639122378,,,,,,,"+0.072 [-0.011,+0.207]",,
1,RB,z_pp,32,1,0.6282885928289678,,,,,,,"+0.087 [-0.024,+0.231]",,
1,WR,ours,39,1,0.41162179422364054,,,-0.5434012854993474,6.587788912913973,8.844029652176927,0.46352638897840265,,,
1,WR,ecr_only,39,1,0.3520955731209596,,,,,,,"-0.060 [-0.236,+0.124]",,
1,WR,ecr_pts_only,39,1,0.3417894982363212,,,0.013267369633094625,6.920817602394305,9.17846779601837,0.33979402147959914,"-0.070 [-0.281,+0.099]",,0.33302868948033204
1,WR,rank,39,1,0.4041335919428269,,,,,,,"-0.007 [-0.092,+0.075]",,
1,WR,rank_pp,39,1,0.4041335919428269,,,,,,,"-0.007 [-0.078,+0.084]",,
1,WR,pts,39,1,0.4064588056586121,,,-0.15373322690663818,6.75312021942012,9.031559776008143,0.3825707258504119,"-0.005 [-0.144,+0.142]",,0.1653313065061477
1,WR,pts_pp,39,1,0.4064588056586121,,,-0.15373322690663818,6.75312021942012,9.031559776008143,0.3825707258504119,"-0.005 [-0.148,+0.146]",,0.1653313065061477
1,WR,z,39,1,0.4100020331052002,,,,,,,"-0.002 [-0.082,+0.074]",,
1,WR,z_pp,39,1,0.4053452198896844,,,,,,,"-0.006 [-0.090,+0.091]",,
1,TE,ours,15,1,-0.09123449303248202,,,0.4234049228346519,5.888541816749633,7.583438704624986,0.1429395830732892,,,
1,TE,ecr_only,15,1,0.09123449303248202,,,,,,,"+0.182 [-0.166,+0.692]",,
1,TE,ecr_pts_only,15,1,0.08040012783803044,,,0.09166832090903115,5.474718063643299,7.624192367172803,0.18115915721060785,"+0.172 [-0.239,+0.612]",,-0.41382375310633446
1,TE,rank,15,1,0.0018018281252683776,,,,,,,"+0.093 [-0.105,+0.355]",,
1,TE,rank_pp,15,1,0.06976755349542742,,,,,,,"+0.161 [-0.184,+0.473]",,
1,TE,pts,15,1,0.10196796280100931,,,0.19118930148671728,5.59445233167898,7.572230971655625,0.17710206432111644,"+0.193 [-0.172,+0.534]",,-0.29408948507065347
1,TE,pts_pp,15,1,0.08040012783803044,,,0.09166832090903115,5.474718063643299,7.624192367172803,0.18115915721060785,"+0.172 [-0.263,+0.579]",,-0.41382375310633446
1,TE,z,15,1,0.07334537675160317,,,,,,,"+0.165 [-0.044,+0.450]",,
1,TE,z_pp,15,1,0.0626119069830759,,,,,,,"+0.154 [-0.274,+0.604]",,
2,skill,ours,127,4,0.2410866059978942,16.661666666666665,0.5,1.6566798076521363,5.9595552671091125,7.446335940035101,0.4666072346702913,,,
2,skill,ecr_only,127,4,0.36311642003650013,15.406666666666668,0.4166666666666667,,,,,"+0.122 [-0.032,+0.284]",-1.2549999999999972,
2,skill,ecr_pts_only,127,4,0.37902365760023116,15.406666666666668,0.4166666666666667,2.241330763389882,5.856932579801178,7.27129853173516,0.5380989490710636,"+0.138 [+0.001,+0.305]",-1.2549999999999972,-0.10262268730793433
2,skill,rank,127,4,0.32243562845952156,15.406666666666668,0.4166666666666667,,,,,"+0.081 [+0.007,+0.182]",-1.2549999999999972,
2,skill,rank_pp,127,4,0.36112048488380183,16.661666666666665,0.5,,,,,"+0.120 [+0.001,+0.244]",0.0,
2,skill,pts,127,4,0.3587624865342844,15.406666666666668,0.4166666666666667,2.0659354766685585,5.861005053357028,7.267110913678302,0.5290861271793958,"+0.118 [-0.010,+0.247]",-1.2549999999999972,-0.09855021375208484
2,skill,pts_pp,127,4,0.378510247827727,16.661666666666665,0.5,1.7935425301658872,5.817435226662333,7.251253884483147,0.5185823022149015,"+0.137 [-0.000,+0.285]",0.0,-0.1421200404467795
2,skill,z,127,4,0.33036977665369993,15.406666666666668,0.4166666666666667,,,,,"+0.089 [-0.023,+0.194]",-1.2549999999999972,
2,skill,z_pp,127,4,0.3703020106044691,16.661666666666665,0.5,,,,,"+0.129 [+0.008,+0.276]",0.0,
2,QB,ours,25,1,0.10348144065244325,16.661666666666665,0.5,0.005511786089697352,6.57125473194608,7.44356957882322,0.1704421268563507,,,
2,QB,ecr_only,25,1,0.0353914220818765,15.406666666666668,0.4166666666666667,,,,,"-0.068 [-0.237,+0.101]",-1.2549999999999972,
2,QB,ecr_pts_only,25,1,0.0738330398212226,15.406666666666668,0.4166666666666667,1.861403042527156,6.827720389465931,7.632865291848703,0.24030172277063716,"-0.030 [-0.192,+0.154]",-1.2549999999999972,0.2564656575198505
2,QB,rank,25,1,0.07547172049373983,15.406666666666668,0.4166666666666667,,,,,"-0.028 [-0.142,+0.078]",-1.2549999999999972,
2,QB,rank_pp,25,1,0.10348144065244325,16.661666666666665,0.5,,,,,"+0.000 [+0.000,+0.000]",0.0,
2,QB,pts,25,1,0.07809194220240141,15.406666666666668,0.4166666666666667,1.3046356655959184,6.719227735014093,7.463561070942118,0.2267045426089951,"-0.025 [-0.176,+0.113]",-1.2549999999999972,0.14797300306801286
2,QB,pts_pp,25,1,0.10348144065244325,16.661666666666665,0.5,0.005511786089697352,6.57125473194608,7.44356957882322,0.1704421268563507,"+0.000 [+0.000,+0.000]",0.0,0.0
2,QB,z,25,1,0.0930948276501534,15.406666666666668,0.4166666666666667,,,,,"-0.010 [-0.118,+0.129]",-1.2549999999999972,
2,QB,z_pp,25,1,0.10348144065244325,16.661666666666665,0.5,,,,,"+0.000 [+0.000,+0.000]",0.0,
2,RB,ours,35,1,0.3990755046855833,,,3.086896913219369,4.480221873553629,5.555914118212024,0.4809713651151438,,,
2,RB,ecr_only,35,1,0.5167390441506201,,,,,,,"+0.118 [+0.001,+0.247]",,
2,RB,ecr_pts_only,35,1,0.5248431185080216,,,3.368427691517219,4.420366962707371,5.434128590500417,0.5712661404322115,"+0.126 [-0.004,+0.257]",,-0.0598549108462576
2,RB,rank,35,1,0.48297604509402675,,,,,,,"+0.084 [+0.011,+0.190]",,
2,RB,rank_pp,35,1,0.5086146569018437,,,,,,,"+0.110 [+0.011,+0.251]",,
2,RB,pts,35,1,0.5056730684152178,,,3.2839684580278643,4.4234408040648345,5.444297387674452,0.550223758011897,"+0.107 [-0.003,+0.254]",,-0.056781069488794245
2,RB,pts_pp,35,1,0.5056730684152178,,,3.2839684580278643,4.4234408040648345,5.444297387674452,0.550223758011897,"+0.107 [+0.010,+0.242]",,-0.056781069488794245
2,RB,z,35,1,0.4902647477709868,,,,,,,"+0.091 [+0.002,+0.214]",,
2,RB,z_pp,35,1,0.5076341274063018,,,,,,,"+0.109 [+0.007,+0.231]",,
2,WR,ours,53,1,0.43758704376611957,,,0.988268510962739,6.802160024554992,8.651241602305454,0.5157951940735125,,,
2,WR,ecr_only,53,1,0.5174966984214185,,,,,,,"+0.080 [-0.078,+0.233]",,
2,WR,ecr_pts_only,53,1,0.5293832796307278,,,1.4609572553893682,6.648459465486314,8.416296565433301,0.5761439722393562,"+0.092 [-0.048,+0.267]",,-0.1537005590686773
2,WR,rank,53,1,0.4979521962636964,,,,,,,"+0.060 [-0.035,+0.143]",,
2,WR,rank_pp,53,1,0.4979521962636964,,,,,,,"+0.060 [-0.020,+0.140]",,
2,WR,pts,53,1,0.5168512898022944,,,1.3191506320613795,6.672759336087289,8.450422344062652,0.5753527773958985,"+0.079 [-0.048,+0.190]",,-0.1294006884677028
2,WR,pts_pp,53,1,0.5168512898022944,,,1.3191506320613795,6.672759336087289,8.450422344062652,0.5753527773958985,"+0.079 [-0.033,+0.202]",,-0.1294006884677028
2,WR,z,53,1,0.47409296878532486,,,,,,,"+0.037 [-0.058,+0.119]",,
2,WR,z_pp,53,1,0.47405263074662957,,,,,,,"+0.036 [-0.063,+0.121]",,
2,TE,ours,14,1,0.024202434887430676,,,3.560065562562562,5.375707410600983,6.598701909715035,0.355322935442231,,,
2,TE,ecr_only,14,1,0.3828385154920852,,,,,,,"+0.359 [-0.170,+1.025]",,
2,TE,ecr_pts_only,14,1,0.38803519244095275,,,3.0563019391854924,4.718302323754906,5.7968872894841805,0.5635043571949824,"+0.364 [-0.143,+0.982]",,-0.6574050868460768
2,TE,rank,14,1,0.2333425519866234,,,,,,,"+0.209 [-0.094,+0.599]",,
2,TE,rank_pp,14,1,0.3344336457172239,,,,,,,"+0.310 [-0.104,+0.786]",,
2,TE,pts,14,1,0.3344336457172239,,,3.2074310261986136,4.849305389006759,5.929598516359599,0.5439764806852859,"+0.310 [-0.109,+0.789]",,-0.5264020215942242
2,TE,pts_pp,14,1,0.38803519244095275,,,3.0563019391854924,4.718302323754906,5.7968872894841805,0.5635043571949824,"+0.364 [-0.104,+0.939]",,-0.6574050868460768
