arm,pop,train,test,pos,score,w,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtn,dMAE,weeks
baseline,played,2020,2021,QB,z_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",469,16,0.48282570359675026,21.414479166666666,0.6145833333333333,,,,,"+0.000 [+0.000,+0.000]","+0.000 [+0.000,+0.000]",,16.0
baseline,played,2020,2021,RB,z_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",1244,16,0.6807988939756423,15.604062500000001,0.65625,,,,,"+0.020 [+0.008,+0.033]","+0.482 [+0.159,+0.795]",,16.0
baseline,played,2020,2021,WR,z_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",1875,16,0.6437871566480772,14.234583333333333,0.592013888888889,,,,,"+0.011 [+0.005,+0.017]","-0.021 [-0.118,+0.081]",,16.0
baseline,played,2020,2021,TE,z_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",917,16,0.594214474072387,11.864583333333334,0.5208333333333334,,,,,"+0.024 [+0.012,+0.036]","+0.144 [-0.037,+0.362]",,16.0
baseline,played,2021,2020,skill,ours,,3127,44,0.602319648391337,15.727058080808076,0.5539772727272727,-0.36813532339947486,4.9125986942217486,6.726039750321593,0.6501092154039042,,,,
baseline,played,2021,2020,QB,ours,,337,11,0.5793227640811648,22.501818181818184,0.5530303030303032,-0.781257407340659,6.557086900979712,8.137772715214679,0.5888985490535711,,,,
baseline,played,2021,2020,RB,ours,,860,11,0.6505061860008712,14.13030303030303,0.6022727272727274,-0.13955515656234374,4.72925777519405,6.705433036927156,0.5909876280397798,,,,
baseline,played,2021,2020,WR,ours,,1302,11,0.610432034349141,15.121868686868687,0.5984848484848485,-0.3817743211724237,5.187336833396272,7.02670582813142,0.5826583779797292,,,,
baseline,played,2021,2020,TE,ours,,628,11,0.5690176091341708,11.154242424242424,0.46212121212121215,-0.43119077895898833,3.7115980691917474,5.07793362525143,0.5839800287273158,,,,
baseline,played,2021,2020,skill,ecr_only,,3127,44,0.600491535008234,15.799968434343434,0.5625,,,,,"-0.002 [-0.011,+0.010]","+0.073 [-0.213,+0.335]",,11.0
baseline,played,2021,2020,QB,ecr_only,,337,11,0.5270949760148088,22.44757575757576,0.5606060606060607,,,,,"-0.052 [-0.085,-0.018]","-0.054 [-0.859,+0.765]",,11.0
baseline,played,2021,2020,RB,ecr_only,,860,11,0.6761798650248058,14.362500000000004,0.6212121212121212,,,,,"+0.026 [+0.009,+0.041]","+0.232 [-0.134,+0.594]",,11.0
baseline,played,2021,2020,WR,ecr_only,,1302,11,0.6203901368722922,14.836313131313132,0.5833333333333333,,,,,"+0.010 [-0.002,+0.020]","-0.286 [-0.689,+0.080]",,11.0
baseline,played,2021,2020,TE,ecr_only,,628,11,0.5783011621210293,11.55348484848485,0.4848484848484849,,,,,"+0.009 [-0.012,+0.027]","+0.399 [+0.023,+0.751]",,11.0
