slate,rank,pts,pct,cash,stack,bb,split,dst_own,dst_opp_total,dst_sal,own_sum,n_low,n_chalk,sal,flex_pos,entry,mine,stack_bin,bb_bin,dst_tier,dst_opp_tier,own_q,sal_bin
wk1_main,77,216.44,0.995198989260897,True,2,1,3-3,1.0,23.39,2700,120.59,2,2,50000,RB,Dr_Two_Inch,False,2,1,<5%,high O/U,Q3,>49.9k
wk1_main,78,216.34,0.9951358180669615,True,2,1,3-3,18.06,15.69,3400,131.67,1,2,49800,RB,arturobandini8,False,2,1,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,79,216.1,0.9950726468730259,True,1,2,2-4,11.05,17.17,3300,146.09,0,3,50000,RB,ELI-te,False,1,2,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,80,215.8,0.9950094756790904,True,1,0,2-4,1.37,23.61,2600,61.86,3,0,50000,RB,jbone800,False,1,0,<5%,high O/U,Q1 low,>49.9k
wk1_main,80,215.8,0.9950094756790904,True,3,2,4-2,11.05,17.17,3300,130.01,2,2,50000,RB,Coltrocky,False,3,2,5-12%,low O/U,Q3,>49.9k
wk1_main,82,215.65999,0.9948831332912192,True,1,0,2-4,4.5,19.17,3100,102.06,3,2,50000,RB,seforbes41,False,1,0,<5%,mid,Q2,>49.9k
wk1_main,83,215.4,0.9948199620972836,True,2,2,3-3,15.21,20.06,2500,165.49,0,3,50000,WR,Glockoma1,False,2,2,12-25%,mid,Q4 chalk,>49.9k
wk1_main,83,215.4,0.9948199620972836,True,2,1,3-3,18.06,15.69,3400,106.65,0,1,49900,WR,BadRebel,False,2,1,12-25%,low O/U,Q2,49.6-49.9k
wk1_main,85,215.35999,0.9946936197094125,True,1,1,2-4,4.5,19.17,3100,78.55,5,1,50000,RB,mikk17,False,1,1,<5%,mid,Q1 low,>49.9k
wk1_main,86,215.34,0.994630448515477,True,2,1,3-3,2.2,21.69,2700,131.96,2,2,50000,RB,Jboyle23,False,2,1,<5%,high O/U,Q3,>49.9k
wk1_main,86,215.33998,0.994630448515477,True,1,0,2-4,15.21,20.06,2500,150.67,1,2,50000,RB,TexasShiner,False,1,0,12-25%,mid,Q4 chalk,>49.9k
wk1_main,88,215.31999,0.9945041061276058,True,1,0,2-4,11.05,17.17,3300,97.82,1,1,49800,RB,CABigfoot,False,1,0,5-12%,low O/U,Q2,49.6-49.9k
wk1_main,89,215.03998,0.9944409349336703,True,1,1,2-4,1.66,22.61,3000,130.82999999999998,2,2,50000,RB,hangin1,False,1,1,<5%,high O/U,Q3,>49.9k
wk1_main,90,214.79999,0.9943777637397346,True,3,1,4-2,11.05,17.17,3300,137.8,1,2,50000,RB,booradley5,False,3,1,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,91,214.59999,0.9943145925457991,True,1,0,2-4,11.05,17.17,3300,136.64,0,3,50000,RB,Bboy1000,False,1,0,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,92,214.54,0.9942514213518635,True,2,3,3-3,15.21,20.06,2500,113.39,1,1,50000,RB,thomacw05,False,2,2,12-25%,mid,Q3,>49.9k
wk1_main,93,214.40001,0.994188250157928,True,1,0,2-4,1.0,23.39,2700,81.25,3,1,49900,WR,ButchHuskey,False,1,0,<5%,high O/U,Q1 low,49.6-49.9k
wk1_main,94,214.20001,0.9941250789639924,True,1,2,2-4,11.05,17.17,3300,149.13,0,3,49800,WR,Confusion9,False,1,2,5-12%,low O/U,Q4 chalk,49.6-49.9k
wk1_main,95,214.16,0.9940619077700569,True,0,0,2-4,15.21,20.06,2500,102.50999999999999,2,1,49900,RB,Hornberger86,False,0,0,12-25%,mid,Q2,49.6-49.9k
