player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0036425,DeeJay Dallas,RB,MIN,4200,44220406,3.7868,3.7868,1.0,0.9856106018278047,3.732287181607575,TB,21.94,42.5,2.0,1.0,5.3845,statline_mc+recal_10_4b,0.7728309682693469,8.053777938193146,0.0,0.0,0.0,1.83825,7.620408119695612,0.05525,1.32375,1.008,7.719917808399851,0.032,3.073282592809546,0.6590045887980289,2.1,,50.43320519697241,0.24272405484929976,0.4364398567768022,,classic,True
00-0041395,Eli Raridon,TE,NE,2900,44221160,3.8952,3.8952,1.0,0.9532660424241574,3.71311847590298,JAX,21.22,45.39,2.0,1.0,4.7403,statline_mc+recal_10_4b,1.319189511142823,8.224504308103217,0.0,0.0,0.0,0.0,0.0,0.0,1.30725,0.89725,9.549289647601569,0.089,2.393928964760157,1.319189511142823,5.6,,62.01982920827905,0.35795681135646223,1.1243348043432864,,classic,True
00-0041067,Bryce Lance,WR,NO,3000,44220800,3.5145,3.5145,1.0,1.0556904805357068,3.710266087821377,LV,23.5,43.89,2.0,1.0,5.6881,statline_mc+recal_10_4b,0.3656651581224204,8.770696876343575,0.0,0.0,0.0,0.01725,0.14971340679109155,0.0005,1.835,1.155,15.998795890198478,0.08625,3.3446009296989567,0.3656651581224204,4.5,,58.32848282736301,0.3914891207318757,1.4605484025804931,,classic,True
00-0035891,Cody White,WR,LV,3200,44220788,4.0323,4.0323,1.0,0.9159799531116197,3.6934608833261677,NO,20.39,43.89,2.0,1.0,5.3,statline_mc+recal_10_4b,0.9999531795739447,8.44676460582053,0.0,0.0,0.0,0.01775,0.1337566829858996,0.00075,1.577,0.9655,11.316320354536328,0.09275,2.693507703752223,0.9999531795739447,8.2,,48.88236343723466,0.43875465818382486,0.8379120817586941,,classic,True
00-0040691,Jaxson Dart,QB,NYG,5900,44220226,3.7351,3.7351,1.0,0.9546137323993094,3.565622417311003,TEN,21.25,39.61,2.0,1.0,6.8757,statline_mc+recal_10_4b,1.5847210743604458,8.1450328957865,0.0,0.0,0.0,3.3935,13.669013429505572,0.13225,0.0,0.0,0.0,0.0,1.980901342950557,1.5847210743604458,13.7,,55.29148042195601,0.40871445240403287,0.694718536997655,,classic,True
00-0041529,Kevin Coleman Jr.,WR,MIA,3000,44221028,4.5693,4.5693,1.0,0.7798632656212711,3.5634548919161513,KC,17.36,46.11,1.0,0.5,4.7943,statline_mc+recal_10_4b,1.5837577297405117,6.462603280036685,0.0,0.0,0.0,0.031,0.13547338094925593,0.00025,1.4065,0.816,8.133998240807143,0.05425,1.9796971621756396,1.5837577297405117,0.0,,32.497950712501385,0.2015104123887062,0.31961725340344704,,classic,True
00-0036265,AJ Dillon,RB,CAR,4000,44220502,3.5374,3.5374,1.0,1.0044782614799321,3.5532240046903056,CLE,22.36,41.94,2.0,1.0,5.5572,statline_mc+recal_10_4b,0.9177163070109704,8.235602772174605,0.0,0.0,0.0,4.0375,15.99985583523931,0.10675,0.3425,0.262,2.03735199153319,0.01,2.77922078267725,0.7740032220130555,1.3,,49.598108747044925,0.2284681499309628,0.4045327597758278,,classic,True
00-0032951,Laquon Treadwell,WR,IND,3100,44220798,3.9815,3.9815,1.0,0.8921707635506017,3.5521512095886694,HOU,19.86,42.56,2.0,1.0,5.6454,statline_mc+recal_10_4b,0.2614709281949499,8.399627708725156,0.0,0.0,0.0,0.0235,0.18015586974187323,0.001,1.96325,1.23125,15.079146944195319,0.08125,3.2906802813937195,0.2614709281949499,4.6,,45.74137368790225,0.3309966096843586,0.6965566169464257,,classic,True
00-0041132,Deion Burks,WR,IND,3300,44220772,3.9494,3.9494,1.0,0.8921707635506017,3.5235377175071108,HOU,19.86,42.56,1.0,0.5,5.2594,statline_mc+recal_10_4b,1.3299575234072698,7.54149213814299,0.0,0.0,0.0,0.45025,2.5812318618355903,0.015,1.118,0.67125,8.312070079162819,0.054,2.193580194099841,1.3299575234072698,0.7,,31.230690397228745,0.20818684005447846,0.2966578552977493,,classic,True
00-0040886,Nick Singleton,RB,TEN,4000,44220608,4.2539,4.2539,1.0,0.8247862647930033,3.5085313420204027,NYG,18.36,39.61,1.0,0.5,4.9108,statline_mc+recal_10_4b,1.4721207068052096,6.79361890544103,0.0,0.0,0.0,2.54675,8.468650981954392,0.05275,0.6825,0.5095,3.393388524198071,0.01625,2.104953950615247,1.4035773914051557,1.0,,25.495122251028075,0.1979279500941997,0.045220572676187044,,classic,True
