site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039424,Devaughn Vele,WR,,classic,3.301435694019688,19.9,16.59856430598031,16.59856430598031,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038597,Chase Brown,RB,,classic,13.535095225380346,18.8,5.264904774619655,5.264904774619655,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034351,Dallas Goedert,TE,,classic,12.951758762453792,23.7,10.748241237546209,10.748241237546209,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038563,Tre Tucker,WR,,classic,8.278714118741576,4.7,-3.5787141187415754,3.5787141187415754,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039064,Zay Flowers,WR,,classic,14.931773471549878,29.0,14.068226528450122,14.068226528450122,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036223,Jonathan Taylor,RB,,classic,15.781346558821948,26.1,10.318653441178052,10.318653441178052,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036410,Tee Higgins,WR,,classic,9.24431884397184,8.9,-0.3443188439718394,0.3443188439718394,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036275,D'Andre Swift,RB,,classic,12.34292898713188,35.4,23.05707101286812,23.05707101286812,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_CLE,Browns,DST,,classic,6.13579221,0.0,-6.13579221,6.13579221,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0033106,Jared Goff,QB,,classic,18.342062949007893,16.44,-1.902062949007892,1.902062949007892,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040122,Ashton Jeanty,RB,,classic,12.509051417433511,35.7,23.19094858256649,23.19094858256649,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034855,Baker Mayfield,QB,,classic,15.61896700756827,14.64,-0.9789670075682686,0.9789670075682686,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035228,Kyler Murray,QB,,classic,9.202174500675918,0.62,-8.582174500675919,8.582174500675919,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038606,Parker Washington,WR,,classic,8.290815758403522,19.3,11.00918424159648,11.00918424159648,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039491,Jalen Coker,WR,,classic,8.867814570591298,36.8,27.932185429408698,27.932185429408698,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036973,Travis Etienne Jr.,RB,,classic,8.157761092166924,14.8,6.642238907833077,6.642238907833077,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
