Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
TE,Thomas Gordon (44138522),Thomas Gordon,44138522,CPT,300,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,CPT,Thomas Gordon,dk,300,thomas gordon,DET,TE,showdown,00-0040697,auto_exact,high
WR,Tyrell Shavers (44138523),Tyrell Shavers,44138523,CPT,300,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,OUT,CPT,Tyrell Shavers,dk,300,tyrell shavers,BUF,WR,showdown,00-0038679,auto_exact,high
RB,Isiah Pacheco (44138465),Isiah Pacheco,44138465,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,IR,FLEX,Isiah Pacheco,dk,200,isiah pacheco,DET,RB,showdown,00-0037197,auto_fallback_team_mismatch,medium
RB,Jabari Small (44138466),Jabari Small,44138466,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,FLEX,Jabari Small,dk,200,jabari small,DET,RB,showdown,00-0039652,auto_exact,high
WR,Skyler Bell (44138467),Skyler Bell,44138467,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,,FLEX,Skyler Bell,dk,200,skyler bell,BUF,WR,showdown,00-0041443,auto_exact,high
WR,Kendrick Law (44138468),Kendrick Law,44138468,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,IR,FLEX,Kendrick Law,dk,200,kendrick law,DET,WR,showdown,00-0041446,auto_exact,high
WR,Ja'Mori Maclin (44138469),Ja'Mori Maclin,44138469,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,,FLEX,Ja'Mori Maclin,dk,200,jamori maclin,BUF,WR,showdown,00-0041272,auto_exact,high
WR,Trent Sherfield Sr. (44138470),Trent Sherfield Sr.,44138470,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,,FLEX,Trent Sherfield Sr.,dk,200,trent sherfield,BUF,WR,showdown,00-0034487,auto_fallback_team_mismatch,medium
WR,Stephen Gosnell (44138471),Stephen Gosnell,44138471,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,,FLEX,Stephen Gosnell,dk,200,stephen gosnell,BUF,WR,showdown,00-0040361,auto_exact,high
WR,Lucky Jackson (44138472),Lucky Jackson,44138472,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,FLEX,Lucky Jackson,dk,200,lucky jackson,DET,WR,showdown,00-0038181,auto_exact,high
WR,Dominic Lovett (44138473),Dominic Lovett,44138473,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,FLEX,Dominic Lovett,dk,200,dominic lovett,DET,WR,showdown,00-0040241,auto_exact,high
TE,Jackson Meeks (44138474),Jackson Meeks,44138474,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,FLEX,Jackson Meeks,dk,200,jackson meeks,DET,TE,showdown,00-0040390,auto_exact,high
TE,Keleki Latu (44138475),Keleki Latu,44138475,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,,FLEX,Keleki Latu,dk,200,keleki latu,BUF,TE,showdown,00-0040363,auto_exact,high
TE,Thomas Gordon (44138476),Thomas Gordon,44138476,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,DET,0.0,,FLEX,Thomas Gordon,dk,200,thomas gordon,DET,TE,showdown,00-0040697,auto_exact,high
WR,Tyrell Shavers (44138477),Tyrell Shavers,44138477,FLEX,200,DET@BUF 09/17/2026 08:15PM ET,BUF,0.0,OUT,FLEX,Tyrell Shavers,dk,200,tyrell shavers,BUF,WR,showdown,00-0038679,auto_exact,high
