Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
TE,Drake Dabney (44225968),Drake Dabney,44225968,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Drake Dabney,dk,300,drake dabney,GB,TE,showdown,00-0040628,auto_exact,high
TE,Nick Muse (44225969),Nick Muse,44225969,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Nick Muse,dk,300,nick muse,ATL,TE,showdown,00-0037317,auto_exact,high
TE,Luke Musgrave (44225970),Luke Musgrave,44225970,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,OUT,CPT,Luke Musgrave,dk,300,luke musgrave,GB,TE,showdown,00-0039144,auto_exact,high
RB,Damon Bankston (44225900),Damon Bankston,44225900,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Damon Bankston,dk,200,damon bankston,GB,RB,showdown,00-0041139,auto_exact,high
RB,Trey Sermon (44225901),Trey Sermon,44225901,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,IR,FLEX,Trey Sermon,dk,200,trey sermon,ATL,RB,showdown,00-0036984,auto_fallback_team_mismatch,medium
RB,Cash Jones (44225902),Cash Jones,44225902,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Cash Jones,dk,200,cash jones,ATL,RB,showdown,00-0041191,auto_exact,high
RB,Khalil Herbert (44225903),Khalil Herbert,44225903,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Khalil Herbert,dk,200,khalil herbert,ATL,RB,showdown,00-0036906,auto_fallback_team_mismatch,medium
WR,Savion Williams (44225904),Savion Williams,44225904,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,IR,FLEX,Savion Williams,dk,200,savion williams,GB,WR,showdown,00-0040009,auto_exact,high
WR,Beaux Collins (44225905),Beaux Collins,44225905,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,IR,FLEX,Beaux Collins,dk,200,beaux collins,ATL,WR,showdown,00-0040432,auto_fallback_team_mismatch,medium
WR,Quincy Skinner Jr. (44225906),Quincy Skinner Jr.,44225906,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Quincy Skinner Jr.,dk,200,quincy skinner,GB,WR,showdown,00-0040553,auto_exact,high
