site,season,week,slate_id,slate_type,contest_id,contest_type,field_size,player_id,player_name,roster_role,slate_format,actual_ownership_pct,estimated_ownership_pct_at_lock,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0040735,Luther Burden III,,classic,10.72,3.516327909566092,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0038563,Tre Tucker,,classic,10.62,2.928885710827351,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0034351,Dallas Goedert,,classic,10.6,5.384661812451268,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0036275,D'Andre Swift,,classic,10.38,10.060213222401435,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0039064,Zay Flowers,,classic,9.78,12.63728813406115,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0040122,Ashton Jeanty,,classic,9.75,2.7525038130901955,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0036410,Tee Higgins,,classic,9.67,6.167608897572461,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0036973,Travis Etienne Jr.,,classic,8.52,3.9897176591575576,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0039491,Jalen Coker,,classic,8.16,5.062732104674228,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,,single_entry_gpp,15854,00-0038606,Parker Washington,,classic,7.959999999999999,2.509037108001386,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 15854-entry single-entry GPP, 2026-09-14",2026-09-14T12:14:40+00:00
