Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-226875,WR,Ja'seem,Ja'seem Reed,Reed,,0,4000,CHI@CAR,CAR,CHI,,,,,,WR/FLEX,Ja'seem Reed,fd,4000,jaseem reed,CAR,WR,classic,00-0040265,auto_exact,high
133104-225850,RB,J'Mari,J'Mari Taylor,Taylor,,0,4000,CLE@JAC,JAC,CLE,,,,,,RB/FLEX,J'Mari Taylor,fd,4000,jmari taylor,JAX,RB,classic,00-0041217,auto_exact,high
133104-138808,TE,Chase,Chase Curtis,Curtis,,0,4000,NYJ@TEN,NYJ,TEN,Q,Knee,,,,TE/FLEX,Chase Curtis,fd,4000,chase curtis,NYJ,TE,classic,00-0041237,auto_exact,high
133104-226878,TE,Carter,Carter Runyon,Runyon,0.2666666706403096,3,4000,MIA@LV,LV,MIA,IR,Undisclosed,,,,TE/FLEX,Carter Runyon,fd,4000,carter runyon,LV,TE,classic,00-0040488,auto_exact,high
133104-152128,WR,Dominic,Dominic Lovett,Lovett,0.0,1,4000,NO@DET,DET,NO,,,,,,WR/FLEX,Dominic Lovett,fd,4000,dominic lovett,DET,WR,classic,00-0040241,auto_exact,high
133104-87621,WR,A.T.,A.T. Perry,Perry,,0,4000,ATL@PIT,PIT,ATL,,,,,,WR/FLEX,A.T. Perry,fd,4000,at perry,PIT,WR,classic,,,
133104-71241,WR,Brandon,Brandon Johnson,Johnson,1.399999976158142,1,4000,ATL@PIT,PIT,ATL,,,,,,WR/FLEX,Brandon Johnson,fd,4000,brandon johnson,PIT,WR,classic,00-0037382,auto_exact,high
133104-104008,TE,Stephen,Stephen Carlson,Carlson,,0,4000,CHI@CAR,CHI,CAR,,,,,,TE/FLEX,Stephen Carlson,fd,4000,stephen carlson,CHI,TE,classic,00-0035039,auto_exact,high
133104-114252,WR,Xavier,Xavier Weaver,Weaver,1.4571428298950195,7,4000,ARI@LAC,ARI,LAC,Q,Hamstring,,,,WR/FLEX,Xavier Weaver,fd,4000,xavier weaver,ARI,WR,classic,00-0039521,auto_exact,high
133104-104019,TE,Matt,Matt Orzech,Orzech,0.0,2,4000,GB@MIN,GB,MIN,,,,,,TE/FLEX,Matt Orzech,fd,4000,matt orzech,GB,TE,classic,,,
133104-152154,WR,Kaden,Kaden Prather,Prather,,0,4000,GB@MIN,GB,MIN,,,,,,WR/FLEX,Kaden Prather,fd,4000,kaden prather,GB,WR,classic,00-0040239,auto_exact,high
133104-139870,WR,Sincere,Sincere Brown,Brown,,0,4000,ARI@LAC,LAC,ARI,IR,Undisclosed,,,,WR/FLEX,Sincere Brown,fd,4000,sincere brown,LAC,WR,classic,00-0041374,auto_exact,high
133104-152159,WR,Bryson,Bryson Green,Green,,0,4000,ARI@LAC,ARI,LAC,,,,,,WR/FLEX,Bryson Green,fd,4000,bryson green,ARI,WR,classic,,,
133104-176732,WR,Marcus,Marcus Sanders Jr.,Sanders Jr.,,0,4000,GB@MIN,MIN,GB,,,,,,WR/FLEX,Marcus Sanders Jr.,fd,4000,marcus sanders,MIN,WR,classic,00-0041352,auto_exact,high
133104-138854,WR,Ke'Shawn,Ke'Shawn Williams,Williams,0.0,11,4000,TB@CIN,CIN,TB,,,,,,WR/FLEX,Ke'Shawn Williams,fd,4000,keshawn williams,CIN,WR,classic,00-0040534,auto_exact,high
133104-129641,WR,Will,Will Sheppard,Sheppard,,0,4000,MIA@LV,MIA,LV,,,,,,WR/FLEX,Will Sheppard,fd,4000,will sheppard,MIA,WR,classic,00-0040753,auto_exact,high
133104-131694,TE,Luke,Luke Lachey,Lachey,,0,4000,GB@MIN,GB,MIN,Q,Foot,,,,TE/FLEX,Luke Lachey,fd,4000,luke lachey,GB,TE,classic,,,
133104-206447,RB,Max,Max Hurleman,Hurleman,,0,4000,ATL@PIT,PIT,ATL,,,,,,RB/FLEX,Max Hurleman,fd,4000,max hurleman,PIT,RB,classic,00-0040618,auto_fallback_name_only_position_mismatch,low
133104-95854,WR,Montrell,Montrell Washington,Washington,0.0,2,4000,BUF@HOU,HOU,BUF,,,,,,WR/FLEX,Montrell Washington,fd,4000,montrell washington,HOU,WR,classic,,,
133104-56947,TE,Chris,Chris Myarick,Myarick,,0,4000,MIA@LV,LV,MIA,,,,,,TE/FLEX,Chris Myarick,fd,4000,chris myarick,LV,TE,classic,00-0035345,auto_exact,high
133104-201342,RB,Chris,Chris Collier,Collier,0.2166666587193807,6,4000,MIA@LV,LV,MIA,IR,Undisclosed,,,,RB/FLEX,Chris Collier,fd,4000,chris collier,LV,RB,classic,00-0039244,auto_exact,high
133104-158338,WR,Max,Max Tomczak,Tomczak,,0,4000,BUF@HOU,BUF,HOU,,,,,,WR/FLEX,Max Tomczak,fd,4000,max tomczak,BUF,WR,classic,00-0041274,auto_exact,high
133104-167552,TE,Dae'Quan,Dae'Quan Wright,Wright,,0,4000,CLE@JAC,CLE,JAC,,,,,,TE/FLEX,Dae'Quan Wright,fd,4000,daequan wright,CLE,TE,classic,,,
133104-135812,WR,Quentin,Quentin Skinner,Skinner,3.5,1,4000,BUF@HOU,BUF,HOU,,,,,,WR/FLEX,Quentin Skinner,fd,4000,quentin skinner,BUF,WR,classic,00-0040406,auto_fallback_team_mismatch,medium
133104-141956,TE,Beau,Beau Gardner,Gardner,,0,4000,CHI@CAR,CHI,CAR,,,,,,TE/FLEX,Beau Gardner,fd,4000,beau gardner,CHI,TE,classic,00-0041167,auto_fallback_name_only_position_mismatch,low
133104-167561,WR,Antwane,Antwane Wells Jr.,Wells Jr.,,0,4000,ATL@PIT,ATL,PIT,,,,,,WR/FLEX,Antwane Wells Jr.,fd,4000,antwane wells,ATL,WR,classic,00-0040438,auto_exact,high
133104-135824,WR,Luke,Luke Grimm,Grimm,,0,4000,ARI@LAC,LAC,ARI,Q,Undisclosed,,,,WR/FLEX,Luke Grimm,fd,4000,luke grimm,LAC,WR,classic,,,
133104-245393,WR,Mante,Mante Morrow,Morrow,,0,4000,ARI@LAC,LAC,ARI,,,,,,WR/FLEX,Mante Morrow,fd,4000,mante morrow,LAC,WR,classic,,,
133104-64147,WR,Britain,Britain Covey,Covey,0.4285714285714285,7,4000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Britain Covey,fd,4000,britain covey,PHI,WR,classic,00-0037132,auto_exact,high
133104-93845,WR,Tay,Tay Martin,Martin,1.649999976158142,2,4000,NO@DET,DET,NO,,,,,,WR/FLEX,Tay Martin,fd,4000,tay martin,DET,WR,classic,00-0037524,auto_fallback_team_mismatch,medium
133104-152219,WR,Lewis,Lewis Bond,Bond,,0,4000,BUF@HOU,HOU,BUF,,,,,,WR/FLEX,Lewis Bond,fd,4000,lewis bond,HOU,WR,classic,00-0041467,auto_exact,high
133104-167588,WR,Jacoby,Jacoby Jones,Jones,3.0,1,4000,WAS@PHI,WAS,PHI,IR,Undisclosed,,,,WR/FLEX,Jacoby Jones,fd,4000,jacoby jones,WAS,WR,classic,00-0040317,auto_exact,high
133104-128681,TE,Caden,Caden Prieskorn,Prieskorn,,0,4000,CHI@CAR,CAR,CHI,,,,,,TE/FLEX,Caden Prieskorn,fd,4000,caden prieskorn,CAR,TE,classic,00-0040392,auto_exact,high
133104-94888,TE,Messiah,Messiah Swinson,Swinson,,0,4000,CLE@JAC,CLE,JAC,,,,,,TE/FLEX,Messiah Swinson,fd,4000,messiah swinson,CLE,TE,classic,00-0039275,auto_exact,high
133104-152232,WR,Jordan,Jordan Moore,Moore,,0,4000,TB@CIN,CIN,TB,,,,,,WR/FLEX,Jordan Moore,fd,4000,jordan moore,CIN,WR,classic,00-0040375,auto_exact,high
133104-185010,WR,DT,DT Sheffield,Sheffield,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,WR/FLEX,DT Sheffield,fd,4000,dt sheffield,NYJ,WR,classic,,,
