Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Matthew Golden (44096051),Matthew Golden,44096051,WR/FLEX,4700,GB@MIN 09/13/2026 04:25PM ET,GB,5.9,,Matthew Golden,dk,4700,matthew golden,GB,WR,classic,00-0040667,auto_exact,high
RB,Mike Washington Jr. (44095959),Mike Washington Jr.,44095959,RB/FLEX,4600,MIA@LV 09/13/2026 04:25PM ET,LV,0.0,,Mike Washington Jr.,dk,4600,mike washington,LV,RB,classic,00-0040878,auto_exact,high
RB,Kaytron Allen (44095961),Kaytron Allen,44095961,RB/FLEX,4600,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.0,,Kaytron Allen,dk,4600,kaytron allen,WAS,RB,classic,00-0041096,auto_exact,high
QB,Marcus Mariota (44095911),Marcus Mariota,44095911,QB,4500,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.3,,Marcus Mariota,dk,4500,marcus mariota,WAS,QB,classic,00-0032268,auto_exact,high
QB,J.J. McCarthy (44095912),J.J. McCarthy,44095912,QB,4500,GB@MIN 09/13/2026 04:25PM ET,MIN,13.9,,J.J. McCarthy,dk,4500,jj mccarthy,MIN,QB,classic,00-0039923,auto_exact,high
RB,Jaylen Wright (44095963),Jaylen Wright,44095963,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,5.2,,Jaylen Wright,dk,4500,jaylen wright,MIA,RB,classic,00-0039874,auto_exact,high
RB,Ollie Gordon II (44095965),Ollie Gordon II,44095965,RB/FLEX,4500,MIA@LV 09/13/2026 04:25PM ET,MIA,3.2,,Ollie Gordon II,dk,4500,ollie gordon,MIA,RB,classic,00-0040198,auto_exact,high
RB,Chris Brooks (44095967),Chris Brooks,44095967,RB/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,2.0,,Chris Brooks,dk,4500,chris brooks,GB,RB,classic,00-0038685,auto_exact,high
TE,Tucker Kraft (44096179),Tucker Kraft,44096179,TE/FLEX,4500,GB@MIN 09/13/2026 04:25PM ET,GB,15.4,,Tucker Kraft,dk,4500,tucker kraft,GB,TE,classic,00-0038996,auto_exact,high
RB,Trey Benson (44095969),Trey Benson,44095969,RB/FLEX,4400,ARI@LAC 09/13/2026 04:25PM ET,ARI,8.9,IR,Trey Benson,dk,4400,trey benson,ARI,RB,classic,00-0039921,auto_exact,high
RB,Demond Claiborne (44095971),Demond Claiborne,44095971,RB/FLEX,4400,GB@MIN 09/13/2026 04:25PM ET,MIN,0.0,,Demond Claiborne,dk,4400,demond claiborne,MIN,RB,classic,00-0041104,auto_exact,high
RB,Kaleb Johnson (44095973),Kaleb Johnson,44095973,RB/FLEX,4400,GB@MIN 09/13/2026 04:25PM ET,GB,0.9,,Kaleb Johnson,dk,4400,kaleb johnson,GB,RB,classic,00-0040142,auto_fallback_team_mismatch,medium
RB,Jeremy McNichols (44095975),Jeremy McNichols,44095975,RB/FLEX,4300,WAS@PHI 09/13/2026 04:25PM ET,WAS,4.3,IR,Jeremy McNichols,dk,4300,jeremy mcnichols,WAS,RB,classic,00-0033955,auto_exact,high
WR,Jalen Nailor (44096053),Jalen Nailor,44096053,WR/FLEX,4300,MIA@LV 09/13/2026 04:25PM ET,LV,6.1,,Jalen Nailor,dk,4300,jalen nailor,LV,WR,classic,00-0037291,auto_fallback_team_mismatch,medium
WR,Jauan Jennings (44096055),Jauan Jennings,44096055,WR/FLEX,4300,GB@MIN 09/13/2026 04:25PM ET,MIN,11.1,,Jauan Jennings,dk,4300,jauan jennings,MIN,WR,classic,00-0036259,auto_fallback_team_mismatch,medium
RB,James Conner (44095977),James Conner,44095977,RB/FLEX,4200,ARI@LAC 09/13/2026 04:25PM ET,ARI,11.1,IR,James Conner,dk,4200,james conner,ARI,RB,classic,00-0033553,auto_exact,high
