Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Matt Asiata,RB,MIN,3300,2873,RB,MIN@NYG,2.5666666666666664,rotoguru_gid,Matt Asiata,dk,3300,matt asiata,MIN,RB,00-0028198,auto_exact,high
C.J. Spiller,RB,SEA,0,2775,RB,SEA@NYJ,,rotoguru_gid,C.J. Spiller,dk,0,cj spiller,SEA,RB,00-0027861,auto_fallback_team_mismatch,medium
Spencer Ware,RB,KC,5700,2914,RB,KC@PIT,18.566666666666663,rotoguru_gid,Spencer Ware,dk,5700,spencer ware,KC,RB,00-0030414,auto_exact,high
LeGarrette Blount,RB,NE,5000,2721,RB,NE@BUF,19.6,rotoguru_gid,LeGarrette Blount,dk,5000,legarrette blount,NE,RB,00-0027325,auto_exact,high
DeAngelo Williams,RB,PIT,6200,2500,RB,PIT@KC,23.23333333333333,rotoguru_gid,DeAngelo Williams,dk,6200,deangelo williams,PIT,RB,00-0024242,auto_exact,high
Giovani Bernard,RB,CIN,4700,2889,RB,CIN@MIA,14.366666666666667,rotoguru_gid,Giovani Bernard,dk,4700,giovani bernard,CIN,RB,00-0030456,auto_exact,high
Jeremy Hill,RB,CIN,4100,2928,RB,CIN@MIA,13.233333333333334,rotoguru_gid,Jeremy Hill,dk,4100,jeremy hill,CIN,RB,00-0031301,auto_exact,high
Jay Ajayi,RB,MIA,4000,2998,RB,MIA@CIN,8.15,rotoguru_gid,Jay Ajayi,dk,4000,jay ajayi,MIA,RB,00-0031590,auto_exact,high
DeAndre Washington,RB,LV,3300,5449,RB,LV@BAL,5.6000000000000005,rotoguru_gid,DeAndre Washington,dk,3300,deandre washington,LV,RB,00-0032940,auto_exact,high
Matt Forte,RB,NYJ,6600,2613,RB,NYJ@SEA,20.933333333333334,rotoguru_gid,Matt Forte,dk,6600,matt forte,NYJ,RB,00-0026184,auto_exact,high
Tevin Coleman,RB,ATL,4500,2994,RB,ATL@CAR,20.566666666666663,rotoguru_gid,Tevin Coleman,dk,4500,tevin coleman,ATL,RB,00-0032058,auto_exact,high
Mike Gillislee,RB,BUF,3000,2894,RB,BUF@NE,3.8,rotoguru_gid,Mike Gillislee,dk,3000,mike gillislee,BUF,RB,00-0030433,auto_exact,high
Javorius Allen,RB,BAL,3000,5370,RB,BAL@LV,,rotoguru_gid,Javorius Allen,dk,3000,javorius allen,BAL,RB,00-0031577,auto_exact,high
Charles Sims,RB,TB,5600,2931,RB,TB@DEN,14.433333333333332,rotoguru_gid,Charles Sims,dk,5600,charles sims,TB,RB,00-0031390,auto_exact,high
Latavius Murray,RB,LV,4900,2899,RB,LV@BAL,15.7,rotoguru_gid,Latavius Murray,dk,4900,latavius murray,LV,RB,00-0030513,auto_exact,high
Zach Zenner,RB,DET,3000,5397,RB,DET@CHI,0.0,rotoguru_gid,Zach Zenner,dk,3000,zach zenner,DET,RB,00-0031665,auto_exact,high
Jacquizz Rodgers,RB,TB,3000,2818,RB,TB@DEN,3.1,rotoguru_gid,Jacquizz Rodgers,dk,3000,jacquizz rodgers,TB,RB,00-0028083,auto_exact,high
Lance Dunbar,RB,DAL,3000,2880,RB,DAL@SF,4.633333333333333,rotoguru_gid,Lance Dunbar,dk,3000,lance dunbar,DAL,RB,00-0029004,auto_exact,high
Brandon Bolden,RB,NE,3000,2874,RB,NE@BUF,0.1333333333333333,rotoguru_gid,Brandon Bolden,dk,3000,brandon bolden,NE,RB,00-0029239,auto_exact,high
Chris Johnson,RB,ARI,3400,2645,RB,ARI@LA,4.033333333333333,rotoguru_gid,Chris Johnson,dk,3400,chris johnson,ARI,RB,00-0026164,auto_exact,high
Alfred Morris,RB,DAL,3900,2871,RB,DAL@SF,6.433333333333334,rotoguru_gid,Alfred Morris,dk,3900,alfred morris,DAL,RB,00-0029141,auto_exact,high
Alfred Blue,RB,HOU,3100,2960,RB,HOU@TEN,0.9,rotoguru_gid,Alfred Blue,dk,3100,alfred blue,HOU,RB,00-0031075,auto_exact,high
Knile Davis,RB,KC,3000,2891,RB,KC@PIT,0.0,rotoguru_gid,Knile Davis,dk,3000,knile davis,KC,RB,00-0030280,auto_exact,high
Dexter McCluster,RB,SDG,3500,3953,RB,SDG@NO,2.9,rotoguru_gid,Dexter McCluster,dk,3500,dexter mccluster,SDG,RB,00-0027651,auto_fallback_name_only_position_mismatch,low
Jalen Richard,RB,LV,3400,5490,RB,LV@BAL,8.766666666666667,rotoguru_gid,Jalen Richard,dk,3400,jalen richard,LV,RB,00-0033025,auto_exact,high
Devontae Booker,RB,DEN,3000,5468,RB,DEN@TB,3.133333333333333,rotoguru_gid,Devontae Booker,dk,3000,devontae booker,DEN,RB,00-0032972,auto_exact,high
Chris Ivory,RB,JAX,3900,2741,RB,JAX@IND,3.3,rotoguru_gid,Chris Ivory,dk,3900,chris ivory,JAX,RB,00-0027531,auto_exact,high
Daniel Lasco,RB,NO,3000,5487,RB,NO@SDG,0.0,rotoguru_gid,Daniel Lasco,dk,3000,daniel lasco,NO,RB,00-0032804,auto_exact,high
Patrick DiMarco,RB,ATL,3000,2805,RB,ATL@CAR,0.6,rotoguru_gid,Patrick DiMarco,dk,3000,patrick dimarco,ATL,RB,00-0028581,auto_exact,high
Keith Smith,RB,DAL,3000,5492,RB,DAL@SF,0.6,rotoguru_gid,Keith Smith,dk,3000,keith smith,DAL,RB,00-0030968,auto_exact,high
Damien Williams,RB,MIA,3000,2957,RB,MIA@CIN,8.15,rotoguru_gid,Damien Williams,dk,3000,damien williams,MIA,RB,00-0030874,auto_exact,high
Robert Turbin,RB,IND,3000,2867,RB,IND@JAX,5.933333333333334,rotoguru_gid,Robert Turbin,dk,3000,robert turbin,IND,RB,00-0029273,auto_exact,high
Dwayne Washington,RB,DET,3800,5483,RB,DET@CHI,4.566666666666666,rotoguru_gid,Dwayne Washington,dk,3800,dwayne washington,DET,RB,00-0032450,auto_exact,high
Isaiah Pead,RB,MIA,3000,2860,RB,MIA@CIN,1.7,rotoguru_gid,Isaiah Pead,dk,3000,isaiah pead,MIA,RB,00-0029626,auto_exact,high
Shaun Draughn,RB,SF,3300,2875,RB,SF@DAL,4.966666666666667,rotoguru_gid,Shaun Draughn,dk,3300,shaun draughn,SF,RB,00-0028202,auto_exact,high
Jerome Felton,RB,BUF,3000,2624,RB,BUF@NE,0.0,rotoguru_gid,Jerome Felton,dk,3000,jerome felton,BUF,RB,00-0026286,auto_exact,high
Jay Prosch,RB,HOU,3000,2980,RB,HOU@TEN,0.0666666666666666,rotoguru_gid,Jay Prosch,dk,3000,jay prosch,HOU,RB,00-0031085,auto_exact,high
Kenyan Drake,RB,MIA,3600,5446,RB,MIA@CIN,5.533333333333334,rotoguru_gid,Kenyan Drake,dk,3600,kenyan drake,MIA,RB,00-0033118,auto_exact,high
Andre Ellington,RB,ARI,3200,2892,RB,ARI@LA,1.6333333333333335,rotoguru_gid,Andre Ellington,dk,3200,andre ellington,ARI,RB,00-0030287,auto_exact,high
Kapri Bibbs,RB,DEN,3000,2963,RB,DEN@TB,0.7666666666666666,rotoguru_gid,Kapri Bibbs,dk,3000,kapri bibbs,DEN,RB,00-0031102,auto_exact,high
Malcolm Johnson,RB,CLE,3000,4663,RB,CLE@WAS,1.4,rotoguru_gid,Malcolm Johnson,dk,3000,malcolm johnson,CLE,RB,00-0032068,auto_exact,high
Cameron Artis-Payne,RB,CAR,3400,2999,RB,CAR@ATL,6.8,rotoguru_gid,Cameron Artis-Payne,dk,3400,cameron artis payne,CAR,RB,00-0031599,auto_exact,high
Tim Hightower,RB,NO,3300,2604,RB,NO@SDG,1.6,rotoguru_gid,Tim Hightower,dk,3300,tim hightower,NO,RB,00-0026289,auto_exact,high
Mike Tolbert,RB,CAR,3000,2647,RB,CAR@ATL,2.7,rotoguru_gid,Mike Tolbert,dk,3000,mike tolbert,CAR,RB,00-0026069,auto_exact,high
Derrick Henry,RB,TEN,3500,5445,RB,TEN@HOU,5.6000000000000005,rotoguru_gid,Derrick Henry,dk,3500,derrick henry,TEN,RB,00-0032764,auto_exact,high
Jamaal Charles,RB,KC,5400,2629,RB,KC@PIT,,rotoguru_gid,Jamaal Charles,dk,5400,jamaal charles,KC,RB,00-0026213,auto_exact,high
Zach Line,RB,MIN,3000,2912,RB,MIN@NYG,0.0,rotoguru_gid,Zach Line,dk,3000,zach line,MIN,RB,00-0029931,auto_exact,high
Joique Bell,RB,CHI,0,2719,RB,CHI@DET,,rotoguru_gid,Joique Bell,dk,0,joique bell,CHI,RB,00-0027218,auto_fallback_team_mismatch,medium
Rob Kelley,RB,WAS,3400,5493,RB,WAS@CLE,0.7,rotoguru_gid,Rob Kelley,dk,3400,rob kelley,WAS,RB,00-0032371,auto_exact,high
Alex Collins,RB,SEA,3000,5450,RB,SEA@NYJ,2.55,rotoguru_gid,Alex Collins,dk,3000,alex collins,SEA,RB,00-0032426,auto_exact,high
Raheem Mostert,RB,CHI,3000,5414,RB,CHI@DET,,rotoguru_gid,Raheem Mostert,dk,3000,raheem mostert,CHI,RB,00-0031687,auto_fallback_team_mismatch,medium
