Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
TE,Kyle Pitts Sr. (43670350),Kyle Pitts Sr.,43670350,TE/FLEX,3700,ATL@PIT 07/30/2026 04:00PM ET,ATL,9.7,,Kyle Pitts Sr.,dk,3700,kyle pitts,ATL,TE,00-0036970,auto_exact,high
WR,Tyler Lockett (43670300),Tyler Lockett,43670300,WR/FLEX,3500,GB@TEN 07/30/2026 02:00PM ET,TEN,9.4,,Tyler Lockett,dk,3500,tyler lockett,TEN,WR,00-0032211,auto_fallback_team_mismatch,medium
WR,Ray-Ray McCloud III (43670302),Ray-Ray McCloud III,43670302,WR/FLEX,3400,ATL@PIT 07/30/2026 04:00PM ET,ATL,7.7,,Ray-Ray McCloud III,dk,3400,ray ray mccloud,ATL,WR,00-0034407,auto_fallback_team_mismatch,medium
TE,Pat Freiermuth (43670352),Pat Freiermuth,43670352,TE/FLEX,3400,ATL@PIT 07/30/2026 04:00PM ET,PIT,8.3,,Pat Freiermuth,dk,3400,pat freiermuth,PIT,TE,00-0036894,auto_exact,high
DST,Vikings (43670380),Vikings,43670380,DST,3400,MIN@TB 07/30/2026 12:00PM ET,MIN,2.6,,Vikings,dk,3400,vikings,MIN,DST,DST_MIN,team_defense,high
WR,Adam Thielen (43670304),Adam Thielen,43670304,WR/FLEX,3300,MIN@TB 07/30/2026 12:00PM ET,MIN,7.3,,Adam Thielen,dk,3300,adam thielen,MIN,WR,00-0030035,auto_fallback_team_mismatch,medium
DST,Packers (43670381),Packers,43670381,DST,3300,GB@TEN 07/30/2026 02:00PM ET,GB,3.2,,Packers,dk,3300,packers,GB,DST,DST_GB,team_defense,high
RB,Jordan Mason (43670238),Jordan Mason,43670238,RB/FLEX,3200,MIN@TB 07/30/2026 12:00PM ET,MIN,1.9,,Jordan Mason,dk,3200,jordan mason,MIN,RB,00-0037525,auto_exact,high
WR,Van Jefferson (43670306),Van Jefferson,43670306,WR/FLEX,3200,GB@TEN 07/30/2026 02:00PM ET,TEN,8.1,,Van Jefferson,dk,3200,van jefferson,TEN,WR,00-0036415,auto_exact,high
TE,Cade Otton (43670354),Cade Otton,43670354,TE/FLEX,3200,MIN@TB 07/30/2026 12:00PM ET,TB,9.1,,Cade Otton,dk,3200,cade otton,TB,TE,00-0038129,auto_exact,high
DST,Buccaneers (43670382),Buccaneers,43670382,DST,3200,MIN@TB 07/30/2026 12:00PM ET,TB,2.8,,Buccaneers,dk,3200,buccaneers,TB,DST,DST_TB,team_defense,high
RB,Rachaad White (43670240),Rachaad White,43670240,RB/FLEX,3100,MIN@TB 07/30/2026 12:00PM ET,TB,2.7,,Rachaad White,dk,3100,rachaad white,TB,RB,00-0037256,auto_exact,high
WR,Romeo Doubs (43670308),Romeo Doubs,43670308,WR/FLEX,3100,GB@TEN 07/30/2026 02:00PM ET,GB,2.2,,Romeo Doubs,dk,3100,romeo doubs,GB,WR,00-0037816,auto_exact,high
