Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
132913-152669,TE,Jameson,Jameson Geers,Geers,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jameson Geers,fd,8000,jameson geers,ARI,TE,showdown,00-0041366,auto_exact,high
132913-86113,WR,Ihmir,Ihmir Smith-Marsette,Smith-Marsette,0.4,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Ihmir Smith-Marsette,fd,8000,ihmir smith marsette,ARI,WR,showdown,00-0036635,auto_exact,high
132913-85986,TE,James,James Mitchell,Mitchell,1.433333396911621,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,James Mitchell,fd,8000,james mitchell,CAR,TE,showdown,00-0037282,auto_exact,high
132913-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,0.0,1,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Teagan Quitoriano,fd,8000,teagan quitoriano,ARI,TE,showdown,00-0037277,auto_fallback_team_mismatch,medium
132913-172646,RB,Trevor,Trevor Etienne,Etienne,0.4777777989705403,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Trevor Etienne,fd,8000,trevor etienne,CAR,RB,showdown,00-0040644,auto_exact,high
132913-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.1700000017881393,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Gardner Minshew II,fd,8000,gardner minshew,ARI,QB,showdown,00-0035289,auto_fallback_team_mismatch,medium
132913-91750,TE,Trey,Trey McBride,McBride,15.405881993910846,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Trey McBride,fd,8000,trey mcbride,ARI,TE,showdown,00-0037744,auto_exact,high
132913-40687,RB,James,James Conner,Conner,9.766666412353516,3,8000,12000,CAR@ARI,ARI,CAR,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX,FLEX,James Conner,fd,8000,james conner,ARI,RB,showdown,00-0033553,auto_exact,high
132913-79987,WR,David,David Moore,Moore,0.7333333492279053,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,David Moore,fd,8000,david moore,CAR,WR,showdown,00-0033589,auto_exact,high
132913-92020,QB,Kenny,Kenny Pickett,Pickett,1.6200000445048015,6,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Kenny Pickett,fd,8000,kenny pickett,CAR,QB,showdown,00-0038102,auto_fallback_team_mismatch,medium
