Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,DJ Moore (43727667),DJ Moore,43727667,WR/FLEX,5600,BUF@HOU 09/13/2026 01:00PM ET,BUF,10.8,,DJ Moore,dk,5600,dj moore,BUF,WR,classic,00-0034827,auto_fallback_team_mismatch,medium
WR,Parker Washington (43727669),Parker Washington,43727669,WR/FLEX,5600,CLE@JAX 09/13/2026 01:00PM ET,JAX,12.8,,Parker Washington,dk,5600,parker washington,JAX,WR,classic,00-0038606,auto_exact,high
QB,Kyler Murray (43727246),Kyler Murray,43727246,QB,5500,GB@MIN 09/13/2026 04:25PM ET,MIN,16.4,,Kyler Murray,dk,5500,kyler murray,MIN,QB,classic,00-0035228,auto_fallback_team_mismatch,medium
RB,Quinshon Judkins (43727363),Quinshon Judkins,43727363,RB/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,CLE,12.3,,Quinshon Judkins,dk,5500,quinshon judkins,CLE,RB,classic,00-0040784,auto_exact,high
RB,Chuba Hubbard (43727365),Chuba Hubbard,43727365,RB/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CAR,9.1,Q,Chuba Hubbard,dk,5500,chuba hubbard,CAR,RB,classic,00-0036555,auto_exact,high
WR,Brian Thomas Jr. (43727671),Brian Thomas Jr.,43727671,WR/FLEX,5500,CLE@JAX 09/13/2026 01:00PM ET,JAX,9.9,,Brian Thomas Jr.,dk,5500,brian thomas,JAX,WR,classic,00-0039893,auto_exact,high
WR,Luther Burden III (43727673),Luther Burden III,43727673,WR/FLEX,5500,CHI@CAR 09/13/2026 01:00PM ET,CHI,8.6,Q,Luther Burden III,dk,5500,luther burden,CHI,WR,classic,00-0040735,auto_exact,high
QB,Daniel Jones (43727247),Daniel Jones,43727247,QB,5400,BAL@IND 09/13/2026 01:00PM ET,IND,18.7,,Daniel Jones,dk,5400,daniel jones,IND,QB,classic,00-0035710,auto_exact,high
RB,Jordan Mason (43727367),Jordan Mason,43727367,RB/FLEX,5400,GB@MIN 09/13/2026 04:25PM ET,MIN,8.3,,Jordan Mason,dk,5400,jordan mason,MIN,RB,classic,00-0037525,auto_exact,high
RB,Jaylen Warren (43727369),Jaylen Warren,43727369,RB/FLEX,5400,ATL@PIT 09/13/2026 01:00PM ET,PIT,13.5,,Jaylen Warren,dk,5400,jaylen warren,PIT,RB,classic,00-0037228,auto_exact,high
