lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,site_player_id,stack_target
1,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
1,DEF,DST_HOU,Texans ,DEF,HOU,4000,2.615662992125984,BUF,,
1,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
1,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
1,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
1,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
1,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
1,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
1,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
2,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
2,DEF,DST_CLE,Browns ,DEF,CLE,3800,2.615512666666667,JAX,,
2,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
2,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
2,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
2,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
2,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
2,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
2,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
3,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
3,DEF,DST_DAL,Cowboys ,DEF,DAL,3400,2.423227853680035,NYG,,
3,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
3,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
3,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
3,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
