Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Keenan Allen (44191027),Keenan Allen,44191027,FLEX,5600,IND@KC 09/20/2026 08:20PM ET,IND,9.2,
WR,Xavier Worthy (44191028),Xavier Worthy,44191028,FLEX,5400,IND@KC 09/20/2026 08:20PM ET,KC,4.8,
RB,Emmett Johnson (44191087),Emmett Johnson,44191087,CPT,5400,IND@KC 09/20/2026 08:20PM ET,KC,8.8,
RB,Seth McGowan (44191088),Seth McGowan,44191088,CPT,5100,IND@KC 09/20/2026 08:20PM ET,IND,1,
K,Harrison Butker (44191029),Harrison Butker,44191029,FLEX,5000,IND@KC 09/20/2026 08:20PM ET,KC,7,
DST,Colts (44191089),Colts,44191089,CPT,4800,IND@KC 09/20/2026 08:20PM ET,IND,0,
K,Spencer Shrader (44191030),Spencer Shrader,44191030,FLEX,4600,IND@KC 09/20/2026 08:20PM ET,IND,7,
TE,Noah Gray (44191090),Noah Gray,44191090,CPT,4500,IND@KC 09/20/2026 08:20PM ET,KC,1.5,
DST,Chiefs (44191031),Chiefs,44191031,FLEX,4200,IND@KC 09/20/2026 08:20PM ET,KC,12,
WR,Cyrus Allen (44191091),Cyrus Allen,44191091,CPT,4200,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Tyquan Thornton (44191032),Tyquan Thornton,44191032,FLEX,3800,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Emmett Johnson (44191033),Emmett Johnson,44191033,FLEX,3600,IND@KC 09/20/2026 08:20PM ET,KC,8.8,
TE,Mo Alie-Cox (44191092),Mo Alie-Cox,44191092,CPT,3600,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Seth McGowan (44191034),Seth McGowan,44191034,FLEX,3400,IND@KC 09/20/2026 08:20PM ET,IND,1,
DST,Colts (44191035),Colts,44191035,FLEX,3200,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,Noah Gray (44191036),Noah Gray,44191036,FLEX,3000,IND@KC 09/20/2026 08:20PM ET,KC,1.5,
WR,Laquon Treadwell (44191093),Laquon Treadwell,44191093,CPT,3000,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Cyrus Allen (44191037),Cyrus Allen,44191037,FLEX,2800,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Mo Alie-Cox (44191038),Mo Alie-Cox,44191038,FLEX,2400,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,Jake Briningstool (44191094),Jake Briningstool,44191094,CPT,2400,IND@KC 09/20/2026 08:20PM ET,KC,1.9,
RB,DJ Giddens (44191095),DJ Giddens,44191095,CPT,2100,IND@KC 09/20/2026 08:20PM ET,IND,0,Q
WR,Laquon Treadwell (44191039),Laquon Treadwell,44191039,FLEX,2000,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Jalen Royals (44191096),Jalen Royals,44191096,CPT,1800,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Jake Briningstool (44191040),Jake Briningstool,44191040,FLEX,1600,IND@KC 09/20/2026 08:20PM ET,KC,1.9,
WR,Deion Burks (44191097),Deion Burks,44191097,CPT,1500,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,DJ Giddens (44191041),DJ Giddens,44191041,FLEX,1400,IND@KC 09/20/2026 08:20PM ET,IND,0,Q
WR,Jalen Royals (44191042),Jalen Royals,44191042,FLEX,1200,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Nikko Remigio (44191098),Nikko Remigio,44191098,CPT,1200,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Deion Burks (44191043),Deion Burks,44191043,FLEX,1000,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,Drew Ogletree (44191099),Drew Ogletree,44191099,CPT,900,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Nikko Remigio (44191044),Nikko Remigio,44191044,FLEX,800,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Drew Ogletree (44191045),Drew Ogletree,44191045,FLEX,600,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Brashard Smith (44191100),Brashard Smith,44191100,CPT,600,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Brashard Smith (44191046),Brashard Smith,44191046,FLEX,400,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Anderson Castle (44191101),Anderson Castle,44191101,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Davon Booth (44191102),Davon Booth,44191102,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Jaydn Ott (44191103),Jaydn Ott,44191103,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Nate Carter (44191104),Nate Carter,44191104,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Ben VanSumeren (44191105),Ben VanSumeren,44191105,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Nick Westbrook-Ikhine (44191106),Nick Westbrook-Ikhine,44191106,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Jimmy Holiday (44191107),Jimmy Holiday,44191107,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
WR,D.J. Montgomery (44191108),D.J. Montgomery,44191108,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
WR,Ashton Dulin (44191109),Ashton Dulin,44191109,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,OUT
WR,Jeff Caldwell (44191110),Jeff Caldwell,44191110,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
WR,Omari Evans (44191111),Omari Evans,44191111,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Anthony Gould (44191112),Anthony Gould,44191112,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Andrew Armstrong (44191113),Andrew Armstrong,44191113,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Carson Towt (44191114),Carson Towt,44191114,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
TE,Will Mallory (44191115),Will Mallory,44191115,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
TE,John Michael Gyllenborg (44191116),John Michael Gyllenborg,44191116,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
TE,Kenny Fletcher Jr. (44191117),Kenny Fletcher Jr.,44191117,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,James Winchester (44191118),James Winchester,44191118,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Thomas Odukoya (44191119),Thomas Odukoya,44191119,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Pharaoh Brown (44191120),Pharaoh Brown,44191120,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,Jared Wiley (44191121),Jared Wiley,44191121,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Anderson Castle (44191047),Anderson Castle,44191047,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Davon Booth (44191048),Davon Booth,44191048,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
RB,Jaydn Ott (44191049),Jaydn Ott,44191049,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Nate Carter (44191050),Nate Carter,44191050,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
RB,Ben VanSumeren (44191051),Ben VanSumeren,44191051,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
WR,Nick Westbrook-Ikhine (44191052),Nick Westbrook-Ikhine,44191052,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Jimmy Holiday (44191053),Jimmy Holiday,44191053,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
WR,D.J. Montgomery (44191054),D.J. Montgomery,44191054,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
WR,Ashton Dulin (44191055),Ashton Dulin,44191055,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,OUT
WR,Jeff Caldwell (44191056),Jeff Caldwell,44191056,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
WR,Omari Evans (44191057),Omari Evans,44191057,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
