Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Jalin Hyatt (44191220),Jalin Hyatt,44191220,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Charlie Jones (44191221),Charlie Jones,44191221,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Braxton Berrios (44191222),Braxton Berrios,44191222,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Alex Bachman (44191223),Alex Bachman,44191223,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Max Klare (44191224),Max Klare,44191224,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Dan Villari (44191225),Dan Villari,44191225,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Thomas Fidone II (44191226),Thomas Fidone II,44191226,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
TE,Ben Mann (44191227),Ben Mann,44191227,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Dean Connors (44191157),Dean Connors,44191157,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
RB,Grant Finley (44191158),Grant Finley,44191158,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Jordan Waters (44191159),Jordan Waters,44191159,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
RB,Phil Mafah (44191160),Phil Mafah,44191160,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Calvin Austin III (44191161),Calvin Austin III,44191161,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,IR
WR,Gunner Olszewski (44191162),Gunner Olszewski,44191162,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,IR
WR,CJ Daniels (44191163),CJ Daniels,44191163,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Xavier Smith (44191164),Xavier Smith,44191164,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Dalen Cambre (44191165),Dalen Cambre,44191165,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Brennan Presley (44191166),Brennan Presley,44191166,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Jalin Hyatt (44191167),Jalin Hyatt,44191167,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Charlie Jones (44191168),Charlie Jones,44191168,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Braxton Berrios (44191169),Braxton Berrios,44191169,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Alex Bachman (44191170),Alex Bachman,44191170,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Max Klare (44191171),Max Klare,44191171,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Dan Villari (44191172),Dan Villari,44191172,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Thomas Fidone II (44191173),Thomas Fidone II,44191173,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
TE,Ben Mann (44191174),Ben Mann,44191174,FLEX,200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
