Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134516-92859,WR,Jalen,Jalen Nailor,Nailor,2.799999952316284,2,5100,LV@NO,LV,NO,,,,,,WR/FLEX
134516-90912,RB,Kenny,Kenny Gainwell,Gainwell,2.6500000953674316,2,5100,MIN@TB,TB,MIN,,,,,,RB/FLEX
134516-151741,WR,Jack,Jack Bech,Bech,6.650000095367432,2,5000,LV@NO,LV,NO,,,,,,WR/FLEX
134516-138998,TE,Michael,Michael Mayer,Mayer,5,2,5000,LV@NO,LV,NO,,,,,,TE/FLEX
134516-120657,RB,Kendre,Kendre Miller,Miller,9,1,5000,LV@NO,NO,LV,,,,,,RB/FLEX
134516-94087,RB,DeeJay,DeeJay Dallas,Dallas,1.5499999523162842,2,5000,MIN@TB,MIN,TB,,,,,,RB/FLEX
134516-80289,WR,Kendrick,Kendrick Bourne,Bourne,6.800000190734863,2,5000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-120042,WR,Jalen,Jalen McMillan,McMillan,6.724999904632568,4,4900,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-12549,D,San Francisco,San Francisco 49ers,49ers,8,2,4900,ARI@SF,SF,ARI,,,,,,DEF
134516-33047,WR,Chris,Chris Moore,Moore,3.450000047683716,2,4900,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-86811,TE,Cade,Cade Otton,Otton,5.199999809265137,2,4900,MIN@TB,TB,MIN,,,,,,TE/FLEX
134516-92890,WR,Cody,Cody White,White,7.699999809265137,2,4800,LV@NO,LV,NO,,,,,,WR/FLEX
134516-156527,WR,Devontez,Devontez Walker,Walker,5.199999809265137,1,4800,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-94579,RB,Emari,Emari Demercado,Demercado,0.75,2,4800,BAL@DAL,DAL,BAL,,,,,,RB/FLEX
134516-154008,RB,Mike,Mike Washington Jr.,Washington Jr.,2.4000000953674316,2,4800,LV@NO,LV,NO,,,,,,RB/FLEX
134516-60957,WR,KaVontae,KaVontae Turpin,Turpin,0.699999988079071,2,4700,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-208430,WR,Bryce,Bryce Lance,Lance,3.5,2,4700,LV@NO,NO,LV,,,,,,WR/FLEX
134516-114530,WR,Jacob,Jacob Cowing,Cowing,0,2,4700,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-71705,TE,Noah,Noah Fant,Fant,11.300000190734863,1,4600,LV@NO,NO,LV,,,,,,TE/FLEX
134516-171217,RB,Demond,Demond Claiborne,Claiborne,0.699999988079071,1,4600,MIN@TB,MIN,TB,,,,,,RB/FLEX
134516-71521,RB,Justice,Justice Hill,Hill,3.049999952316284,2,4600,BAL@DAL,BAL,DAL,,,,,,RB/FLEX
134516-138649,WR,LaJohntay,LaJohntay Wester,Wester,2.200000047683716,2,4600,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-184917,WR,Elijah,Elijah Sarratt,Sarratt,,0,4500,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-137059,RB,Sean,Sean Tucker,Tucker,5.317647148581112,17,4500,MIN@TB,TB,MIN,,,,,,RB/FLEX
134516-185863,RB,Hunter,Hunter Luepke,Luepke,0.4000000059604645,2,4400,BAL@DAL,DAL,BAL,,,,,,RB/FLEX
134516-173066,RB,CJ,CJ Donaldson,Donaldson,0.44999998807907104,2,4300,LV@NO,NO,LV,,,,,,RB/FLEX
134516-183410,WR,Malik,Malik Benson,Benson,0.15000000596046448,2,4300,LV@NO,LV,NO,,,,,,WR/FLEX
134516-173241,WR,Barion,Barion Brown,Brown,0.15000000596046448,2,4300,LV@NO,NO,LV,,,,,,WR/FLEX
134516-12540,D,Minnesota,Minnesota Vikings,Vikings,12.5,2,4300,MIN@TB,MIN,TB,,,,,,DEF
134516-85842,TE,Brevyn,Brevyn Spann-Ford,Spann-Ford,1.2000000476837158,2,4300,BAL@DAL,DAL,BAL,,,,,,TE/FLEX
134516-134014,WR,Jordan,Jordan Watkins,Watkins,1.7999999523162842,2,4300,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-63907,TE,Josh,Josh Oliver,Oliver,3.049999952316284,2,4300,MIN@TB,MIN,TB,,,,,,TE/FLEX
134516-175021,RB,Jordan,Jordan James,James,1.5,1,4300,ARI@SF,SF,ARI,,,,,,RB/FLEX
134516-73176,TE,Luke,Luke Farrell,Farrell,1.4500000476837158,2,4300,ARI@SF,SF,ARI,,,,,,TE/FLEX
134516-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,9.699999809265137,1,4200,ARI@SF,SF,ARI,,,,,,RB/FLEX
134516-167950,TE,Oscar,Oscar Delp,Delp,1.2999999523162842,1,4200,LV@NO,NO,LV,,,,,,TE/FLEX
134516-201230,RB,Dylan,Dylan Laube,Laube,0,2,4200,LV@NO,LV,NO,,,,,,RB/FLEX
134516-42046,TE,Durham,Durham Smythe,Smythe,0.44999998807907104,2,4200,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-112192,WR,Jonathan,Jonathan Mingo,Mingo,1.5,1,4200,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,1.7000000476837158,1,4200,BAL@DAL,DAL,BAL,,,,,,TE/FLEX
134516-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,1.149999976158142,2,4200,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-72515,TE,Ian,Ian Thomas,Thomas,1.600000023841858,1,4200,LV@NO,LV,NO,,,,,,TE/FLEX
134516-169834,WR,Dareke,Dareke Young,Young,3.200000047683716,1,4200,LV@NO,LV,NO,Q,Hamstring,,,,WR/FLEX
134516-87432,WR,Cedric,Cedric Tillman,Tillman,4.125,12,4200,LV@NO,NO,LV,,,,,,WR/FLEX
134516-137139,WR,Myles,Myles Price,Price,0,2,4200,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-102986,TE,Elijah,Elijah Higgins,Higgins,0,1,4100,ARI@SF,ARI,SF,,,,,,TE/FLEX
134516-158916,TE,Bauer,Bauer Sharp,Sharp,0,1,4100,MIN@TB,TB,MIN,,,,,,TE/FLEX
134516-137488,RB,Rasheen,Rasheen Ali,Ali,0,2,4100,BAL@DAL,BAL,DAL,,,,,,RB/FLEX
134516-138039,TE,Matt,Matt Hibner,Hibner,1.7999999523162842,1,4100,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-201535,WR,Kameron,Kameron Johnson,Johnson,0,2,4100,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-91578,RB,Zamir,Zamir White,White,1.5199999809265137,5,4100,LV@NO,NO,LV,,,,,,RB/FLEX
134516-152537,WR,Tai,Tai Felton,Felton,0.4444444444444444,9,4100,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-89613,WR,Simi,Simi Fehoko,Fehoko,0,1,4000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-152593,WR,Harrison,Harrison Wallace III,Wallace III,,0,4000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-110616,TE,Treyton,Treyton Welch,Welch,0,1,4000,LV@NO,NO,LV,,,,,,TE/FLEX
134516-86047,RB,Malik,Malik Davis,Davis,4.733333163791233,9,4000,BAL@DAL,DAL,BAL,IR,Hip,,,,RB/FLEX
134516-103966,TE,Stone,Stone Smartt,Smartt,1.7399999618530273,5,4000,LV@NO,NO,LV,,,,,,TE/FLEX
134516-173606,WR,Dillon,Dillon Bell,Bell,,0,4000,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-138277,WR,Jalen,Jalen Brooks,Brooks,0,1,4000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-114224,WR,Kyrese,Kyrese Rowan,Rowan,,0,4000,LV@NO,NO,LV,,,,,,WR/FLEX
134516-226878,TE,Carter,Carter Runyon,Runyon,0.26666667064030963,3,4000,LV@NO,LV,NO,IR,Undisclosed,,,,TE/FLEX
