Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,JaQuae Jackson (43778638),JaQuae Jackson,43778638,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,0,
WR,Malik Turner (43778640),Malik Turner,43778640,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,0,
TE,Miles Kitselman (43778642),Miles Kitselman,43778642,TE/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0,IR
TE,Luke Lachey (43778644),Luke Lachey,43778644,TE/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0,IR
RB,Reggie Gilliam (43778646),Reggie Gilliam,43778646,RB/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,0.3,
RB,Riley Nowakowski (43778648),Riley Nowakowski,43778648,RB/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,0,
RB,Scott Matlock (43778650),Scott Matlock,43778650,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,0.7,
RB,Alec Ingold (43778652),Alec Ingold,43778652,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,0.8,
RB,Kyle Juszczyk (43778654),Kyle Juszczyk,43778654,RB/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,3.6,Q
RB,Connor Heyward (43778656),Connor Heyward,43778656,RB/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,1.5,
WR,Montrell Washington (43778658),Montrell Washington,43778658,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,0,
WR,Xavier Johnson (43778660),Xavier Johnson,43778660,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,0,
WR,Lawrence Keys III (43778662),Lawrence Keys III,43778662,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0,Q
WR,Lucky Jackson (43778664),Lucky Jackson,43778664,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,0,
WR,Kaden Prather (43778666),Kaden Prather,43778666,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0,
WR,Lance McCutcheon (43778668),Lance McCutcheon,43778668,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,0,
WR,Sahmir Hagans (43778670),Sahmir Hagans,43778670,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0,
WR,Liam Clifford (43778672),Liam Clifford,43778672,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0,
WR,Chase Roberts (43778674),Chase Roberts,43778674,WR/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,0,
WR,Nick DeGennaro (43778676),Nick DeGennaro,43778676,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,0,
