fetched_at_utc,rank,player,pos,team,game,salary,projection,value,wwo_slate_ids,our_salary,salary_match
2026-09-25T10:28:00+00:00,339,Dareke Young,WR,LV,LV @ NO,3000,1.09,0.36,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,340,Kameron Johnson,WR,TB,MIN @ TB,3000,1.07,0.36,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,343,Ian Thomas,TE,LV,LV @ NO,2500,0.84,0.34,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,362,Connor Heyward,RB,LV,LV @ NO,4000,1.11,0.28,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,365,Jonathan Mingo,WR,DAL,BAL @ DAL,3000,0.8,0.27,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,368,Elijah Sarratt,WR,BAL,BAL @ DAL,3400,0.91,0.27,"153773,153772,153771,153769",3400,1
2026-09-25T10:28:00+00:00,372,Sean Tucker,RB,TB,MIN @ TB,4000,1.01,0.25,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,373,Jordan James,RB,SF,ARI @ SF,4000,0.98,0.24,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,380,Myles Price,WR,MIN,MIN @ TB,3000,0.67,0.22,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,381,Hunter Long,TE,ARI,ARI @ SF,2500,0.53,0.21,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,387,Payne Durham,TE,TB,MIN @ TB,2500,0.49,0.2,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,390,Jalen Brooks,WR,ARI,ARI @ SF,3000,0.53,0.18,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,393,Ko Kieft,TE,TB,MIN @ TB,2500,0.44,0.18,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,396,Brayden Willis,TE,SF,ARI @ SF,2500,0.43,0.17,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,398,Tyler Goodson,RB,DAL,BAL @ DAL,4000,0.7,0.17,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,401,Rasheen Ali,RB,BAL,BAL @ DAL,4000,0.65,0.16,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,403,Devin Duvernay,WR,ARI,ARI @ SF,3000,0.48,0.16,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,404,Treyton Welch,TE,NO,LV @ NO,2500,0.41,0.16,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,411,Bauer Sharp,TE,TB,MIN @ TB,2500,0.34,0.14,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,412,Gavin Bartholomew,TE,MIN,MIN @ TB,2500,0.34,0.14,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,418,Max Bredeson,RB,MIN,MIN @ TB,4000,0.5,0.12,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,419,Reggie Virgil,WR,ARI,ARI @ SF,3000,0.36,0.12,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,421,Camden Brown,WR,DAL,BAL @ DAL,3000,0.34,0.11,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,422,Simi Fehoko,WR,ARI,ARI @ SF,3000,0.34,0.11,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,425,Dylan Laube,RB,LV,LV @ NO,4000,0.41,0.1,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,428,Bam Knight,RB,ARI,ARI @ SF,4000,0.32,0.08,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,581,Cedric Tillman,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,584,Easton Stick,QB,TB,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,585,Carson Beck,QB,ARI,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,586,Gardner Minshew II,QB,ARI,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,587,Kurtis Rourke,QB,SF,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,588,Mac Jones,QB,SF,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,589,J.J. McCarthy,QB,MIN,MIN @ TB,4100,0.0,0.0,"153772,153771,153769",4100,1
2026-09-25T10:28:00+00:00,590,Carson Wentz,QB,MIN,MIN @ TB,4600,0.0,0.0,"153772,153771,153769",4600,1
2026-09-25T10:28:00+00:00,591,Saints,DST,NO,LV @ NO,3300,0.0,0.0,"153773,153772,153771,153769",3300,1
2026-09-25T10:28:00+00:00,612,Jalon Daniels,QB,TB,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,613,Max Brosmer,QB,MIN,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,615,Isaac Guerendo,RB,SF,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,616,Buccaneers,DST,TB,MIN @ TB,2600,0.0,0.0,"153772,153771,153769",2600,1
2026-09-25T10:28:00+00:00,617,Dillon Bell,WR,MIN,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,618,Michael Briscoe,WR,MIN,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,619,Jeshaun Jones,WR,MIN,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,620,Dean Patterson IV,WR,TB,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,621,Eric Rivers Jr.,WR,TB,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,622,Garrett Greene,WR,TB,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,623,David Sills V,WR,TB,MIN @ TB,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,624,Ihmir Smith-Marsette,WR,ARI,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,625,Harrison Wallace III,WR,ARI,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,626,Will Pauling,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,627,Brandon Aiyuk,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,628,Wesley Grimes,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,629,Ricky Pearsall,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,630,De'Zhaun Stribling,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,631,Christian Kirk,WR,SF,ARI @ SF,3000,0.0,0.0,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,632,Vikings,DST,MIN,MIN @ TB,3100,0.0,0.0,"153772,153771,153769",3100,1
2026-09-25T10:28:00+00:00,633,49ers,DST,SF,ARI @ SF,3600,0.0,0.0,"153772,153771,153769",3600,1
2026-09-25T10:28:00+00:00,634,Demarcus Robinson,WR,SF,ARI @ SF,3800,0.0,0.0,"153772,153771,153769",3800,1
2026-09-25T10:28:00+00:00,635,Jaret Patterson,RB,MIN,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,636,Jerome Ford,RB,MIN,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,637,Jordan Mason,RB,MIN,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,638,Josh Williams,RB,TB,MIN @ TB,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,639,Evan Hull,RB,ARI,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,640,Trey Benson,RB,ARI,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,641,James Conner,RB,ARI,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,642,Sincere McCormick,RB,SF,ARI @ SF,4000,0.0,0.0,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,647,Cal Adomitis,TE,NO,KC @ MIA,2500,0.0,0.0,"153773,153772,153770,153771,153769",2500,1
2026-09-25T10:28:00+00:00,648,Michael Trigg,TE,DAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,649,James Mitchell,TE,DAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,650,DJ Rogers,TE,DAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,651,Princeton Fant,TE,DAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,652,Ty Pezza,TE,BAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,653,Nick Vannett,TE,BAL,BAL @ DAL,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,654,Patrick Gurd,TE,LV,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,655,Chris Myarick,TE,LV,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,656,Carter Runyon,TE,LV,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,657,Zach Wood,TE,NO,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,658,Stone Smartt,TE,NO,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,659,Moliki Matavao,TE,NO,LV @ NO,2500,0.0,0.0,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,660,Raiders,DST,LV,LV @ NO,2600,0.0,0.0,"153773,153772,153771,153769",2600,1
2026-09-25T10:28:00+00:00,661,Ravens,DST,BAL,BAL @ DAL,2800,0.0,0.0,"153773,153772,153771,153769",2800,1
2026-09-25T10:28:00+00:00,662,Anthony Smith,WR,DAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,663,Jordan Hudson,WR,DAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,664,Shedrick Jackson,WR,BAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,665,Xavier Guillory,WR,BAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,666,Gage Larvadain,WR,BAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,667,Ja'Kobi Lane,WR,BAL,BAL @ DAL,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,668,Deven Thompkins,WR,LV,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,669,Ronnie Bell,WR,LV,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,670,Corey Rucker,WR,LV,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,671,Justin Shorter,WR,LV,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,672,Dont'e Thornton Jr.,WR,LV,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,673,Kevin Austin Jr.,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,674,Cowboys,DST,DAL,BAL @ DAL,2400,0.0,0.0,"153773,153772,153771,153769",2400,1
2026-09-25T10:28:00+00:00,675,Jalen Moreno-Cropper,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,691,Kyrese Rowan,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,702,Jordyn Tyson,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,703,Mason Tipton,WR,NO,LV @ NO,3000,0.0,0.0,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,704,Jake Tonges,TE,SF,ARI @ SF,2500,0.0,0.0,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,705,Khalil Dinkins,TE,SF,ARI @ SF,2500,0.0,0.0,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,706,Jack Stoll,TE,SF,ARI @ SF,2500,0.0,0.0,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,767,Tip Reiman,TE,ARI,ARI @ SF,2500,0.0,0.0,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,769,Aidan O'Connell,QB,LV,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,770,Tyler Huntley,QB,BAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,771,Joe Fagnano,QB,BAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,772,Skylar Thompson,QB,BAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,773,Sam Howell,QB,DAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,774,Joe Milton III,QB,DAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,776,Ty Chandler,RB,NO,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,777,Zamir White,RB,NO,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,778,Chris Collier,RB,LV,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,781,Roman Hemby,RB,LV,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,782,Dare Ogunbowale,RB,LV,LV @ NO,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,783,Adam Randall,RB,BAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,784,Jonathan Ward,RB,BAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,785,Malik Davis,RB,DAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,786,Israel Abanikanda,RB,DAL,BAL @ DAL,4000,0.0,0.0,"153773,153772,153771,153769",4000,1
