player_id,player_name,team,position,salary,depth_rank_h,excluded,guarded
00-0037617,Hassan Haskins,NE,RB,4000,,True,False
00-0038794,Jaleel McLaughlin,CLE,RB,4000,3.0,True,False
00-0031595,Michael Burton,CLE,RB,4000,,True,False
00-0041178,Robert Henry Jr.,WAS,RB,4000,,True,False
00-0035567,Craig Reynolds,WAS,RB,4000,,True,False
00-0038389,Israel Abanikanda,DAL,RB,4000,,True,False
00-0039266,Kendall Milton,CIN,RB,4000,,True,False
00-0041241,Kentrel Bullock,CIN,RB,4000,,True,False
00-0039603,British Brooks,HOU,RB,4000,3.0,True,False
00-0041312,Noah Whittington,HOU,RB,4000,,True,False
00-0040998,Roman Hemby,LV,RB,4000,,True,False
00-0040876,Elijah Sarratt,BAL,WR,3700,5.0,True,False
00-0041550,Brenen Thompson,LAC,WR,3500,4.0,True,False
00-0041489,Germie Bernard,PIT,WR,3400,4.0,True,False
00-0039792,Devontez Walker,BAL,WR,3400,3.0,False,True
00-0035406,Lil'Jordan Humphrey,DEN,WR,3300,6.0,True,False
00-0040718,Travis Hunter,JAX,WR,3300,5.0,True,False
00-0040184,KeAndre Lambert-Smith,LAC,WR,3300,6.0,True,False
00-0040648,Tory Horton,SEA,WR,3200,4.0,True,False
00-0041051,Zavion Thomas,CHI,WR,3100,4.0,True,False
00-0040563,Efton Chism III,NE,WR,3100,5.0,True,False
00-0037742,Treylon Burks,WAS,WR,3000,5.0,True,False
00-0040130,Jayden Higgins,HOU,WR,3000,7.0,True,False
00-0038977,Tank Dell,HOU,WR,3000,6.0,True,False
00-0041029,Jordyn Tyson,NO,WR,3000,5.0,True,False
00-0038979,Cedric Tillman,NO,WR,3000,,True,False
00-0040581,Dont'e Thornton Jr.,LV,WR,3000,6.0,True,False
00-0037614,John Metchie III,CAR,WR,3000,5.0,True,False
00-0040009,Savion Williams,GB,WR,3000,7.0,True,False
00-0039355,Luke McCaffrey,WAS,WR,3000,7.0,True,False
00-0037666,Jalen Tolbert,MIA,WR,3000,5.0,True,False
00-0040782,Isaiah Bond,CLE,WR,3000,4.0,True,False
00-0040172,Jordan Watkins,SF,WR,3000,5.0,True,False
