Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
132913-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.17000000178813934,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-91750,TE,Trey,Trey McBride,McBride,15.405881993910846,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-40687,RB,James,James Conner,Conner,9.766666412353516,3,8000,12000,CAR@ARI,ARI,CAR,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
132913-79987,WR,David,David Moore,Moore,0.7333333492279053,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-92020,QB,Kenny,Kenny Pickett,Pickett,1.6200000445048015,6,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-140407,RB,Miles,Miles Davis,Davis,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-119670,QB,Carson,Carson Beck,Beck,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-71032,WR,Devin,Devin Duvernay,Duvernay,0.18947367919118782,19,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
132913-158968,RB,Jonathon,Jonathon Brooks,Brooks,2,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
132913-157438,WR,Jimmy,Jimmy Horn Jr.,Horn Jr.,2.109090978449041,11,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX
