player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0030565,Geno Smith,QB,NYJ,4600,8.898338269904952,52.513019371966536,28.517399650990832,-23.995619720975704,118.82375,9.3,dk_classic_wk1_main_13Sep2026,1,main
00-0038996,Tucker Kraft,TE,GB,4500,8.894178404810734,9.705838873659827,9.874715093331767,0.1688762196719402,0.0,9.5,dk_classic_wk1_main_13Sep2026,1,main
00-0039491,Jalen Coker,WR,CAR,4600,8.867814570591298,10.694043694170288,10.022761782910711,-0.6712819112595749,0.0,36.8,dk_classic_wk1_main_13Sep2026,1,main
00-0038997,Josh Downs,WR,IND,5200,8.802792380535971,9.765469123694576,10.975507318568456,1.2100381948738814,0.0,5.7,dk_classic_wk1_main_13Sep2026,1,main
00-0040236,Kyle Monangai,RB,CHI,5100,8.763298703165487,8.967598720126658,9.203559105573651,0.2359603854469956,0.0,23.4,dk_classic_wk1_main_13Sep2026,1,main
00-0038120,Breece Hall,RB,NYJ,6200,8.758533644933046,9.24458506422426,12.58537602407289,3.340790959848631,0.0,22.8,dk_classic_wk1_main_13Sep2026,1,main
00-0038559,Michael Wilson,WR,ARI,5300,8.727763106585755,12.01584227710205,12.117098873631353,0.1012565965293017,0.0,10.6,dk_classic_wk1_main_13Sep2026,1,main
DST_LV,Raiders,DST,LV,2900,8.722147292999999,8.722147292999999,8.722147292999999,0.0,0.0,13.0,dk_classic_wk1_main_13Sep2026,1,main
DST_LAC,Chargers,DST,LAC,3500,8.619927259500002,8.619927259500002,8.619927259500002,0.0,0.0,1.0,dk_classic_wk1_main_13Sep2026,1,main
00-0030279,Keenan Allen,WR,IND,4700,8.59135740910994,10.498644623741086,10.866338715068164,0.3676940913270794,0.0,9.2,dk_classic_wk1_main_13Sep2026,1,main
DST_NYJ,Jets,DST,NYJ,2500,8.581216229999999,8.581216229999999,8.581216229999999,0.0,0.0,9.0,dk_classic_wk1_main_13Sep2026,1,main
00-0034960,Jakobi Meyers,WR,JAX,5000,8.51505017247656,9.19634569411537,11.102664415543376,1.906318721428006,0.0,12.2,dk_classic_wk1_main_13Sep2026,1,main
00-0039919,Rome Odunze,WR,CHI,5400,8.499888968178166,9.374680553824462,11.946452785816646,2.5717722319921847,0.0,7.2,dk_classic_wk1_main_13Sep2026,1,main
00-0038124,Christian Watson,WR,GB,5900,8.436189870889086,9.51695694506856,12.353217712960562,2.8362607678920035,0.0,35.7,dk_classic_wk1_main_13Sep2026,1,main
00-0038117,Wan'Dale Robinson,WR,TEN,4800,8.415651682678634,12.904320842369891,13.918471790191685,1.0141509478217898,0.0,8.8,dk_classic_wk1_main_13Sep2026,1,main
00-0038935,Brenton Strange,TE,JAX,3600,8.34810603986224,8.618939302649974,7.938458837458844,-0.6804804651911294,0.0,10.3,dk_classic_wk1_main_13Sep2026,1,main
00-0036252,Michael Pittman Jr.,WR,PIT,4900,8.31759076412979,10.132555718919862,9.854066449060335,-0.2784892698595271,0.0,8.8,dk_classic_wk1_main_13Sep2026,1,main
00-0038606,Parker Washington,WR,JAX,5600,8.290815758403522,12.123544078009717,12.844189413810104,0.7206453358003859,0.0,19.3,dk_classic_wk1_main_13Sep2026,1,main
00-0038563,Tre Tucker,WR,LV,4000,8.278714118741576,9.496715294891448,9.150471133960275,-0.346244160931171,0.0,4.7,dk_classic_wk1_main_13Sep2026,1,main
00-0033119,Jacoby Brissett,QB,ARI,5100,8.158831939488522,11.648456378489998,11.75496297260543,0.1065065941154319,35.04875,16.48,dk_classic_wk1_main_13Sep2026,1,main
00-0036973,Travis Etienne Jr.,RB,NO,5900,8.157761092166924,17.310314292953112,14.770341078965922,-2.5399732139871904,0.0,14.8,dk_classic_wk1_main_13Sep2026,1,main
DST_DET,Lions,DST,DET,3200,8.14418262,8.14418262,8.14418262,0.0,0.0,10.0,dk_classic_wk1_main_13Sep2026,1,main
00-0036554,Nico Collins,WR,HOU,7000,8.137694746730771,9.3719128937215,14.18729987322719,4.815386979505689,0.0,21.2,dk_classic_wk1_main_13Sep2026,1,main
00-0035685,David Montgomery,RB,HOU,6000,8.131658179335892,11.863640396864584,11.349216913948846,-0.5144234829157384,0.0,28.9,dk_classic_wk1_main_13Sep2026,1,main
DST_GB,Packers,DST,GB,3000,8.131251663,8.131251663,8.131251663,0.0,0.0,1.0,dk_classic_wk1_main_13Sep2026,1,main
00-0040128,Tyler Warren,TE,IND,4900,8.080492369425265,9.867623097688622,11.202236208475062,1.3346131107864403,0.0,10.3,dk_classic_wk1_main_13Sep2026,1,main
DST_MIA,Dolphins,DST,MIA,2700,8.062013754,8.062013754,8.062013754,0.0,0.0,4.0,dk_classic_wk1_main_13Sep2026,1,main
DST_PHI,Eagles,DST,PHI,3200,8.030586618,8.030586618,8.030586618,0.0,0.0,3.0,dk_classic_wk1_main_13Sep2026,1,main
00-0039910,Jayden Daniels,QB,WAS,6500,7.775744416382877,10.740514631713005,15.082265777723968,4.341751146010962,24.37175,17.66,dk_classic_wk1_main_13Sep2026,1,main
00-0037740,Garrett Wilson,WR,NYJ,5800,7.711219836727683,8.788304871876182,13.098453520415829,4.310148648539645,0.0,13.9,dk_classic_wk1_main_13Sep2026,1,main
