Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
38,5262625815,vindicate817,0,193.72,DST Panthers  FLEX Aaron Jones Sr. QB C.J. Stroud RB Christian McCaffrey RB Javonte Williams TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Jalen Coker,,Dallas Goedert,TE,7.58%,1.4
39,5263592794,rdaniluk,0,193.08,DST Panthers  FLEX Juwan Johnson QB Brock Purdy RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Deebo Samuel Sr. WR DK Metcalf,,Deebo Samuel Sr.,WR,7.34%,6.5
40,5263602102,katoom,0,192.96,DST Panthers  FLEX Saquon Barkley QB Dak Prescott RB Derrick Henry RB Chuba Hubbard TE Jake Ferguson WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Rashod Bateman,WR,7.23%,21.8
41,5262712246,LordReebs,0,192.68001,DST Ravens  FLEX Michael Mayer QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Saquon Barkley,RB,7.06%,3
42,5261866952,shockacon5,0,192.36,DST Jaguars  FLEX Aaron Jones Sr. QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Garrett Wilson WR Rashod Bateman,,Breece Hall,RB,7.04%,14.2
42,5262075251,bison,0,192.36,DST Panthers  FLEX Antonio Williams QB Dak Prescott RB Bucky Irving RB Chuba Hubbard TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR George Pickens,,Javonte Williams,FLEX,6.97%,8
44,5263315952,kgoudie,0,192.26001,DST Jaguars  FLEX Terry McLaurin QB Dak Prescott RB Aaron Jones Sr. RB J.K. Dobbins TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Chris Olave,,Quentin Johnston,WR,5.98%,2.4
45,5263191693,rollobegley,0,192.16,DST Panthers  FLEX Trey McBride QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Christian Watson WR Adonai Mitchell,,Aaron Jones Sr.,FLEX,5.61%,13.5
46,5263558262,m6388e,0,191.96,DST Broncos  FLEX Jalen Coker QB Dak Prescott RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Lamar Jackson,QB,5.59%,15.8
47,5255783518,geoffm33,0,191.65999,DST Panthers  FLEX Dalton Schultz QB Dak Prescott RB Christian McCaffrey RB J.K. Dobbins TE T.J. Hockenson WR Ja'Marr Chase WR CeeDee Lamb WR George Pickens,,Christian McCaffrey,FLEX,5.55%,22.6
48,5262205482,mj0022,0,191.56,DST Texans  FLEX Bryce Lance QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR George Pickens,,DK Metcalf,WR,5.55%,6.7
49,5260529447,camdoc3,0,191.04,DST Panthers  FLEX J.K. Dobbins QB Jayden Daniels RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Stefon Diggs,,Bijan Robinson,FLEX,5.52%,11.1
50,5263677268,SeBringMeYourMoney,0,190.86,DST Patriots  FLEX Javonte Williams QB Dak Prescott RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Terry McLaurin,,Eagles ,DST,5.51%,3
51,5260022235,jstubbs09,0,190.78,DST Patriots  FLEX Bijan Robinson QB Brock Purdy RB D'Andre Swift RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR Deebo Samuel Sr. WR Rashod Bateman,,Panthers ,DST,5.49%,26
52,5263059983,KellyCanuck,0,190.74,DST Panthers  FLEX Jake Ferguson QB Jayden Daniels RB Bijan Robinson RB Christian McCaffrey TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Terry McLaurin,,Derrick Henry,FLEX,5.46%,17.7
53,5263568616,bmjohnson,0,190.23999,DST Ravens  FLEX Dalton Schultz QB Jayden Daniels RB Derrick Henry RB Chuba Hubbard TE T.J. Hockenson WR Jaxon Smith-Njigba WR CeeDee Lamb WR Stefon Diggs,,Ravens ,DST,5.38%,3
54,5263548450,Jmsutter5,0,190.16,DST Panthers  FLEX Ja'Marr Chase QB Dak Prescott RB Bucky Irving RB Chuba Hubbard TE Dalton Schultz WR CeeDee Lamb WR Luther Burden III WR Terry McLaurin,,Patriots ,DST,5.36%,21
55,5259886317,usmgirl05,0,189.88,DST Broncos  FLEX Stefon Diggs QB Bryce Young RB Derrick Henry RB D'Andre Swift TE Dalton Schultz WR CeeDee Lamb WR Chris Olave WR Jalen Coker,,Jets ,DST,5.35%,6
56,5263617055,dublinking,0,189.78,DST Jets  FLEX Devaughn Vele QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Deebo Samuel Sr.,,Bryce Young,QB,5.07%,24.08
57,5255868114,draftresults,0,189.66,DST Panthers  FLEX Aaron Jones Sr. QB Dak Prescott RB Breece Hall RB Chuba Hubbard TE Michael Mayer WR Ja'Marr Chase WR CeeDee Lamb WR Stefon Diggs,,Cardinals ,DST,5.06%,2
58,5263530320,BlowoutBRad85,0,189.56001,DST Panthers  FLEX Derrick Henry QB Dak Prescott RB Breece Hall RB Chuba Hubbard TE Juwan Johnson WR CeeDee Lamb WR Parker Washington WR Rashod Bateman,,Caleb Douglas,WR,5.00%,3.9
59,5261819428,dippinthewic,0,189.47998,DST Panthers  FLEX CeeDee Lamb QB Brock Purdy RB Bucky Irving RB Chuba Hubbard TE Dalton Schultz WR Ja'Marr Chase WR Mike Evans WR Antonio Williams,,Rome Odunze,WR,4.82%,7.3
60,5260531149,Latman7,0,189.2,DST Patriots  FLEX Jaxon Smith-Njigba QB Drew Lock RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR Matthew Golden WR Devaughn Vele,,Steelers ,DST,4.79%,8
61,5262520262,Paulo21613,0,189.18001,DST Panthers  FLEX George Kittle QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR Mike Evans WR Garrett Wilson,,Xavier Hutchinson,WR,4.63%,6.7
62,5263182961,B-dub9,0,189.16,DST Patriots  FLEX Saquon Barkley QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,Ashton Jeanty,FLEX,4.47%,10.3
63,5257629563,Draino12,0,188.86,DST Panthers  FLEX Chuba Hubbard QB Dak Prescott RB Derrick Henry RB Breece Hall TE Jake Ferguson WR CeeDee Lamb WR Deebo Samuel Sr. WR Stefon Diggs,,D'Andre Swift,RB,4.41%,13.9
64,5263131567,lipper99,0,188.76001,DST Buccaneers  FLEX Michael Mayer QB Dak Prescott RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Rashod Bateman,,Juwan Johnson,TE,4.18%,10.6
