Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
49,5254094255,dlangmead,0,219.73999,DST Jaguars  FLEX Bijan Robinson QB Bryce Young RB Bhayshul Tuten RB Bucky Irving TE Juwan Johnson WR Amon-Ra St. Brown WR Zay Flowers WR Jalen Coker,,Texans ,DST,6.10%,-2
50,5254159530,MikeKingOfDraftsCA,0,219.54001,DST Jaguars  FLEX D'Andre Swift QB Bryce Young RB Jahmyr Gibbs RB Chase Brown TE Tommy Tremble WR Amon-Ra St. Brown WR Chris Godwin Jr. WR Jalen Coker,,Alec Pierce,WR,5.83%,10.1
51,5250840342,CrucialConflict74,0,219.36002,DST Steelers  FLEX D'Andre Swift QB Caleb Williams RB David Montgomery RB Kenny Gainwell TE Colston Loveland WR Chris Olave WR Zay Flowers WR Jalen Coker,,Jahmyr Gibbs,FLEX,5.75%,37.6
52,5253560989,ufxgatorbox,0,219.3,DST Jets  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Parker Washington WR Luther Burden III,,Nico Collins,WR,5.36%,21.2
53,5252371882,smittywrldwd,0,218.7,DST Jets  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Bucky Irving TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Luther Burden III,,Drake London,WR,5.34%,5.5
54,5250855709,KenJ351,0,218.45999,DST Jaguars  FLEX Jalen Coker QB Lamar Jackson RB Jahmyr Gibbs RB David Montgomery TE Juwan Johnson WR Zay Flowers WR Parker Washington WR Luther Burden III,,Kenny Gainwell,RB,4.99%,2.8
55,5252741054,sntrace,0,218.40001,DST Jets  FLEX Jonathan Taylor QB Tyler Shough RB Jahmyr Gibbs RB Travis Etienne Jr. TE Juwan Johnson WR Chris Olave WR Parker Washington WR Jalen Coker,,Josh Downs,WR,4.76%,5.7
55,5253948393,bachm511,0,218.4,DST Browns  FLEX Garrett Wilson QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR DJ Moore WR Jalen Coker,,Bhayshul Tuten,RB,4.67%,9.8
55,5254183921,Whiskers423,0,218.4,DST Jaguars  FLEX Jahmyr Gibbs QB Tyler Shough RB Jonathan Taylor RB Bucky Irving TE Juwan Johnson WR Chris Olave WR Michael Pittman Jr. WR Jalen Coker,,Brenton Strange,TE,4.65%,10.3
58,5253584940,Gippo,0,218.06,DST Jets  FLEX Luther Burden III QB Caleb Williams RB Jahmyr Gibbs RB Derrick Henry TE Colston Loveland WR Amon-Ra St. Brown WR Jalen Coker WR Devaughn Vele,,Bears ,DST,4.63%,6
59,5250447500,ccmbuff22,0,217.70001,DST Buccaneers  FLEX Jonathan Taylor QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Dalton Schultz WR Chris Olave WR Jalen Coker WR Adonai Mitchell,,Lions ,DST,4.41%,10
60,5253058415,EdTheMundo,0,217.54,DST Texans  FLEX Colston Loveland QB Bryce Young RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Tyler Warren,TE,4.32%,10.3
61,5254012924,BardoftheRenaissance,0,217.36,DST Steelers  FLEX Colston Loveland QB Caleb Williams RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Zay Flowers WR Tee Higgins WR Jalen Coker,,Bryce Young,QB,4.29%,35.44
62,5249992038,DemonHunterLvl6,0,217,DST Jaguars  FLEX D'Andre Swift QB Tyler Shough RB Jonathan Taylor RB Chase Brown TE Juwan Johnson WR Chris Olave WR Zay Flowers WR Devaughn Vele,,James Cook III,RB,4.27%,9.9
63,5254111369,cbrisbon,0,216.8,DST Browns  FLEX Derrick Henry QB Tyler Shough RB Jahmyr Gibbs RB Chase Brown TE Juwan Johnson WR Chris Olave WR Luther Burden III WR Jalen Coker,,Jaylen Warren,RB,4.14%,11.3
64,5251811193,skeeter1114,0,216.29999,DST Bills  FLEX Garrett Wilson QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Juwan Johnson,FLEX,3.82%,14.4
