Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
12,5254296488,benhundley,0,179.51999,DST Raiders  FLEX Caleb Douglas QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Dallas Goedert,TE,23.84%,23.7
13,5253678157,JJslugger,0,179.49998,DST Chargers  FLEX Christian Watson QB Malik Willis RB Ashton Jeanty RB Jordan Mason TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Terry McLaurin,,Eagles ,DST,22.25%,3
14,5253191117,BeachNut2892,0,179.48,DST Raiders  FLEX Dallas Goedert QB Jordan Love RB Omarion Hampton RB Ashton Jeanty TE Trey McBride WR Christian Watson WR Michael Wilson WR Makai Lemon,,Jalen Hurts,QB,22.16%,24.72
15,5249026335,hespen2,0,179.46,DST Raiders  FLEX Christian Watson QB Justin Herbert RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Michael Wilson,,Kyler Murray,QB,19.76%,0.62
16,5254273860,22GU,0,179.18,DST Raiders  FLEX Terry McLaurin QB Jordan Love RB Ashton Jeanty RB MarShawn Lloyd TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Christian Watson,,Raiders ,DST,17.49%,13
17,5251910379,mpvroadrunner,0,178.81999,DST Raiders  FLEX Tucker Kraft QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR DeVonta Smith WR Ladd McConkey WR Christian Watson,,Tre Tucker,WR,16.78%,4.7
18,5253675793,PrinceJoker,0,178.45999,DST Raiders  FLEX Christian Watson QB Justin Herbert RB Ashton Jeanty RB Jordan Mason TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Christian Watson,WR,16.21%,35.7
19,5252974264,dschlieb,0,177.86,DST Raiders  FLEX Michael Wilson QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Michael Wilson,WR,14.19%,10.6
20,5247906955,BNewell12,0,177.8,DST Packers  FLEX Marvin Harrison Jr. QB Malik Willis RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Trey McBride,TE,14.17%,24.5
21,5251205957,TheRussBuss,0,177.42,DST Vikings  FLEX Dallas Goedert QB Jalen Hurts RB De'Von Achane RB Ashton Jeanty TE Trey McBride WR Justin Jefferson WR Quentin Johnston WR Dontayvion Wicks,,De'Von Achane,FLEX,13.41%,10.6
22,5254032225,ProdJmo,0,177.27998,DST Eagles  FLEX Dallas Goedert QB Jordan Love RB De'Von Achane RB Ashton Jeanty TE Tucker Kraft WR Justin Jefferson WR Christian Watson WR Terry McLaurin,,Tucker Kraft,TE,12.97%,9.5
23,5254263227,AIRBHG,0,177.15999,DST Raiders  FLEX Ashton Jeanty QB Jayden Daniels RB Saquon Barkley RB Omarion Hampton TE Michael Mayer WR Justin Jefferson WR Christian Watson WR Antonio Williams,,Vikings ,DST,12.93%,8
24,5254404118,seanpm420,0,177.12,DST Chargers  FLEX Ashton Jeanty QB Jalen Hurts RB Saquon Barkley RB Jacory Croskey-Merritt TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Stefon Diggs,,Terry McLaurin,WR,12.87%,3.4
25,5254407130,Mauga,0,177.09999,DST Raiders  FLEX Christian Watson QB Kirk Cousins RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Saquon Barkley,FLEX,12.34%,9
26,5253054096,20blks,0,176.81999,DST Eagles  FLEX Malik Washington QB Jalen Hurts RB Ashton Jeanty RB Jeremiyah Love TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Makai Lemon,,Omarion Hampton,FLEX,10.05%,9.3
27,5254461507,TheGreatB,0,176.51999,DST Raiders  FLEX Christian Watson QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Jordan Addison WR Stefon Diggs,,Ashton Jeanty,FLEX,9.86%,35.7
28,5254185470,woodsheddrew,0,176.37999,DST Chargers  FLEX Dontayvion Wicks QB Jordan Love RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Jordan Addison,,Jordan Addison,WR,8.77%,0
29,5249355282,gahervey,0,176.28,DST Commanders  FLEX Stefon Diggs QB Jordan Love RB De'Von Achane RB Ashton Jeanty TE Tucker Kraft WR Justin Jefferson WR Christian Watson WR Michael Wilson,,Marvin Harrison Jr.,WR,8.73%,4.3
30,5249237704,Santang44,0,175.68001,DST Eagles  FLEX Trey McBride QB Jacoby Brissett RB Omarion Hampton RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Christian Watson WR Michael Wilson,,Stefon Diggs,WR,8.64%,15.5
30,5254454046,shabazz42,0,175.68,DST Dolphins  FLEX DeVonta Smith QB Jordan Love RB Ashton Jeanty RB Jacory Croskey-Merritt TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Jordan Addison,,Malik Willis,QB,8.43%,17.7
32,5254319716,rsynek19,0,175.62,DST Raiders  FLEX Dallas Goedert QB Jalen Hurts RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Dolphins ,DST,8.33%,4
33,5254266497,Hilvon,0,175.57999,DST Chargers  FLEX De'Von Achane QB Jordan Love RB Ashton Jeanty RB Jeremiyah Love TE Tucker Kraft WR Justin Jefferson WR Christian Watson WR Caleb Douglas,,MarShawn Lloyd,RB,7.82%,3.7
34,5254255231,jaketorgy4,0,175.51999,DST Raiders  FLEX Terry McLaurin QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Dontayvion Wicks,,Jayden Reed,WR,7.78%,5
35,5249255174,dtadillon,0,175.37999,DST Eagles  FLEX Ashton Jeanty QB Jordan Love RB Saquon Barkley RB Omarion Hampton TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Dontayvion Wicks,,Justin Jefferson,FLEX,5.89%,31.2
36,5250479994,Tubesteakbuffet,0,175.22,DST Packers  FLEX Ashton Jeanty QB Jalen Hurts RB De'Von Achane RB Omarion Hampton TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Dontayvion Wicks,,Malik Washington,WR,5.17%,7.3
37,5254364736,HereticT,0,175.12,DST Chargers  FLEX Stefon Diggs QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Michael Wilson,,Trey McBride,FLEX,5.00%,24.5
38,5254138458,michaelmonaco28,0,174.9,DST Eagles  FLEX Christian Watson QB Malik Willis RB Saquon Barkley RB Ashton Jeanty TE Trey McBride WR Justin Jefferson WR Quentin Johnston WR Caleb Douglas,,Jordan Love,QB,5.00%,24.48
39,5253733507,surfbro,0,174.31999,DST Raiders  FLEX Michael Mayer QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Packers ,DST,4.98%,1
39,5254463546,xCRUSH3Rx,0,174.31999,DST Raiders  FLEX Dallas Goedert QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Kirk Cousins,QB,4.58%,15.8
41,5254411367,Munkracing,0,174.12,DST Raiders  FLEX Jordan Mason QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Jalen Nailor,,Jordan Mason,RB,4.58%,11.9
42,5250765075,alleghenyarrowheads,0,174.09999,DST Vikings  FLEX Ladd McConkey QB Malik Willis RB De'Von Achane RB Ashton Jeanty TE Trey McBride WR DeVonta Smith WR Christian Watson WR Caleb Douglas,,Makai Lemon,WR,4.56%,2.5
43,5248612670,Cboogie_23,0,174.01999,DST Raiders  FLEX Dallas Goedert QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,T.J. Hockenson,TE,4.52%,13.6
44,5252130414,matthewwalsh,0,173.68,DST Eagles  FLEX DeVonta Smith QB Jordan Love RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Christian Watson WR Matthew Golden,,Jalen Nailor,WR,4.12%,5.7
45,5250478963,jsh27896,0,173.58002,DST Raiders  FLEX T.J. Hockenson QB Jacoby Brissett RB Omarion Hampton RB Ashton Jeanty TE Trey McBride WR Justin Jefferson WR Ladd McConkey WR Michael Wilson,,Oronde Gadsden II,TE,3.83%,5.2
46,5254257620,lsroller,0,173.56,DST Raiders  FLEX De'Von Achane QB Justin Herbert RB Ashton Jeanty RB Tank Bigsby TE T.J. Hockenson WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Matthew Golden,WR,3.51%,15.5
47,5253806907,chrissyscowboys76,0,173.18,DST Vikings  FLEX Stefon Diggs QB Jacoby Brissett RB Jacory Croskey-Merritt RB Aaron Jones Sr. TE Trey McBride WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Jacoby Brissett,QB,3.45%,16.48
48,5254215402,timothyandstacy,0,173.15999,DST Raiders  FLEX De'Von Achane QB Justin Herbert RB Ashton Jeanty RB Aaron Jones Sr. TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Matthew Golden,,Ladd McConkey,FLEX,3.24%,19.2
49,5254396002,kfahey42,0,172.95999,DST Cardinals  FLEX Jayden Reed QB Jayden Daniels RB De'Von Achane RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Terry McLaurin,,Christian Watson,FLEX,3.22%,35.7
50,5252439357,smithj06,0,172.9,DST Vikings  FLEX Trey McBride QB Malik Willis RB De'Von Achane RB Ashton Jeanty TE Greg Dulcich WR Justin Jefferson WR Christian Watson WR Jalen Nailor,,Jayden Daniels,QB,3.20%,17.66
51,5249000385,Lilp7611,0,172.72,DST Raiders  FLEX Ladd McConkey QB Kyler Murray RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Marvin Harrison Jr.,,Aaron Jones Sr.,RB,3.15%,10
52,5254372521,Kingroy13,0,172.56,DST Raiders  FLEX Tre' Harris QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Tucker Kraft WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Jauan Jennings,WR,3.03%,0
53,5253952648,N8DAWG1043,0,172.51999,DST Raiders  FLEX Jalen Nailor QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Christian Watson,,Dontayvion Wicks,WR,2.88%,15.3
54,5254394207,statistical_genius,0,172.27998,DST Eagles  FLEX Ashton Jeanty QB Jordan Love RB Saquon Barkley RB Omarion Hampton TE Tucker Kraft WR Justin Jefferson WR Christian Watson WR Caleb Douglas,,Jacory Croskey-Merritt,RB,2.65%,12.6
55,5254445580,mcooper2300,0,172.12,DST Raiders  FLEX Ashton Jeanty QB Kyler Murray RB Omarion Hampton RB MarShawn Lloyd TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Cardinals ,DST,2.63%,10
56,5254179763,bradk129,0,171.96,DST Raiders  FLEX Christian Watson QB Justin Herbert RB De'Von Achane RB Ashton Jeanty TE Trey McBride WR Ladd McConkey WR Quentin Johnston WR Dontayvion Wicks,,Terry McLaurin,FLEX,2.54%,3.4
57,5250375474,Owart25,0,171.9,DST Eagles  FLEX Michael Mayer QB Malik Willis RB De'Von Achane RB Ashton Jeanty TE Trey McBride WR Justin Jefferson WR Christian Watson WR Marvin Harrison Jr.,,MarShawn Lloyd,FLEX,2.54%,3.7
58,5253839233,ajlars2,0,171.86,DST Raiders  FLEX Michael Mayer QB Justin Herbert RB Omarion Hampton RB Ashton Jeanty TE Trey McBride WR Justin Jefferson WR Ladd McConkey WR Matthew Golden,,Tyler Allgeier,RB,2.52%,9
59,5248628583,tmarrisa,0,171.78,DST Vikings  FLEX De'Von Achane QB Jordan Love RB Jordan Mason RB Tyler Allgeier TE Trey McBride WR Justin Jefferson WR Christian Watson WR Antonio Williams,,Michael Mayer,FLEX,2.44%,9.2
60,5248518601,jburr527,0,171.51999,DST Raiders  FLEX Tyler Allgeier QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Jalen Nailor,,Tucker Kraft,FLEX,2.42%,9.5
61,5252720828,mgo14,0,171.42,DST Raiders  FLEX Justin Jefferson QB Jalen Hurts RB Ashton Jeanty RB Tank Bigsby TE Dallas Goedert WR DeVonta Smith WR Ladd McConkey WR Dontayvion Wicks,,David Njoku,TE,2.27%,10.8
62,5253958566,KCMTwenty,0,171.36,DST Raiders  FLEX Justin Jefferson QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE David Njoku WR Ladd McConkey WR Christian Watson WR Makai Lemon,,Quentin Johnston,FLEX,2.17%,3.7
63,5254137258,cleTuswiThaT,0,171.22,DST Vikings  FLEX Ladd McConkey QB Kyler Murray RB Ashton Jeanty RB Tyler Allgeier TE Trey McBride WR Justin Jefferson WR Christian Watson WR Malik Washington,,Dallas Goedert,FLEX,2.14%,23.7
64,5254337788,Mhubbard413,0,171.01999,DST Chargers  FLEX Jordan Mason QB Jalen Hurts RB Ashton Jeanty RB MarShawn Lloyd TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Terry McLaurin,,Commanders ,DST,2.06%,3
65,5251212190,theblackhand666,0,170.96,DST Vikings  FLEX Michael Wilson QB Jayden Daniels RB Ashton Jeanty RB Jeremiyah Love TE Chig Okonkwo WR Justin Jefferson WR Christian Watson WR Stefon Diggs,,Caleb Douglas,WR,1.98%,14.4
66,5251088075,az350z,0,170.62,DST Vikings  FLEX Dallas Goedert QB Jalen Hurts RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Jordan Mason,FLEX,1.96%,11.9
66,5254397521,bulldogbilly,0,170.62,DST Vikings  FLEX Dallas Goedert QB Jalen Hurts RB De'Von Achane RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,DeVonta Smith,FLEX,1.85%,8.3
66,5254448715,knut0164,0,170.62,DST Cardinals  FLEX Saquon Barkley QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Michael Wilson WR Antonio Williams,,Michael Wilson,FLEX,1.81%,10.6
69,5253785145,leerickmckenzie,0,170.21999,DST Raiders  FLEX Trey McBride QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Quentin Johnston WR Tre Tucker,,Jeremiyah Love,RB,1.81%,13
70,5252998018,innercube7,0,169.7,DST Eagles  FLEX Ashton Jeanty QB Kirk Cousins RB De'Von Achane RB Omarion Hampton TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Tre Tucker,,Greg Dulcich,TE,1.77%,3.8
71,5254330753,human5,0,169.4,DST Cardinals  FLEX Omarion Hampton QB Kirk Cousins RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Stefon Diggs,,Chig Okonkwo,TE,1.68%,3.6
72,5250833272,kuriouskev23,0,169.31999,DST Raiders  FLEX Ladd McConkey QB Jalen Hurts RB Ashton Jeanty RB Tyler Allgeier TE Dallas Goedert WR DeVonta Smith WR Christian Watson WR Jordan Addison,,Marvin Harrison Jr.,FLEX,1.58%,4.3
73,5251516138,coleyja,0,169.16,DST Chargers  FLEX T.J. Hockenson QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Tucker Kraft WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Jordan Addison,FLEX,1.56%,0
74,5254158456,ajohnson1353,0,169.12,DST Chargers  FLEX Christian Watson QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Stefon Diggs WR Marvin Harrison Jr.,,Chris Bell,WR,1.56%,3.5
75,5254283492,J0npul,0,168.76,DST Vikings  FLEX Ladd McConkey QB Jayden Daniels RB De'Von Achane RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Caleb Douglas,,Tre Tucker,FLEX,1.37%,4.7
76,5253333115,gra123,0,168.72,DST Raiders  FLEX Omarion Hampton QB Jalen Hurts RB Ashton Jeanty RB Jordan Mason TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Jauan Jennings,,Jayden Reed,FLEX,1.24%,5
77,5253843447,PittsburghSteelers,0,168.7,DST Chargers  FLEX Trey McBride QB Malik Willis RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Michael Wilson WR Dontayvion Wicks,,Stefon Diggs,FLEX,1.05%,15.5
78,5254187435,chiefstrolls621,0,168.62,DST Raiders  FLEX Chris Bell QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Rachaad White,RB,1.03%,4.7
79,5254283468,jmorgansmith,0,168.59999,DST Chargers  FLEX Christian Watson QB Kirk Cousins RB Omarion Hampton RB Ashton Jeanty TE Oronde Gadsden II WR Justin Jefferson WR Ladd McConkey WR Stefon Diggs,,Jacory Croskey-Merritt,FLEX,0.95%,12.6
80,5254271914,moomoomess,0,168.45999,DST Eagles  FLEX Christian Watson QB Justin Herbert RB Ashton Jeanty RB Jordan Mason TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Mike Washington Jr.,RB,0.88%,4.1
81,5254029979,cbaz911,0,168.26001,DST Raiders  FLEX Dallas Goedert QB Justin Herbert RB Omarion Hampton RB Ashton Jeanty TE T.J. Hockenson WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Tyler Allgeier,FLEX,0.84%,9
82,5254454481,los_mets,0,168.18,DST Cardinals  FLEX Ladd McConkey QB Jordan Love RB De'Von Achane RB Saquon Barkley TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Marvin Harrison Jr.,,Aaron Jones Sr.,FLEX,0.82%,10
83,5250641857,jdl2475,0,168.15999,DST Raiders  FLEX Justin Jefferson QB Jayden Daniels RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Terry McLaurin WR Dontayvion Wicks,,Jalen Nailor,FLEX,0.71%,5.7
84,5254448742,LordofRings6,0,167.98,DST Dolphins  FLEX Dallas Goedert QB Jacoby Brissett RB Saquon Barkley RB Ashton Jeanty TE Trey McBride WR DeVonta Smith WR Christian Watson WR Michael Wilson,,Hollywood Brown,WR,0.65%,0
85,5254443929,sal_d_beast,0,167.87999,DST Packers  FLEX Quentin Johnston QB Jordan Love RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Terry McLaurin,,Kimani Vidal,RB,0.63%,0
86,5249275709,miguelito88,0,167.82,DST Vikings  FLEX Dontayvion Wicks QB Kyler Murray RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Christian Watson,,Jeremiyah Love,FLEX,0.63%,13
87,5253615315,eidjshsh,0,167.56,DST Raiders  FLEX Stefon Diggs QB Justin Herbert RB De'Von Achane RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Dontayvion Wicks,,Malik Washington,FLEX,0.57%,7.3
88,5252022328,bentstout15,0,167.42,DST Vikings  FLEX Christian Watson QB Kyler Murray RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Marvin Harrison Jr.,,Matthew Golden,FLEX,0.55%,15.5
89,5254442177,Kaboom85,0,167.08,DST Vikings  FLEX Trey McBride QB Jacoby Brissett RB De'Von Achane RB Ashton Jeanty TE David Njoku WR Justin Jefferson WR Ladd McConkey WR Michael Wilson,,Tre' Harris,WR,0.50%,5
90,5251970290,Benny3030,0,166.96,DST Chargers  FLEX Malik Washington QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE T.J. Hockenson WR Justin Jefferson WR Ladd McConkey WR Christian Watson,,Makai Lemon,FLEX,0.48%,2.5
91,5251117712,Trckrdd,0,166.87999,DST Raiders  FLEX Ashton Jeanty QB Jordan Love RB Saquon Barkley RB Omarion Hampton TE Dallas Goedert WR Justin Jefferson WR Jayden Reed WR Matthew Golden,,Charlie Kolar,TE,0.48%,0
92,5253879716,dklaffka,0,166.46,DST Commanders  FLEX Justin Jefferson QB Justin Herbert RB De'Von Achane RB Ashton Jeanty TE Tucker Kraft WR Ladd McConkey WR Christian Watson WR Malik Washington,,T.J. Hockenson,FLEX,0.46%,13.6
93,5253227771,Scbeast,0,166.22,DST Raiders  FLEX Ladd McConkey QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE T.J. Hockenson WR Justin Jefferson WR Stefon Diggs WR Marvin Harrison Jr.,,Oronde Gadsden II,FLEX,0.44%,5.2
94,5254432130,toneybone,0,166.08,DST Vikings  FLEX De'Von Achane QB Jordan Love RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Christian Watson WR Terry McLaurin WR Stefon Diggs,,Tank Bigsby,RB,0.44%,0.3
95,5254293379,PapaBear6551,0,166.06,DST Raiders  FLEX Jordan Addison QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Stefon Diggs,,Mike Washington Jr.,FLEX,0.38%,4.1
96,5253313825,bpinnyc,0,165.95999,DST Vikings  FLEX Christian Watson QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Quentin Johnston,,Jauan Jennings,FLEX,0.36%,0
97,5249869032,morrisnick77,0,165.86,DST Raiders  FLEX Marvin Harrison Jr. QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Ladd McConkey WR Stefon Diggs,,Rachaad White,FLEX,0.36%,4.7
98,5254413687,TMcHale4707,0,165.72,DST Raiders  FLEX Trey McBride QB Jalen Hurts RB Omarion Hampton RB Ashton Jeanty TE David Njoku WR DeVonta Smith WR Christian Watson WR Quentin Johnston,,Keaton Mitchell,RB,0.34%,0.9
99,5254292534,jdock22,0,165.66,DST Raiders  FLEX Jack Bech QB Justin Herbert RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR DeVonta Smith WR Ladd McConkey,,Dontayvion Wicks,FLEX,0.34%,15.3
100,5253640967,notnex,0,165.62,DST Raiders  FLEX Ladd McConkey QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR Justin Jefferson WR DeVonta Smith WR Dontayvion Wicks,,Jack Bech,WR,0.32%,11.3
100,5254339947,Eagles938106,0,165.62,DST Raiders  FLEX Justin Jefferson QB Jalen Hurts RB Saquon Barkley RB Ashton Jeanty TE Michael Mayer WR DeVonta Smith WR Ladd McConkey WR Dontayvion Wicks,,Caleb Douglas,FLEX,0.27%,14.4
102,5250572218,edevans79,0,165.58,DST Raiders  FLEX Justin Jefferson QB Jordan Love RB Omarion Hampton RB Jacory Croskey-Merritt TE Tucker Kraft WR Ladd McConkey WR Christian Watson WR Michael Wilson,,Antonio Williams,WR,0.21%,16.4
102,5254057973,jailboyz,0,165.57999,DST Raiders  FLEX Saquon Barkley QB Jordan Love RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Quentin Johnston WR Matthew Golden,,Chris Bell,FLEX,0.17%,3.5
104,5254465305,Czech58,0,165.45999,DST Raiders  FLEX Christian Watson QB Justin Herbert RB Ashton Jeanty RB Aaron Jones Sr. TE Trey McBride WR Ladd McConkey WR Michael Wilson WR Makai Lemon,,Hollywood Brown,FLEX,0.17%,0
105,5254405227,PANTHERSFAN59,0,165.42,DST Eagles  FLEX Ladd McConkey QB Kyler Murray RB Saquon Barkley RB Ashton Jeanty TE Dallas Goedert WR Justin Jefferson WR Christian Watson WR Malik Washington,,Kimani Vidal,FLEX,0.17%,0
106,5253616595,Harpua99,0,165.15999,DST Raiders  FLEX De'Von Achane QB Justin Herbert RB Omarion Hampton RB Ashton Jeanty TE Dallas Goedert WR Ladd McConkey WR Christian Watson WR Quentin Johnston,,Greg Dulcich,FLEX,0.17%,3.8
