player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0036223,Jonathan Taylor,RB,IND,8500,134503-89675,15.8694,15.8694,1.0,0.923760510700526,14.659551560570732,HOU,20.53,42.56,2.0,1.0,8.7071,statline_mc+recal_10_4b,2.579510550642498,31.41564247052009,0.0,0.0,0.0,16.8875,67.03040912712957,0.71,3.41125,2.649,20.14510647857773,0.09225,14.659551560570732,0.0,25.39999961853028,78.00107013385387,5.091683186090919,,classic,True,,ACTIVE
00-0030565,Geno Smith,QB,NYJ,6700,134503-26483,15.581,15.581,1.0,0.9210607722376892,14.3510405133791,DET,20.47,47.5,2.0,1.0,7.4209,statline_mc+recal_10_4b,5.260347590385155,25.319627382018865,34.514,226.4848334115997,1.08875,3.802,13.463971769151122,0.127,0.0,0.0,0.0,0.0,14.3510405133791,0.0,12.4399995803833,66.60221941537351,1.5741838926937919,,classic,True,,ACTIVE
00-0039851,Drake Maye,QB,NE,7400,134503-152316,14.8472,14.8472,1.0,0.9660564132849628,14.343216315096257,JAX,21.47,45.89,2.0,1.0,7.4321,statline_mc+recal_10_4b,5.2747897733448,25.1172197796922,31.894,218.1373067344273,1.1255,3.767,16.50974045719162,0.1425,0.0,0.0,0.0,0.0,14.343216315096257,0.0,10.920000076293944,70.1567123782028,2.0291750458492177,,classic,True,,ACTIVE
00-0037239,Chris Olave,WR,NO,8100,134503-87770,13.4332,13.4332,1.0,1.0497483056328916,14.10150173403576,LV,23.33,43.56,2.0,1.0,8.5461,statline_mc+recal_10_4b,2.6794397229259417,30.48569124883821,0.0,0.0,0.0,0.11375,0.8311221609093333,0.0055,8.59625,5.7885,85.08639517944827,0.4405,14.10150173403576,0.0,22.39999961853028,84.4575706018231,6.598991537616386,,classic,True,,ACTIVE
00-0034855,Baker Mayfield,QB,TB,7300,134503-41535,14.7486,14.7486,1.0,0.9273601619843076,13.677267229738565,MIN,20.61,42.5,2.0,1.0,7.386,statline_mc+recal_10_4b,4.881583398610519,23.927425249484344,31.53825,196.43119735527387,1.06475,3.79625,16.812693355276103,0.1755,0.0,0.0,0.0,0.0,13.677267229738565,0.0,12.40999984741211,65.2748173042223,1.4317858884274237,,classic,True,,ACTIVE
00-0034869,Sam Darnold,QB,SEA,6900,134503-63589,12.6195,12.6195,1.0,1.074945864619365,13.56526731437797,WAS,23.89,40.28,1.0,1.0,7.332,statline_mc+recal_10_4b,5.179569071341679,23.725500545439697,29.46175,222.13168285944923,1.34625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.56526731437797,0.0,0.5199999809265137,64.91117827499096,1.3950752015354633,,classic,True,,ACTIVE
00-0038597,Chase Brown,RB,CIN,7500,134503-89493,13.0559,13.0559,1.0,1.0335498748558731,13.493873034070685,PIT,22.97,42.44,2.0,1.0,8.3744,statline_mc+recal_10_4b,2.5943619853477125,28.608184267642876,0.0,0.0,0.0,15.55025,65.07772980120683,0.48325,4.018,3.03675,20.85225053949999,0.1125,13.493873034070685,0.0,13.0,79.6361394740229,5.90766776355266,,classic,True,,ACTIVE
00-0040122,Ashton Jeanty,RB,LV,7700,134503-167031,14.3982,14.3982,1.0,0.9098118619758708,13.09961408315935,NO,20.22,43.56,2.0,1.0,8.1853,statline_mc+recal_10_4b,2.6971120384405487,27.392715632941385,0.0,0.0,0.0,15.96325,55.76278306987608,0.31675,5.08025,3.85775,27.28460776171745,0.19575,13.09961408315935,0.0,20.5,73.39284182075593,3.349056331762479,,classic,True,,ACTIVE
00-0038933,Dalton Kincaid,TE,BUF,5700,134503-145558,10.1292,10.1292,1.0,1.290924941646278,13.075988327927137,LAC,28.69,50.17,2.0,1.0,7.7367,statline_mc+recal_10_4b,2.485362848718444,28.617182749257577,0.0,0.0,0.0,0.0,0.0,0.0,6.68075,4.78775,78.68113327927134,0.4815,13.075988327927137,0.0,18.75,96.78340714256693,9.515756888800547,,classic,True,,ACTIVE
00-0035228,Kyler Murray,QB,MIN,7000,134503-63484,13.1382,13.1382,1.0,0.9849545825248178,12.940519237509305,TB,21.89,42.5,1.0,1.0,7.3188,statline_mc+recal_10_4b,4.673074475387503,22.683310655528967,29.17325,195.65440822657345,1.242,1.66175,6.815929084463656,0.06875,0.0,0.0,0.0,0.0,12.940519237509305,0.0,0.6200000047683716,63.57131901840491,1.267750524119393,,classic,True,,ACTIVE
