player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0041512,Jadarian Price,RB,SEA,10800,43782106,6.147749999999999,6.147749999999999,0.854146857548446,1.07893549842129,5.665572176081942,NE,23.92,44.33,0.0,0.0,8.458950000000002,statline_mc+recal_10_4b,0.5089060331050613,13.242280365781287,0.0,0.0,0.0,3.061,11.680491245000601,0.08225,1.44675,1.093,7.9149899288790095,0.03625,CPT,showdown,23.5401119402985,0.20360691135975525,True
00-0033908,Cooper Kupp,WR,SEA,5200,43782050,5.4562,5.4562,0.9485844937589668,1.07893549842129,5.584226824173975,NE,23.92,44.33,16.0,1.0,6.6413,statline_mc+recal_10_4b,0.4172009937248442,12.335409296526786,0.0,0.0,0.0,0.0,0.0,0.0,3.07575,1.98775,26.627268241739753,0.1315,FLEX,showdown,74.19776119402984,28.670475998095412,True
00-0036875,Rhamondre Stevenson,RB,NE,8400,43782038,7.0914,7.0914,0.841558302419949,0.92106450157871,5.496776333749105,SEA,20.42,44.33,14.0,1.0,6.2678,statline_mc+recal_10_4b,0.6940481643464286,12.369533448876119,0.0,0.0,0.0,4.983,17.178502522546108,0.17025,1.77275,1.43575,9.859260814944948,0.0485,FLEX,showdown,65.46641791044776,16.019045052755764,True
00-0033555,Mack Hollins,WR,NE,5400,43782120,6.941699999999999,6.941699999999999,0.8534011212238135,0.92106450157871,5.45640149176748,SEA,20.42,44.33,14.0,0.6,8.5815,statline_mc+recal_10_4b,0.0,12.779320971346971,0.0,0.0,0.0,0.0,0.0,0.0,2.35525,1.59975,15.283509945116528,0.07775,CPT,showdown,43.97201492537313,0.7949809050387507,True
00-0033090,Hunter Henry,TE,NE,4800,43782052,5.108,5.108,1.103693481759647,0.92106450157871,5.1926735297483395,SEA,20.42,44.33,17.0,1.0,5.8496,statline_mc+recal_10_4b,0.036184105413348655,11.857167979869446,0.0,0.0,0.0,0.0,0.0,0.0,2.66925,1.8285,22.25423529748338,0.178,FLEX,showdown,63.67537313432835,14.216103126733143,True
00-0038797,Emanuel Wilson,RB,SEA,6000,43782119,5.2005,5.2005,0.854146857548446,1.07893549842129,4.792582801778887,NE,23.92,44.33,17.0,1.0,8.59965,statline_mc+recal_10_4b,0.2759726402115056,12.382094479296963,0.0,0.0,0.0,4.5645,17.03197456158262,0.119,0.5025,0.3945,2.831077450276628,0.01175,CPT,showdown,65.16791044776119,3.2661846109971915,True
00-0037545,Rashid Shaheed,WR,SEA,9600,43782108,4.29285,4.29285,0.9485844937589668,1.07893549842129,4.393536159007209,NE,23.92,44.33,18.0,1.0,8.1195,statline_mc+recal_10_4b,0.0,11.26276283656746,0.0,0.0,0.0,0.143,0.9628985487790029,0.004,1.74475,1.09225,13.142342511269065,0.06075,CPT,showdown,64.64552238805969,3.154394775778673,True
00-0038476,Tommy DeVito,QB,NE,12000,43782103,5.5503,5.5503,0.858627408529985,0.92106450157871,4.389423795812304,SEA,20.42,44.33,0.0,0.0,10.04445,statline_mc+recal_10_4b,0.824865118815796,10.162425429956143,7.0405,40.41386784118337,0.24175,1.054,3.4922781689420104,0.038,0.0,0.0,0.0,0.0,CPT,showdown,17.19309701492537,0.1333606218690392,True
00-0037816,Romeo Doubs,WR,NE,9900,43782107,5.0499,5.0499,0.8534011212238135,0.92106450157871,3.9693972652440985,SEA,20.42,44.33,16.0,0.8,7.87335,statline_mc+recal_10_4b,0.0,9.918847378446134,0.0,0.0,0.0,0.0,0.0,0.0,1.6995,1.08075,11.017648434960659,0.0735,CPT,showdown,44.61996268656716,0.8300738003810858,True
00-0038608,Kayshon Boutte,WR,NE,8400,43782111,4.84275,4.84275,0.8534011212238135,0.92106450157871,3.806634565264593,SEA,20.42,44.33,14.0,0.8,7.9293,statline_mc+recal_10_4b,0.0,10.176926520019418,0.0,0.0,0.0,0.0,0.0,0.0,1.423,0.957,10.99006376843062,0.07575,CPT,showdown,45.13936567164179,0.8593200857811272,True
00-0041512,Jadarian Price,RB,SEA,7200,43782043,4.0985,4.0985,0.854146857548446,1.07893549842129,3.7770481173879613,NE,23.92,44.33,0.0,0.0,5.6393,statline_mc+recal_10_4b,0.33927068873670757,8.828186910520857,0.0,0.0,0.0,3.061,11.680491245000601,0.08225,1.44675,1.093,7.9149899288790095,0.03625,FLEX,showdown,23.722947761194025,0.9909217783781181,True
