player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_raw_status,injury_status
00-0037664,Alec Pierce,WR,IND,7600,44191019,8.7874,8.7874,0.8845184884193417,0.9055536433157244,7.038500011250097,KC,20.17,46.33,1.0,1.0,6.9073,statline_mc+recal_10_4b,1.307582108687943,14.820045821211432,0.0,0.0,0.0,0.0655,0.2674533640376619,0.0015,4.53575,2.82175,30.150046748463296,0.1675,FLEX,showdown,64.60648148148148,12.836192711776668,True,,ACTIVE
00-0039067,Rashee Rice,WR,KC,9400,44191017,5.7005,5.7005,1.0464039008533117,1.1749300369644275,7.008447262910007,IND,26.17,46.33,1.0,1.0,7.2921,statline_mc+recal_10_4b,1.0527611397921377,15.889302349455413,0.0,0.0,0.0,0.06725,0.3905623256886878,0.00325,3.4125,2.145,32.74391030341138,0.22025,FLEX,showdown,68.58796296296296,16.738322237588974,True,,ACTIVE
00-0040128,Tyler Warren,TE,IND,7200,44191020,7.0771,7.0771,1.059297423887588,0.9055536433157244,6.788696764195914,KC,20.17,46.33,1.0,1.0,6.0818,statline_mc+recal_10_4b,1.2462275140374215,14.630300140301877,0.0,0.0,0.0,0.0,0.0,0.0,3.99475,2.627,26.58196764195915,0.23375,FLEX,showdown,64.14351851851852,12.44606537701131,True,,ACTIVE
DST_IND,Colts,DST,IND,3200,44191035,6.322963720500001,6.322963720500001,0.9231951753266484,0.8589132067516106,6.322963720500001,KC,20.17,46.33,,,5.8675,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,62.013888888888886,10.79873751291075,True,,ACTIVE
00-0030279,Keenan Allen,WR,IND,5600,44191027,7.7913,7.7913,0.8845184884193417,0.9055536433157244,6.240665685902251,KC,20.17,46.33,1.0,1.0,6.6917,statline_mc+recal_10_4b,1.1282305363536649,13.29468734421379,0.0,0.0,0.0,0.0585,0.2928210361010346,0.002,4.05825,2.68225,24.928835822921474,0.15175,FLEX,showdown,61.64351851851852,10.535366888433884,True,,ACTIVE
00-0041013,Emmett Johnson,RB,KC,3600,44191033,4.3243,4.3243,1.1366608368088251,1.1749300369644275,5.77513842421227,IND,26.17,46.33,1.0,1.0,6.6184,statline_mc+recal_10_4b,0.558103527645239,13.789056872285286,0.0,0.0,0.0,4.41,23.16840033972833,0.1625,1.24075,0.94525,11.540483902394366,0.04475,FLEX,showdown,69.60648148148148,17.914350039355014,True,,ACTIVE
00-0038997,Josh Downs,WR,IND,6600,44191021,6.886,6.886,0.8845184884193417,0.9055536433157244,5.515501451901275,KC,20.17,46.33,1.0,1.0,6.4133,statline_mc+recal_10_4b,1.0070678853740236,12.103943157632497,0.0,0.0,0.0,0.06075,0.2947553181247742,0.00225,3.605,2.172,24.095259200887973,0.129,FLEX,showdown,59.23611111111111,8.973215146794901,True,,ACTIVE
00-0038104,Tyquan Thornton,WR,KC,5700,44191086,3.92295,3.92295,1.0464039008533117,1.1749300369644275,4.82315753492718,IND,26.17,46.33,1.0,1.0,8.7468,statline_mc+recal_10_4b,0.0,12.180826951828111,0.0,0.0,0.0,0.056,0.3459843521724259,0.00225,1.66,0.9945,15.47589921400877,0.0955,CPT,showdown,50.81018518518518,1.0416504320446651,True,,ACTIVE
00-0040906,Garrett Nussmeier,QB,KC,9000,44191078,3.2239500000000003,3.2239500000000003,1.0850026761819804,1.1749300369644275,4.1098045607821305,IND,26.17,46.33,0.0,0.0,10.2975,statline_mc+recal_10_4b,0.3792933583820683,10.506551036037312,2.25075,20.96708015530857,0.13125,1.74875,9.469365009757444,0.096,0.0,0.0,0.0,0.0,CPT,showdown,44.97685185185185,0.7060406397733894,True,,ACTIVE
00-0036945,Justin Fields,QB,KC,9000,44191077,3.1267499999999995,3.1267499999999995,1.0850026761819804,1.1749300369644275,3.985954409900178,IND,26.17,46.33,0.0,0.0,10.26615,statline_mc+recal_10_4b,0.3491124673865673,10.435299926058091,2.21025,20.2825144005218,0.12775,1.74,9.152523639125796,0.09425,0.0,0.0,0.0,0.0,CPT,showdown,44.05092592592592,0.663775774999534,True,,ACTIVE
