player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
DST_WAS,Washington Commanders,D,WAS,3100,133647-12552,5.600385117,5.600385117,0.7492558562999313,0.9234872130487314,5.600385117,PHI,19.44,44.28,,,5.8824,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.563304721030043,1.8602500637140158,,classic,True
00-0038128,Malik Willis,QB,MIA,6500,133647-87691,6.7841,6.7841,0.9836123276451436,0.8346731125976727,5.56970825366184,LV,18.56,40.17,4.0,0.6889179252877758,6.83,statline_mc+recal_10_4b,1.1898112928769216,11.67317723507647,8.7995,68.06872289141445,0.38575,2.946,11.219593380052618,0.12225,0.0,0.0,0.0,0.0,37.63499735639924,1.2709424474554092,,classic,True
00-0040464,DJ Uiagalelei,QB,LAC,6000,133647-129010,3.994,3.994,1.0405077628785266,1.271797178031368,5.285254679178222,ARI,28.28,47.22,0.0,0.0,6.7402,statline_mc+recal_10_4b,1.200270405401869,11.109659050205126,7.554,71.23799555319172,0.44325,1.10925,6.094848570505535,0.062,0.0,0.0,0.0,0.0,26.511062601746335,0.6054175217141671,,classic,True
00-0036912,DeVonta Smith,WR,PHI,7500,133647-90576,4.1462,4.1462,1.140969265489402,1.1166451177694081,5.2825052622392015,WAS,24.83,44.28,17.0,1.0,5.8283,statline_mc+recal_10_4b,0.5234371531929618,12.727209575008242,0.0,0.0,0.0,0.0,0.0,0.0,3.15025,2.0895,33.11755262239202,0.15775,83.73119369900486,22.739597027050888,,classic,True
00-0038400,Tanner McKee,QB,PHI,6000,133647-89607,3.9317,3.9317,1.2001471122452894,1.1166451177694081,5.269040853180405,WAS,24.83,44.28,4.0,0.6,6.7258,statline_mc+recal_10_4b,1.2364967083613083,11.063504100848245,8.31825,75.63283941723101,0.45475,0.95,4.674772764911649,0.04425,0.0,0.0,0.0,0.0,47.43167825958265,2.4421303925964386,,classic,True
00-0040189,Oronde Gadsden II,TE,LAC,5300,133647-158438,3.1766,3.1766,1.294150910801751,1.271797178031368,5.228360097748934,ARI,28.28,47.22,15.0,1.0,5.2686,statline_mc+recal_10_4b,0.0,12.997063739265784,0.0,0.0,0.0,0.0,0.0,0.0,2.32325,1.62025,32.42735097748934,0.19975,93.70717566448309,36.591350034255164,,classic,True
00-0039391,Kimani Vidal,RB,LAC,5100,133647-128633,3.2687,3.2687,1.2117466596847402,1.271797178031368,5.037318874740799,ARI,28.28,47.22,13.0,0.8,6.1601,statline_mc+recal_10_4b,0.3561809560635076,12.60124215635078,0.0,0.0,0.0,4.83275,31.392408066739833,0.18025,0.551,0.412,4.965780680668158,0.02725,71.57080203862661,16.031346666990196,,classic,True
00-0038454,Keaton Mitchell,RB,LAC,4400,133647-134023,3.2363,3.2363,1.2117466596847402,1.271797178031368,4.987481458080451,ARI,28.28,47.22,13.0,1.0,6.2998,statline_mc+recal_10_4b,0.35500185354945196,12.30040451486913,0.0,0.0,0.0,4.3975,34.175801813491375,0.16775,0.438,0.33175,3.5602627673131373,0.01525,77.68195636623749,24.093841315639068,,classic,True
00-0039923,J.J. McCarthy,QB,MIN,6300,133647-152575,5.0118,5.0118,0.9214461223964856,1.0707740738658722,4.944960590301575,GB,23.81,46.22,10.0,0.8,6.8004,statline_mc+recal_10_4b,0.7543509616780372,11.115209131735874,9.1115,61.879528588359825,0.41975,1.639,7.2427944676718194,0.093,0.0,0.0,0.0,0.0,55.19710300429185,4.098273359029423,,classic,True
00-0040727,Tre' Harris,WR,LAC,4700,133647-129546,3.8481,3.8481,0.9720574207207836,1.271797178031368,4.757203361750537,ARI,28.28,47.22,16.0,1.0,5.6164,statline_mc+recal_10_4b,0.2511268276437578,11.681888103376007,0.0,0.0,0.0,0.251,1.8595205802375967,0.0105,2.85825,1.87725,27.251263037267766,0.14525,87.22751497429608,28.708574818313295,,classic,True
