player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0036244,Colby Parkinson,TE,LA,5400,44191194,9.7632,9.7632,0.922903981264637,1.1392244119516848,10.265016539757694,NYG,26.88,47.19,1.0,1.0,9.1248,statline_mc+recal_10_4b,1.9236185895651852,22.629924648449247,0.0,0.0,0.0,0.0,0.0,0.0,3.84175,2.52375,28.23594359838461,0.2285,6.843344359838462,0.0,CPT,showdown,72.75943396226415,0.9986518040883401,True,4.588911929716931,,ACTIVE
00-0039738,Blake Corum,RB,LA,4600,44191138,6.9601,6.9601,1.0204224404681823,1.1392244119516848,8.0910350447939,NYG,26.88,47.19,1.0,1.0,7.5723,statline_mc+recal_10_4b,0.9774154945233532,19.82413169426689,0.0,0.0,0.0,6.6235,45.86686629355552,0.2645,1.08025,0.81,5.403484154383468,0.03975,8.0910350447939,0.0,FLEX,showdown,75.87264150943396,32.02861247540206,True,27.76622476366112,,ACTIVE
00-0039498,Harrison Mevis,K,LA,5000,44191136,8.06875,8.06875,1.0,1.0,8.06875,NYG,0.0,0.0,,,4.8633,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06875,0.0,FLEX,showdown,49.69339622641509,15.043526558487756,True,4.847859787536333,,ACTIVE
00-0041145,Dominic Zvada,K,NYG,4800,44191137,7.9954,7.9954,1.0,1.0,7.9954,LA,0.0,0.0,,,4.8596,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9954,0.0,FLEX,showdown,52.146226415094326,16.88336084589845,True,5.709088274567594,,ACTIVE
DST_NYG,Giants,DST,NYG,4800,44191196,7.966490359499999,7.966490359499999,0.8013080231542923,0.8398109243697479,7.966490359499999,LA,20.31,47.19,,,8.5155,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310993572999999,0.0,CPT,showdown,57.09905660377358,0.8573950215397631,True,1.6154568345891145,,ACTIVE
DST_LA,Rams,DST,LA,4200,44191139,7.944816726000001,7.944816726000001,1.1986919768457076,1.1114779737596665,7.944816726000001,NYG,26.88,47.19,,,5.7567,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.944816726000001,0.0,FLEX,showdown,75.1179245283019,19.488172182994113,True,26.403745632180463,,ACTIVE
00-0036309,Darnell Mooney,WR,NYG,5700,44191193,7.7709,7.7709,1.1114181227143436,0.8607755880483153,7.434270805042878,LA,20.31,47.19,1.0,1.0,9.35685,statline_mc+recal_10_4b,0.3765873412385748,17.48730358100739,0.0,0.0,0.0,0.06125,0.2437500285974408,0.00175,2.8335,1.76975,23.01305533835508,0.12475,4.9561805366952525,0.0,CPT,showdown,51.25,0.9986518040883401,True,1.0467137792257883,,ACTIVE
00-0035250,Devin Singletary,RB,NYG,4500,44191197,8.729099999999999,8.729099999999999,0.9877034844611868,0.8607755880483153,7.421405359314685,LA,20.31,47.19,1.0,1.0,9.2178,statline_mc+recal_10_4b,1.017849151483957,16.605479215210053,0.0,0.0,0.0,2.98275,12.356652311824323,0.0725,2.1255,1.6615,11.039383416940243,0.07825,4.9476035728764565,0.0,CPT,showdown,54.64622641509434,0.9986518040883401,True,1.3717616281731877,,ACTIVE
00-0041042,Malachi Fields,WR,NYG,5600,44191135,7.6575,7.6575,1.1114181227143436,0.8607755880483153,7.325748553506786,LA,20.31,47.19,1.0,1.0,7.1071,statline_mc+recal_10_4b,1.2190655881356294,16.46895514710781,0.0,0.0,0.0,0.06575,0.382817480906815,0.0035,4.22175,2.54725,33.28716805416104,0.19575,7.325748553506786,0.0,FLEX,showdown,57.57075471698113,17.66820753816941,True,7.843376377951116,,ACTIVE
00-0036244,Colby Parkinson,TE,LA,3600,44191141,6.5088,6.5088,0.922903981264637,1.1392244119516848,6.843344359838462,NYG,26.88,47.19,1.0,1.0,6.0832,statline_mc+recal_10_4b,1.282412393043457,15.086616432299495,0.0,0.0,0.0,0.0,0.0,0.0,3.84175,2.52375,28.23594359838461,0.2285,6.843344359838462,0.0,FLEX,showdown,74.08018867924528,29.385062121545072,True,24.63882596874989,,ACTIVE
00-0033110,Tyler Higbee,TE,LA,4200,44191198,5.5182,5.5182,0.922903981264637,1.1392244119516848,5.801782440191561,NYG,26.88,47.19,1.0,1.0,7.9584,statline_mc+recal_10_4b,0.0,14.20064084252586,0.0,0.0,0.0,0.0,0.0,0.0,2.086,1.42025,15.086049601277075,0.15075,3.867854960127708,0.0,CPT,showdown,59.45754716981132,0.9986518040883401,True,1.8905172914292143,,ACTIVE
00-0040737,Terrance Ferguson,TE,LA,2700,44191202,5.23485,5.23485,0.922903981264637,1.1392244119516848,5.503823765444771,NYG,26.88,47.19,1.0,1.0,7.779,statline_mc+recal_10_4b,0.0,13.758829106307658,0.0,0.0,0.0,0.0,0.0,0.0,2.0455,1.3345,15.46215843629848,0.12625,3.669215843629848,0.0,CPT,showdown,68.04245283018868,0.9986518040883401,True,3.350727662099716,,ACTIVE
DST_NYG,Giants,DST,NYG,3200,44191143,5.310993572999999,5.310993572999999,0.8013080231542923,0.8398109243697479,5.310993572999999,LA,20.31,47.19,,,5.677,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310993572999999,0.0,FLEX,showdown,59.740566037735846,6.769097064982928,True,9.472081168274656,,ACTIVE
00-0040590,Konata Mumpfield,WR,LA,1500,44191206,4.6122000000000005,4.6122000000000005,0.9898415278342136,1.1392244119516848,5.200907972797774,NYG,26.88,47.19,1.0,1.0,8.55405,statline_mc+recal_10_4b,0.0,12.749650507736622,0.0,0.0,0.0,0.03375,0.1608067743209039,0.001,2.084,1.25225,15.276913044330922,0.1025,3.4672719818651827,0.0,CPT,showdown,75.77830188679246,0.2874926609330701,True,5.611964324723995,,ACTIVE
00-0036309,Darnell Mooney,WR,NYG,3800,44191140,5.1806,5.1806,1.1114181227143436,0.8607755880483153,4.9561805366952525,LA,20.31,47.19,1.0,1.0,6.2379,statline_mc+recal_10_4b,0.2510582274923832,11.65820238733826,0.0,0.0,0.0,0.06125,0.2437500285974408,0.00175,2.8335,1.76975,23.01305533835508,0.12475,4.9561805366952525,0.0,FLEX,showdown,53.2311320754717,1.9405204095293809,True,5.872974449373254,,ACTIVE
00-0035250,Devin Singletary,RB,NYG,3000,44191144,5.8194,5.8194,0.9877034844611868,0.8607755880483153,4.9476035728764565,LA,20.31,47.19,1.0,1.0,6.1452,statline_mc+recal_10_4b,0.6785661009893047,11.070319476806702,0.0,0.0,0.0,2.98275,12.356652311824323,0.0725,2.1255,1.6615,11.039383416940243,0.07825,4.9476035728764565,0.0,FLEX,showdown,57.2877358490566,17.66820753816941,True,8.04319695046873,,ACTIVE
00-0037557,Ronnie Rivers,RB,LA,2100,44191204,3.89445,3.89445,1.0204224404681823,1.1392244119516848,4.527272413856622,NYG,26.88,47.19,1.0,1.0,8.11365,statline_mc+recal_10_4b,0.2306672555881428,11.288552673180916,0.0,0.0,0.0,2.612,12.418753176120513,0.056,0.90225,0.6925,6.268062916256964,0.01775,3.018181609237748,0.0,CPT,showdown,72.85377358490567,0.9986518040883401,True,4.617863959721387,,ACTIVE
00-0038359,Xavier Smith,WR,LA,300,44191217,3.6162,3.6162,0.9898415278342136,1.1392244119516848,4.07776743411064,NYG,26.88,47.19,1.0,1.0,8.27655,statline_mc+recal_10_4b,0.0,11.15618378365074,0.0,0.0,0.0,0.0395,0.2118818492870886,0.00275,1.43525,0.8785,12.728234378117175,0.082,2.7185116227404262,0.0,CPT,showdown,71.25,0.2874926609330701,True,4.149608584490509,,ACTIVE
00-0033110,Tyler Higbee,TE,LA,2800,44191145,3.6788,3.6788,0.922903981264637,1.1392244119516848,3.867854960127708,NYG,26.88,47.19,1.0,1.0,5.3056,statline_mc+recal_10_4b,0.0,9.46709389501724,0.0,0.0,0.0,0.0,0.0,0.0,2.086,1.42025,15.086049601277075,0.15075,3.867854960127708,0.0,FLEX,showdown,60.77830188679245,1.9405204095293809,True,10.150581934857511,,ACTIVE
