player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0037744,Trey McBride,TE,ARI,6700,44221104,19.305,19.305,1.0,0.8862257508800837,17.108591278718503,SF,19.72,47.89,2.0,1.0,7.5149,statline_mc+recal_10_4b,3.799930504381868,32.45533124719263,0.0,0.0,0.0,0.0,0.0,0.0,9.43025,6.527,56.42328361819651,0.4985,15.58432836181965,1.5242629168988522,21.3,,79.06028368794325,6.0172615083623535,,classic,True,,ACTIVE,3.0610512814850828,3.1367014275989127
00-0036971,Trevor Lawrence,QB,JAX,5700,44220228,15.6058,15.6058,1.0,1.096097670586473,17.105438608892506,NE,24.39,45.83,2.0,1.0,8.1006,statline_mc+recal_10_4b,7.204566412667115,32.391973377775294,32.3385,276.58954661281257,1.89675,1.74875,7.901383465577149,0.076,0.0,0.0,0.0,0.0,20.122470211070212,-3.0170316021777097,16.6,5.3,81.26568925442517,4.391802767859371,,classic,True,,ACTIVE,4.405535513448698,4.44189844412131
00-0037248,James Cook III,RB,BUF,6900,44220314,13.0603,13.0603,1.0,1.288442813272414,16.827449262065567,LAC,28.67,50.11,2.0,1.0,9.5071,statline_mc+recal_10_4b,4.885651195596116,38.27185096598886,0.0,0.0,0.0,13.994,89.33034191160162,0.56375,3.37025,2.4575,22.389905955946457,0.11475,18.59602478675481,-1.7685755246892434,16.9,5.6,94.84146850229452,13.7467464584967,,classic,True,,ACTIVE,24.4998793225578,24.46873477907573
00-0036900,Ja'Marr Chase,WR,CIN,8100,44220612,16.0899,16.0899,1.0,1.0336304396674405,16.63101999266939,PIT,23.0,42.5,2.0,1.0,8.2837,statline_mc+recal_10_4b,4.65232654538004,29.97745151597828,0.0,0.0,0.0,0.03475,0.1256486057673122,0.00125,5.95375,3.782,47.14505013965885,0.36025,11.041319874542616,5.589700118126775,14.9,6.3,79.42156824138907,3.408476670270362,,classic,True,,ACTIVE,5.005449772743552,5.122933622738988
00-0038597,Chase Brown,RB,CIN,6600,44220320,15.9007,15.9007,1.0,1.0336304396674405,16.43547014332969,PIT,23.0,42.5,2.0,1.0,8.7183,statline_mc+recal_10_4b,4.755827711470794,33.95462044571568,0.0,0.0,0.0,15.004,62.552295439143855,0.444,4.00625,2.9855,21.410522463318834,0.11475,15.28953179024627,1.1459383530834213,15.0,22.5,79.96734360410831,17.04566763180308,,classic,True,,ACTIVE,6.337440747497412,6.329384516022682
00-0038606,Parker Washington,WR,JAX,6000,44220640,14.8182,14.8182,1.0,1.096097670586473,16.242199046349484,NE,24.39,45.83,2.0,1.0,9.7521,statline_mc+recal_10_4b,4.513361939165305,35.540506487238815,0.0,0.0,0.0,0.0415,0.2831847707452776,0.0005,9.00425,5.666,85.12477110688644,0.5065,17.968795587763168,-1.7265965414136843,18.1,17.2,87.64173116916676,25.9164668884868,,classic,True,,ACTIVE,8.117857536426753,8.308393292531468
00-0039851,Drake Maye,QB,NE,6100,44220224,16.6884,16.6884,1.0,0.963523331585649,16.07967742880524,JAX,21.44,45.83,2.0,1.0,7.8506,statline_mc+recal_10_4b,6.447041781172671,28.206458317127517,32.48675,223.767552183848,1.13825,3.6775,16.05777806058339,0.1325,0.0,0.0,0.0,0.0,15.39947989341226,0.6801975353929812,10.9,3.5,73.29501162166994,2.853790525224424,,classic,True,,ACTIVE,2.493101966501329,2.5136798267162552
00-0039064,Zay Flowers,WR,BAL,6900,44220624,12.499,12.499,1.0,1.2731630589468952,15.91327675273373,DAL,28.33,53.28,1.0,0.5,8.4871,statline_mc+recal_10_4b,4.395805111427035,30.74232617110274,0.0,0.0,0.0,0.06775,0.5481910822265911,0.0015,4.47975,2.868,58.68931922731249,0.30825,11.149001030953906,4.764275721779823,29.0,,64.49196474717891,2.6649192286367676,,classic,True,Questionable,QUESTIONABLE,2.079890614538043,2.128708117072159
00-0036355,Justin Herbert,QB,LAC,5800,44220227,15.9642,15.9642,1.0,0.963523331585649,15.381874973005829,BUF,21.44,50.11,2.0,1.0,7.8488,statline_mc+recal_10_4b,5.931714667564806,27.626708038675574,33.41625,228.2437579177772,1.31725,2.8435,10.733461393699384,0.0995,0.0,0.0,0.0,0.0,15.628346456081028,-0.246471483075199,12.1,,76.25710709815841,0.6163131625295902,,classic,True,,ACTIVE,3.0805432248836024,3.10596977731485
00-0039163,C.J. Stroud,QB,HOU,5500,44220230,15.4654,15.4654,1.0,0.9913864130027712,15.332208757191392,IND,22.06,42.61,2.0,1.0,7.9266,statline_mc+recal_10_4b,5.895036167185844,28.774014951058145,37.80975,258.3018002629583,1.31225,2.35825,10.911528585656292,0.09525,0.0,0.0,0.0,0.0,17.320974869083962,-1.98876611189257,19.2,4.9,72.04644198104775,4.212036929947103,,classic,True,,ACTIVE,2.280384705168258,2.299206814464117
00-0039361,Bucky Irving,RB,TB,6300,44220326,16.0711,16.0711,1.0,0.9248745412328664,14.863750640740168,MIN,20.58,42.5,2.0,1.0,8.551,statline_mc+recal_10_4b,4.235274212213144,29.808920114924028,0.0,0.0,0.0,11.85875,51.35668636565092,0.33475,4.50225,3.64325,24.33646107232156,0.1175,14.38281474379725,0.4809358969429187,17.2,,72.16493334922622,3.1231122064296977,,classic,True,,ACTIVE,3.1179165184124207,3.1139529851515957
00-0040666,Omarion Hampton,RB,LAC,6800,44220316,15.4164,15.4164,1.0,0.963523331585649,14.854056228000449,BUF,21.44,50.11,2.0,1.0,8.3892,statline_mc+recal_10_4b,4.232063422713749,29.530988554439745,0.0,0.0,0.0,13.83575,56.824483365291805,0.49475,1.8335,1.39875,10.563445602712813,0.0485,11.81179289680046,3.0422633311999867,13.9,,82.49240121580546,3.62935414547966,,classic,True,,ACTIVE,7.9727199757635985,7.962584957517738
00-0038120,Breece Hall,RB,NYJ,6400,44220324,15.867,15.867,1.0,0.9338626320125832,14.81762161882754,DET,20.78,48.11,2.0,1.0,8.0485,statline_mc+recal_10_4b,4.219996280155682,28.836950660360717,0.0,0.0,0.0,13.09025,46.05396412574408,0.3575,3.552,2.78875,22.02255731640889,0.09525,12.6791521442153,2.1384694746122417,18.5,5.3,80.07367840753322,13.324386334543618,,classic,True,,ACTIVE,6.399000585638521,6.39086609855157
00-0037740,Garrett Wilson,WR,NYJ,6300,44220634,15.854,15.854,1.0,0.9338626320125832,14.8054342703193,DET,20.78,48.11,2.0,1.0,8.3052,statline_mc+recal_10_4b,3.999862208212118,28.421419763510208,0.0,0.0,0.0,0.03125,0.1558226986768831,0.001,6.84775,4.515,53.3411167740941,0.31525,12.1821939472771,2.6232403230422,15.3,21.4,82.1928337619827,15.973054643080385,,classic,True,,ACTIVE,5.891690051666269,6.029975013393127
00-0036997,Javonte Williams,RB,DAL,6700,44220318,13.161,13.161,1.0,1.1208149202306943,14.75104673155404,BAL,24.94,53.28,2.0,1.0,8.5633,statline_mc+recal_10_4b,4.197946677490698,30.93398647071449,0.0,0.0,0.0,11.436,49.68460264141705,0.405,4.07625,3.18975,26.82307091000604,0.15325,14.695017355142308,0.0560293764117325,16.1,,90.11395693028985,3.457980265194443,,classic,True,,ACTIVE,15.941000095709816,15.920735703216613
00-0039040,De'Von Achane,RB,MIA,6500,44220322,18.5493,18.5493,1.0,0.7828627069133398,14.521524542923377,KC,17.42,45.39,2.0,1.0,7.858,statline_mc+recal_10_4b,4.121928928616223,26.806062810314664,0.0,0.0,0.0,12.5585,38.55770456278343,0.22375,5.40575,3.96425,23.319036530013385,0.121,12.511424109279682,2.0101004336436947,11.5,44.6,69.57896279079006,11.217288978627192,,classic,True,,ACTIVE,2.46471643313615,2.4615832557391455
00-0037247,George Pickens,WR,DAL,6600,44220628,12.4924,12.4924,1.0,1.1208149202306943,14.001645157000612,BAL,24.94,53.28,2.0,1.0,8.3782,statline_mc+recal_10_4b,3.712587979112018,28.85517223049682,0.0,0.0,0.0,0.028,0.2341670644995857,0.0015,7.086,4.36775,56.11359409937302,0.35025,12.56452611638726,1.4371190406133518,7.9,,89.95346898342419,1.963670899745776,,classic,True,,ACTIVE,9.300338956909124,9.518628956115593
00-0034869,Sam Darnold,QB,SEA,5400,44220231,12.7332,12.7332,1.0,1.072279230020223,13.653560464889956,WAS,23.86,40.17,1.0,1.0,7.795,statline_mc+recal_10_4b,4.655354403321232,25.40076277818183,30.185,221.11214106801535,1.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.131485642720614,-0.4779251778306594,0.5,,66.26309672805291,0.33686104487017887,,classic,True,,ACTIVE,1.5086995725950358,1.5211522557697825
00-0036554,Nico Collins,WR,HOU,7000,44220622,13.7259,13.7259,1.0,0.9913864130027712,13.607649603540724,IND,22.06,42.61,1.0,0.5,7.1199,statline_mc+recal_10_4b,3.571773968305455,23.221424153860887,0.0,0.0,0.0,0.28925,1.613181361104287,0.007,4.19575,2.654,32.94595537623357,0.20675,7.613663673733786,5.993985929806938,21.2,,50.548965627038136,0.9312934016228837,,classic,True,Questionable,QUESTIONABLE,0.9158880703953344,0.9373850509985293
00-0034855,Baker Mayfield,QB,TB,5300,44220233,14.6813,14.6813,1.0,0.9248745412328664,13.578370985309892,MIN,20.58,42.5,2.0,1.0,7.8161,statline_mc+recal_10_4b,4.599826972651356,25.081113694141475,32.94725,204.9913860426321,1.08125,3.5705,15.78119486555684,0.15275,0.0,0.0,0.0,0.0,14.56327492826097,-0.9849039429510782,13.9,,63.69655596281065,0.5612850112179778,,classic,True,,ACTIVE,1.255989526447889,1.2663563615207944
00-0035228,Kyler Murray,QB,MIN,5100,44220235,13.7655,13.7655,1.0,0.9850947494569696,13.560301232601184,TB,21.92,42.5,1.0,1.0,7.872,statline_mc+recal_10_4b,4.586482460275975,25.66682103980045,30.214,201.91087175078056,1.2845,4.71375,19.534779797273657,0.19325,0.0,0.0,0.0,0.0,15.725662849758589,-2.165361617157405,0.6,,65.41359735383516,0.3324790328443996,,classic,True,,ACTIVE,1.4198759985572953,1.4315955391992061
00-0039491,Jalen Coker,WR,CAR,5500,44220654,13.4103,13.4103,1.0,1.003520335555389,13.45746481277324,CLE,22.33,42.22,2.0,1.0,9.0343,statline_mc+recal_10_4b,3.518097924085156,31.020013644336217,0.0,0.0,0.0,0.03975,0.2445315984107616,0.0015,7.46725,5.25625,68.63300783791163,0.44675,15.419253943632238,-1.9617891308589976,25.7,30.9,75.87536763348633,26.39305522313347,,classic,True,Questionable,QUESTIONABLE,4.06302283676126,4.158386807464027
00-0039067,Rashee Rice,WR,KC,6400,44220632,10.7012,10.7012,1.0,1.2569844955434049,13.451191616730476,MIA,27.97,45.39,2.0,1.0,8.1495,statline_mc+recal_10_4b,3.515855883819472,25.283194505319425,0.0,0.0,0.0,0.03575,0.2874786652908328,0.00125,4.1375,2.625,46.06083358291575,0.294,9.37008122482066,4.081110391909817,11.1,3.9,84.34193605946125,6.988550588558531,,classic,True,,ACTIVE,6.685631521151329,6.8425512319499004
00-0040124,Tetairoa McMillan,WR,CAR,6000,44220642,13.3322,13.3322,1.0,1.003520335555389,13.379168887343315,CLE,22.33,42.22,2.0,1.0,8.6003,statline_mc+recal_10_4b,3.490114960336501,29.38330057550717,0.0,0.0,0.0,0.043,0.3581414608168315,0.00125,7.79675,4.653,64.50697153888183,0.3355,13.708761299969863,-0.3295924126265497,14.8,10.5,74.78225022457944,9.80682429748987,,classic,True,,ACTIVE,3.80998866321968,3.8994136213985464
00-0029604,Kirk Cousins,QB,LV,4800,44220242,14.6457,14.6457,1.0,0.908695977829376,13.30845017054287,NO,20.22,43.56,2.0,1.0,7.9707,statline_mc+recal_10_4b,4.400490450945909,26.74688070386748,32.53175,209.504086015584,1.907,2.941,8.86760144573443,0.106,0.0,0.0,0.0,0.0,16.961673585196806,-3.6532234146539366,18.5,,61.51519756838905,0.7031086359749553,,classic,True,,ACTIVE,1.0747761585665354,1.0836472732864657
00-0031408,Mike Evans,WR,SF,6800,44220626,10.4417,10.4417,1.0,1.265972586323122,13.218961196638736,ARI,28.17,47.89,2.0,1.0,8.1375,statline_mc+recal_10_4b,3.432856731678684,27.10073850564939,0.0,0.0,0.0,0.03675,0.3137786272548352,0.00225,5.0215,3.37075,50.67987990266934,0.3235,10.842115852992418,2.376845343646318,12.7,,86.31754303926756,1.1627999876607376,,classic,True,Questionable,QUESTIONABLE,7.509529768437293,7.685787349455385
00-0030565,Geno Smith,QB,NYJ,4900,44220240,13.8975,13.8975,1.0,0.9338626320125832,12.978380302233932,DET,20.78,48.11,2.0,1.0,7.8467,statline_mc+recal_10_4b,4.156733853199758,24.98360385418076,35.0175,232.3445923930783,1.13125,3.51575,12.18606035993456,0.13475,0.0,0.0,0.0,0.0,15.614639731716588,-2.6362594294826565,12.4,,68.15210978008224,0.5864909492441283,,classic,True,,ACTIVE,1.726640431346003,1.740891980586702
00-0039337,Malik Nabers,WR,NYG,6500,44220630,14.1688,14.1688,1.0,0.9136394277582202,12.945219356710936,TEN,20.33,38.22,2.0,1.0,7.3257,statline_mc+recal_10_4b,3.3350213980884886,22.640419436083327,0.0,0.0,0.0,0.03375,0.2014275251226965,0.00175,5.4835,3.27675,36.02553274700104,0.211,8.410196027212372,4.535023329498564,7.0,3.5,63.29465747018938,2.015299588410771,,classic,True,,ACTIVE,1.9384437556536984,1.9839413324456803
