player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,salary_anchor,final_projection_pre_anchor,anchor_weight_used,points_above_anchor,chalk_score,estimated_ownership_pct
00-0031800,Taylor Heinicke,QB,WAS,5500,1487,16.338333333333335,15.4598,1.0089982262420976,0.9156816390858944,15.262747894204768,DAL,20.75,48.0,16.270901722066483,14.68948395287164,0.3625,-1.0082,43.78220837417729,0.8730016995066099
00-0031544,Amari Cooper,WR,DAL,5900,5376,13.84,9.534,1.1227509622578546,1.202521670606777,15.007569613745224,WAS,27.25,48.0,13.815363770381952,15.778996924156752,0.3929,1.1922,77.78227547495682,9.161911764732048
00-0032144,Melvin Gordon,RB,DEN,5400,2991,12.463636363636365,12.455000000000002,1.118753149120719,1.2135539795114263,14.979784834779602,DET,27.5,42.0,11.776252268244578,16.915609326856917,0.3767,3.2035,75.06136157256556,8.02135214596689
00-0036900,Ja'Marr Chase,WR,CIN,6900,5924,16.525000000000002,10.011,1.0164510213676905,1.026004728132388,14.568599798694237,SF,23.25,49.0,15.8552432857559,13.83697899232584,0.3625,-1.2866,65.24197610823259,3.971067328554189
00-0034827,D.J. Moore,WR,CAR,6200,5633,14.741666666666667,11.989,1.0976938592375076,0.9598108747044918,14.299068573918303,ATL,21.75,41.0,14.681815987081146,14.08142788800218,0.3625,-0.3827,68.1663788140472,4.8258895836038045
00-0035700,Josh Jacobs,RB,LV,6200,5712,15.18,17.531999999999996,1.0215945103720487,0.8384554767533491,14.196408515395412,KC,19.0,48.0,14.484617893544732,14.00992009423997,0.3929,-0.2882,63.152742909032646,3.626250134410199
00-0031408,Mike Evans,WR,TB,6600,5253,16.45,13.853000000000002,0.6902750014739814,1.235618597320725,13.86116940534879,BUF,28.0,52.5,15.511112787649289,12.92296630560929,0.3625,-1.6499,74.25086355785838,7.240044868679547
00-0034764,Michael Gallup,WR,DAL,5500,5634,10.88,12.362000000000002,1.1227509622578546,1.202521670606777,13.853989455467296,WAS,27.25,48.0,12.211343220906858,15.689888188211317,0.5278,1.6426,75.66421991940126,7.955401732522835
00-0035640,D.K. Metcalf,WR,SEA,6500,5725,14.25,8.301,1.0225225501764663,1.1142631993695824,13.771059767205712,HOU,25.25,40.5,15.396402621613747,12.846845202934478,0.3625,-1.6253,68.37111398963731,4.892209779997676
00-0034855,Baker Mayfield,QB,CLE,5200,1528,12.992727272727274,10.0334,1.073475519059728,1.037037037037037,13.650382162311397,BAL,23.5,44.0,15.02996184738956,12.816732406087691,0.3767,-1.3796,44.350231060075615,0.9066946024205862
00-0035659,Terry McLaurin,WR,WAS,7000,5757,14.416666666666666,10.303,1.0885383792877654,0.9156816390858944,13.642930149744185,DAL,20.75,48.0,15.969953451791437,12.31972082112908,0.3625,-2.327,59.255181347150256,2.664230455694193
00-0035662,Marquise Brown,WR,BAL,6300,5730,16.727272727272727,12.882,0.9524108484560728,0.9046493301812452,13.582808638024373,CLE,20.5,44.0,14.951658538554703,12.75564265535096,0.3767,-1.3688,63.01993379389752,3.424305758017788
00-0030578,Cordarrelle Patterson,RB,ATL,6900,5208,18.06363636363637,16.073,0.8015587696765305,0.8494877856579984,13.406725707373528,CAR,19.25,41.0,16.360104979811574,11.6220633662746,0.3767,-2.9534,60.46311628652315,3.030994101507188
00-0027656,Rob Gronkowski,TE,TB,6000,4494,16.085714285714285,15.835,0.6404820232290799,1.235618597320725,13.081343912379385,BUF,28.0,52.5,13.612075601349895,12.63089096627836,0.4591,-0.5307,80.52169689119171,8.094063593875518
00-0034753,Mark Andrews,TE,BAL,5900,4721,14.925,13.283,1.003267927220835,0.9046493301812452,13.015021825397646,CLE,20.5,44.0,13.391633295038414,12.80087020540584,0.3625,-0.3766,67.33937823834196,3.361239012811805
00-0036328,Antonio Gibson,RB,WAS,6000,5827,14.216666666666669,18.423,0.8387076609627869,0.9156816390858944,13.011387700918457,DAL,20.75,48.0,13.851888561721404,12.53345583889325,0.3625,-0.8405,62.94074835745954,3.5753609047008448
00-0034983,Hunter Renfrow,WR,LV,6100,5761,14.475,17.164,0.9161744225497248,0.8384554767533491,12.971296755392352,KC,19.0,48.0,14.41197343560759,12.15208844703467,0.3625,-1.4407,59.30573546344272,2.673224791623117
00-0034383,Dalton Schultz,TE,DAL,5400,4742,11.333333333333334,10.455000000000002,1.0111832560352003,1.202521670606777,12.899863498868246,WAS,27.25,48.0,12.289421763481007,13.24697742683354,0.3625,0.6104,81.17810880829015,8.456130639814559
00-0033357,Taysom Hill,QB,NO,5600,1530,7.3125,10.5578,1.069305740620743,1.026004728132388,12.815250833641018,NYJ,23.25,42.0,16.754522066479776,9.802866949705498,0.4333,-3.9393,36.119416048172525,0.5237867735745055
00-0036261,Brandon Aiyuk,WR,SF,5800,5830,8.583333333333334,12.568,1.033942806745355,1.136327817178881,12.7838524500293,CIN,25.75,49.0,13.41435863301318,12.425329326371804,0.3625,-0.6305,70.2894717904433,5.559647012104348
00-0035689,Dawson Knox,TE,BUF,5000,4750,11.99,9.464,1.1675110001189202,1.0811662726556344,12.702539788444358,TB,24.5,52.5,11.407652538235082,13.540408009168008,0.3929,1.2949,76.74902849740933,6.294143998574483
00-0034253,Dontrell Hilliard,RB,TEN,5300,5683,11.5,13.06875,1.018022501594524,1.1694247438928291,12.574902367975092,JAX,26.5,44.5,11.400381130834978,14.62455707592549,0.6357,1.1745,68.22532183109877,5.08538643479907
00-0037013,Zach Wilson,QB,NYJ,5300,1566,10.2575,12.669,1.0771604395406915,0.8274231678486998,12.550331857878705,NO,18.75,42.0,15.601844480000002,10.2168222056683,0.4333,-3.0515,31.90081921299538,0.3953790368821504
00-0033923,Kareem Hunt,RB,CLE,5600,5560,15.171428571428573,12.771999999999998,0.8551389013394003,1.037037037037037,12.453495868256198,BAL,23.5,44.0,12.527994543063777,12.390265900562373,0.4591,-0.0745,63.84033972544202,3.796345453738661
00-0036407,Jerry Jeudy,WR,DEN,5600,5832,10.216666666666669,9.62,1.0046934576427582,1.2135539795114263,12.347442636657942,DET,27.5,42.0,12.612348358275632,12.092925374711534,0.49,-0.2649,74.05692285549799,7.147038131595521
DST_DEN,Denver,DST,DEN,3800,7010,7.916666666666667,7.916666666666667,1.0,1.562807881773399,11.79190573637881,DET,27.5,42.0,9.20123157072154,12.37222906403941,0.183,2.5907,86.72557364914877,22.922918941714723
00-0034844,Saquon Barkley,RB,NYG,6000,5614,12.35,11.811000000000002,1.0891054762672645,0.7612293144208038,11.6779052543582,LAC,17.25,44.0,13.851888561721404,10.015447431080458,0.4333,-2.174,55.267346829763376,2.14364150677758
00-0027944,Julio Jones,WR,TEN,5400,5089,9.1,8.283,1.1015487981637149,1.1694247438928291,11.630718251902945,JAX,26.5,44.5,12.082969082840238,11.196202747669073,0.49,-0.4523,67.69160189982729,4.675533590226848
00-0036971,Trevor Lawrence,QB,JAX,5100,1565,12.388333333333334,9.9422,1.144167809339271,0.7943262411347518,11.621767763276448,TEN,18.0,44.5,14.2145,10.147469040433649,0.3625,-2.5927,31.29113569528077,0.3796308465060174
00-0031382,Jarvis Landry,WR,CLE,5400,5335,10.0,11.447,0.996742646107456,1.037037037037037,11.517137477124416,BAL,23.5,44.0,12.082969082840238,11.084442719812314,0.4333,-0.5658,62.63007340241796,3.3364523105862145
00-0031285,Devonta Freeman,RB,BAL,5700,2930,9.781818181818185,15.355000000000002,0.9283650812786556,0.9046493301812452,11.439656117878013,CLE,20.5,44.0,12.90279456398641,10.555513634400748,0.3767,-1.4631,57.908965867207954,2.556435632894922
00-0026143,Matt Ryan,QB,ATL,5300,1301,13.921666666666669,9.5652,0.8898113245611622,0.8494877856579984,11.314546782276931,CAR,19.25,41.0,15.601844480000002,8.87667162082656,0.3625,-4.2873,28.49320823414088,0.3150309306605544
