player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0035710,Daniel Jones,QB,IND,7300,133104-63519,8.1219,8.1219,1.0,0.992965937413459,8.064811395547304,BAL,22.41,48.31,0.0,0.0,7.0044,statline_mc+recal_10_4b,2.2300212724583157,15.323339496780047,15.32125,109.93244355303332,0.6795,2.3785,10.16263653425971,0.099,0.0,0.0,0.0,0.0,77.43227702530027,2.6452112822757496,,classic,True,ACTIVE
00-0040719,Bhayshul Tuten,RB,JAX,6700,133104-160620,7.5374,7.5374,1.0,1.0634173359180283,8.01536187361287,CLE,24.0,40.5,0.0,0.0,7.0513,statline_mc+recal_10_4b,1.0892790096756142,18.2266804463062,0.0,0.0,0.0,9.563,42.51947226713526,0.30775,1.703,1.285,10.634146468993434,0.05375,75.97591362126245,3.907275245546785,,classic,True,ACTIVE
DST_PIT,Pittsburgh Steelers,D,PIT,4900,133104-12547,7.932213135000001,7.932213135000001,1.112046024454756,1.165261654000359,7.932213135000001,ATL,22.66,42.31,,,6.0877,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06419573643412,2.659498963363399,,classic,True,ACTIVE
00-0036410,Tee Higgins,WR,CIN,7200,133104-89981,6.4212,6.4212,1.0,1.2211575740792024,7.841354868254428,TB,27.56,51.38,0.0,0.0,6.7461,statline_mc+recal_10_4b,1.1174587605959472,18.153616439997425,0.0,0.0,0.0,0.1445,0.8693821186817832,0.00575,4.85675,2.978,45.689166563862486,0.28225,94.6816965032625,9.562843570508283,,classic,True,ACTIVE
00-0036322,Justin Jefferson,WR,MIN,8100,133104-85671,7.6614,7.6614,1.0,1.016449736914982,7.787441640351138,GB,22.94,45.19,0.0,0.0,6.6322,statline_mc+recal_10_4b,1.2227099581135363,17.36860108052642,0.0,0.0,0.0,0.40425,2.5492295895207304,0.01275,5.25125,3.22425,42.86893681399064,0.26525,81.4580893424795,3.960266483163408,,classic,True,ACTIVE
00-0036264,Jordan Love,QB,GB,7400,133104-69017,7.8877,7.8877,1.0,0.9858764885073388,7.776342162849798,MIN,22.25,45.19,0.0,0.0,7.0073,statline_mc+recal_10_4b,2.0634800637830386,14.904175821218445,14.6685,103.981789199014,0.647,2.53725,10.360705948892384,0.10775,0.0,0.0,0.0,0.0,70.18543956043956,1.6317098362846685,,classic,True,ACTIVE
00-0036912,DeVonta Smith,WR,PHI,7500,133104-90576,6.818,6.818,1.0,1.136970368319025,7.751826288578392,WAS,25.66,46.69,0.0,0.0,6.4392,statline_mc+recal_10_4b,1.210886961314344,17.888887480028703,0.0,0.0,0.0,0.234,1.6358832268279362,0.011,4.9595,3.0385,44.03987965895599,0.272,87.64974067257822,5.983993007090551,,classic,True,ACTIVE
DST_PHI,Philadelphia Eagles,D,PHI,4500,133104-12545,7.733256448500001,7.733256448500001,1.0841535575611498,1.0893506475343346,7.733256448500001,WAS,25.66,46.69,,,6.1511,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.87306201550388,4.475995704096256,,classic,True,ACTIVE
00-0033921,Chris Godwin Jr.,WR,TB,6300,133104-55635,7.3165,7.3165,1.0,1.0549986153420106,7.718945975754551,CIN,23.81,51.38,0.0,0.0,6.6832,statline_mc+recal_10_4b,1.169342601178851,17.573802849748578,0.0,0.0,0.0,0.15475,0.8284293121632222,0.0045,5.0615,3.09925,45.0197804453823,0.266,90.15319140036809,7.070878907575324,,classic,True,ACTIVE
00-0038120,Breece Hall,RB,NYJ,6900,133104-103064,9.4631,9.4631,1.0,0.8144004430905567,7.706740058674002,TEN,18.38,39.25,0.0,0.0,6.8645,statline_mc+recal_10_4b,1.2268715524579183,17.539804983311065,0.0,0.0,0.0,11.39975,39.09917322800314,0.28425,2.16125,1.64225,10.681977358736876,0.05525,60.49647009966776,1.3921890458419532,,classic,True,QUESTIONABLE
