player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,chalk_score,estimated_ownership_pct
00-0039491,Jalen Coker,WR,CAR,3600,43670668,8.218181818181819,11.357,1.1561039392949728,0.9423415492957747,10.66303979827932,CHI,21.41,45.44,77.05492424242424,30.239803473700857
00-0040735,Luther Burden III,WR,CHI,4000,43670660,8.526666666666667,14.383,0.8647810592275972,1.0576584507042255,10.477083070673961,CAR,24.03,45.44,80.46401515151516,37.9561588676709
00-0040236,Kyle Monangai,RB,CHI,3300,43670612,8.629411764705882,7.542000000000001,1.0994897617548982,1.0576584507042255,9.402743157835749,CAR,24.03,45.44,81.76704545454545,49.05939734337737
00-0028118,Tyrod Taylor,QB,NYJ,5000,43670596,9.91,8.851200000000002,1.0,1.0,9.380600000000001,BYE_OR_UNKNOWN,0.0,0.0,33.153409090909086,1.4885932036277325
00-0036139,Rico Dowdle,RB,CAR,3100,43670616,12.723529411764709,7.314999999999999,0.9636940713262176,0.9423415492957747,9.098784479605966,CHI,21.41,45.44,76.35795454545455,34.20684239463561
00-0039921,Trey Benson,RB,ARI,3000,43670622,8.850000000000001,9.092391304347826,1.0,1.0,8.971195652173915,BYE_OR_UNKNOWN,0.0,0.0,62.08522727272727,13.20916018808524
00-0039849,Marvin Harrison Jr.,WR,ARI,5700,43670646,10.65,6.704,1.0,1.0,8.677,BYE_OR_UNKNOWN,0.0,0.0,54.365530303030305,6.662753181718836
00-0039919,Rome Odunze,WR,CHI,4400,43670656,12.175,6.747,0.8647810592275972,1.0576584507042255,8.653437378542945,CAR,24.03,45.44,77.13068181818183,30.39291607639657
00-0040583,Woody Marks,RB,HOU,3000,43670634,9.06875,7.952999999999999,1.0,1.0,8.510874999999999,BYE_OR_UNKNOWN,0.0,0.0,56.08522727272727,8.854364865369437
DST_NYJ,Jets,DST,NYJ,3200,43670748,8.448469317,8.448469317,1.2452988522317339,1.1174273672883788,8.448469317,TEN,18.0,38.5,77.89772727272728,25.091698282075818
00-0034827,DJ Moore,WR,CHI,3800,43670664,10.128235294117648,8.336,0.8647810592275972,1.0576584507042255,8.444091737677283,CAR,24.03,45.44,75.16098484848486,26.65285904622945
00-0040130,Jayden Higgins,WR,HOU,3000,43670680,7.617647058823529,9.025,1.0,1.0,8.321323529411764,BYE_OR_UNKNOWN,0.0,0.0,60.88068181818182,10.286951260031097
00-0035500,Greg Dortch,WR,ARI,3000,43670682,6.258333333333334,9.926,1.0,1.0,8.092166666666667,BYE_OR_UNKNOWN,0.0,0.0,59.3655303030303,9.298621125688681
DST_CHI,Bears,DST,CHI,2800,43670751,7.390586087999999,7.390586087999999,1.0893675561071128,1.0699327897903672,7.390586087999999,CAR,24.03,45.44,82.43371212121212,33.95160185275417
DST_BAL,Ravens,DST,BAL,3300,43670747,7.1834452515,7.1834452515,1.058835132272097,1.020822684020132,7.1834452515,IND,25.88,48.31,78.33333333333333,25.831054986623457
00-0040736,Mason Taylor,TE,NYJ,3300,43670718,6.838461538461539,6.532,1.0,1.0,6.6852307692307695,BYE_OR_UNKNOWN,0.0,0.0,61.33522727272728,8.331601162229884
DST_HOU,Texans,DST,HOU,3400,43670746,6.641900046,6.641900046,0.9790117231388296,1.0095751886034272,6.641900046,BUF,21.81,44.5,60.87121212121212,8.064212281669047
00-0038618,Xavier Hutchinson,WR,HOU,3000,43670704,6.125,6.507,1.0,1.0,6.316,BYE_OR_UNKNOWN,0.0,0.0,54.6685606060606,6.798723064938192
00-0036555,Chuba Hubbard,RB,CAR,7400,43670602,8.360000000000001,5.083,0.9636940713262176,0.9423415492957747,6.103988833009441,CHI,21.41,45.44,60.35795454545455,11.772414346822181
00-0034753,Mark Andrews,TE,BAL,6200,43670710,7.705882352941177,4.378000000000001,1.0,1.0,6.041941176470589,BYE_OR_UNKNOWN,0.0,0.0,49.6685606060606,3.827752729496143
DST_ARI,Cardinals,DST,ARI,2900,43670750,5.813827749000001,5.813827749000001,0.856954408100232,0.8071621222484765,5.813827749000001,LAC,17.81,46.19,55.28409090909091,5.556460407166685
00-0039798,Isaiah Davis,RB,NYJ,3000,43670636,4.45,6.514,1.0,1.0,5.482,BYE_OR_UNKNOWN,0.0,0.0,49.33522727272727,5.6457923028902846
00-0037838,Isaiah Likely,TE,BAL,2700,43670722,5.141666666666667,5.745,1.0,1.0,5.443333333333333,BYE_OR_UNKNOWN,0.0,0.0,54.39078282828283,5.244042608707562
00-0034983,Hunter Renfrow,WR,CAR,3000,43670684,5.983333333333334,3.836,1.1561039392949728,0.9423415492957747,5.348810708294569,CHI,21.41,45.44,65.99431818181817,14.465772113166071
00-0033891,Zay Jones,WR,ARI,3500,43670670,5.05,5.4510000000000005,1.0,1.0,5.250500000000001,BYE_OR_UNKNOWN,0.0,0.0,40.12310606060606,2.578061707144418
DST_CAR,Panthers,DST,CAR,3100,43670749,5.227515243000001,5.227515243000001,0.7705323281499934,0.9532776125431445,5.227515243000001,CHI,21.41,45.44,35.691287878787875,1.5049721897108213
00-0036290,Cole Kmet,TE,CHI,3000,43670720,4.91875,4.612,1.0312886580299652,1.0576584507042255,5.197838329484679,CAR,24.03,45.44,68.82260101010101,13.724930219866405
00-0039342,Xavier Legette,WR,CAR,4100,43670658,5.953333333333334,3.381,1.1561039392949728,0.9423415492957747,5.084620349798791,CHI,21.41,45.44,57.96401515151515,8.469163806762646
00-0034975,Justice Hill,RB,BAL,3200,43670614,6.5200000000000005,3.551,1.0,1.0,5.035500000000001,BYE_OR_UNKNOWN,0.0,0.0,44.08522727272727,3.97852259287237
00-0033943,Josh Reynolds,WR,NYJ,3200,43670674,4.62,5.324,1.0,1.0,4.9719999999999995,BYE_OR_UNKNOWN,0.0,0.0,39.51704545454545,2.475973866099199
00-0039792,Devontez Walker,WR,BAL,3000,43670696,4.7,4.890000000000001,1.0,1.0,4.795,BYE_OR_UNKNOWN,0.0,0.0,47.09280303030303,4.102860055087525
00-0038705,Emari Demercado,RB,ARI,3000,43670632,4.858333333333333,4.517,1.0,1.0,4.687666666666667,BYE_OR_UNKNOWN,0.0,0.0,40.83522727272727,3.2034997238488607
00-0035208,Olamide Zaccheaus,WR,CHI,3000,43670686,6.057142857142858,4.191000000000001,0.8647810592275972,1.0576584507042255,4.686696039564946,CAR,24.03,45.44,65.0094696969697,13.546507287985536
00-0037005,Tommy Tremble,TE,CAR,2500,43670730,4.260000000000001,5.692,0.9826220975909709,0.9423415492957747,4.607604973965111,CHI,21.41,45.44,67.63573232323232,12.680803621558445
00-0039041,Elijah Higgins,TE,ARI,2500,43670740,3.4176470588235297,5.486000000000001,1.0,1.0,4.451823529411765,BYE_OR_UNKNOWN,0.0,0.0,48.83522727272727,3.620898939100596
00-0034775,Christian Kirk,WR,HOU,4900,43670654,5.263636363636364,3.614,1.0,1.0,4.438818181818181,BYE_OR_UNKNOWN,0.0,0.0,37.69886363636363,2.193331626916653
00-0040138,Jaylin Noel,WR,HOU,3000,43670692,4.023529411764706,4.719,1.0,1.0,4.3712647058823535,BYE_OR_UNKNOWN,0.0,0.0,40.42613636363636,2.630673403794764
00-0034791,Nick Chubb,RB,HOU,3000,43670620,5.886666666666667,2.723,1.0,1.0,4.304833333333333,BYE_OR_UNKNOWN,0.0,0.0,38.33522727272727,2.7117039719301896
00-0039356,Ja'Tavion Sanders,TE,CAR,4300,43670714,4.5,4.428,0.9826220975909709,0.9423415492957747,4.133510571499246,CHI,21.41,45.44,56.24684343434343,5.934780627310813
00-0036427,Tyler Johnson,WR,NYJ,3000,43670698,4.188888888888889,3.4479999999999995,1.0,1.0,3.8184444444444443,BYE_OR_UNKNOWN,0.0,0.0,38.910984848484844,2.377928568822576
00-0038454,Keaton Mitchell,RB,BAL,3000,43670628,4.2615384615384615,3.18,1.0,1.0,3.720769230769231,BYE_OR_UNKNOWN,0.0,0.0,35.83522727272727,2.2954078555521966
