player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,chalk_score,estimated_ownership_pct
00-0035659,Terry McLaurin,WR,WAS,6900,5757,16.033333333333335,15.66875,1.073873352011006,1.0143790849673202,17.26677219349121,ATL,24.25,47.5,67.0898938631297,4.421468271989479
00-0027685,Emmanuel Sanders,WR,BUF,4900,3983,14.133333333333333,15.974999999999998,0.8234514334092694,1.3908496732026143,17.241494285173108,HOU,33.25,47.5,76.52475358579981,8.2934203983263
00-0030035,Adam Thielen,WR,MIN,6800,5333,21.03333333333333,19.95625,0.7824570979798036,1.0666666666666669,17.105381558614038,CLE,25.5,52.0,71.3112179801747,5.85849905582753
00-0029000,Cole Beasley,WR,BUF,5400,5163,14.133333333333333,14.975,0.8234514334092694,1.3908496732026143,16.668845706645353,HOU,33.25,47.5,78.29493992120354,9.33223839401766
00-0036322,Justin Jefferson,WR,MIN,7300,5835,19.28,20.641250000000003,0.7824570979798036,1.0666666666666669,16.659554892120656,CLE,25.5,52.0,70.69009996775235,5.620865015826616
00-0031588,Stefon Diggs,WR,BUF,7600,5424,14.7,14.312499999999998,0.8234514334092694,1.3908496732026143,16.613966884536442,HOU,33.25,47.5,76.64897718828428,8.362388155512027
00-0035640,D.K. Metcalf,WR,SEA,7200,5725,16.666666666666668,17.4625,0.9339579028278294,1.035294117647059,16.500106078958872,SF,24.75,52.0,67.83169524557294,4.64562192533602
00-0036275,D'Andre Swift,RB,DET,6200,5822,19.96666666666667,20.15625,1.0015060240963856,0.8156862745098039,16.388500570911095,CHI,19.5,42.0,62.29144175090784,3.2743587589761693
00-0032144,Melvin Gordon,RB,DEN,5500,2991,14.933333333333332,14.5875,1.177710843373494,0.9411764705882352,16.360943775100402,BAL,22.5,44.0,63.63539110805772,3.581274257533295
00-0030564,DeAndre Hopkins,WR,ARI,7700,5206,15.6,13.61875,1.0605056339361802,1.0457516339869282,16.202169407358312,LA,25.0,53.5,67.14510045847763,4.43777120187749
00-0036613,Jaylen Waddle,WR,MIA,4900,5926,14.9,15.1875,1.1469502108200538,0.9202614379084968,15.87858861797781,IND,22.0,41.5,59.864664974832806,2.7313333683413683
00-0035250,Devin Singletary,RB,BUF,4800,5717,10.566666666666668,9.66875,1.0963855421686748,1.3908496732026143,15.428569047431557,HOU,33.25,47.5,72.70487780940229,6.555806343962985
