player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0038597,Chase Brown,RB,CIN,6600,44246820,14.9246,14.9246,1.087991255527401,1.033753375337534,16.785914411436668,PIT,22.97,42.44,2.0,1.0,8.978,statline_mc+recal_10_4b,3.9566690756062655,34.39928402531895,0.0,0.0,0.0,15.01625,68.48717765067364,0.484,4.00275,2.9805,23.29106245375324,0.11025,16.36982401044269,0.4160904009939763,15.0,14.4,83.50279017857142,23.249546728948708,,classic,True,,ACTIVE,12.60772330091158,12.616511550830104
00-0037248,James Cook III,RB,BUF,6900,44246816,13.7826,13.7826,0.929000844636558,1.2911791179117913,16.532263618090322,LAC,28.69,50.11,2.0,1.0,9.23,statline_mc+recal_10_4b,2.5678751126855177,37.18547438341848,0.0,0.0,0.0,13.7035,82.4688489245153,0.509,3.41375,2.50275,23.18189914460025,0.11525,17.68607480691156,-1.153811188821237,16.9,6.7,96.29969676549865,21.225535963127395,,classic,True,,ACTIVE,40.35295922070373,40.3810873674055
00-0036900,Ja'Marr Chase,WR,CIN,8100,44247026,18.9093,18.9093,0.8320413436692506,1.033753375337534,16.264405427628063,PIT,22.97,42.44,2.0,1.0,7.6146,statline_mc+recal_10_4b,8.831995603338264,27.562425431193933,0.0,0.0,0.0,0.0435,0.2351744953080534,0.0015,5.88825,3.74775,38.53405091659429,0.29125,9.633172541190234,6.631232886437829,14.9,4.6,81.15817043533389,3.5416271546474074,,classic,True,,ACTIVE,8.01755444542984,8.160483614101398
00-0038606,Parker Washington,WR,JAX,6000,44247042,15.2333,15.2333,0.9670084187713596,1.0814581458145816,15.93070153865224,NE,24.03,45.17,2.0,1.0,9.3301,statline_mc+recal_10_4b,3.3653676144540565,34.13138770561969,0.0,0.0,0.0,0.04375,0.2389445975356781,0.001,8.9875,5.63075,78.14705523726687,0.442,16.772349983480257,-0.8416484448280173,18.1,22.1,88.35752588757396,30.474638772459755,,classic,True,,ACTIVE,12.245088778682629,12.463382320854226
00-0034869,Sam Darnold,QB,SEA,5400,44246762,12.2717,12.2717,1.1990716139868682,1.0625562556255626,15.635146267588627,WAS,23.61,40.17,1.0,1.0,8.0095,statline_mc+recal_10_4b,4.235804650066504,29.861047012873183,30.3255,272.8419347540514,1.68125,0.7895,4.408051562363151,0.04075,0.0,0.0,0.0,0.0,18.606732546398373,-2.9715862788097454,0.5,,73.49708686440678,0.7379869605569797,,classic,True,Questionable,QUESTIONABLE,3.8930494359048615,3.940169199023898
00-0039851,Drake Maye,QB,NE,6100,44246755,17.3168,17.3168,0.9414689265536724,0.9513951395139516,15.510773785812123,JAX,21.14,45.17,2.0,1.0,7.7965,statline_mc+recal_10_4b,6.250674307587395,27.14595729502158,32.06825,205.4561884672931,1.06425,3.77375,15.074107419856038,0.13275,0.0,0.0,0.0,0.0,14.114658280677329,1.3961155051347962,10.9,,73.08659957627118,1.3304875400662803,,classic,True,,ACTIVE,3.780560377395571,3.8263186222812258
00-0036442,Joe Burrow,QB,CIN,6600,44246752,18.2833,18.2833,0.8009406016185677,1.033753375337534,15.138108839205572,PIT,22.97,42.44,2.0,1.0,7.5303,statline_mc+recal_10_4b,7.995144415125713,24.00530821344131,24.7335,143.8897017995527,0.94125,2.35325,8.461949962309124,0.077,0.0,0.0,0.0,0.0,10.26503306821302,4.873075770992552,15.7,,75.54299712469732,0.6863266072096136,,classic,True,,ACTIVE,4.505636706530595,4.56017095733001
00-0036355,Justin Herbert,QB,LAC,5800,44246758,13.9274,13.9274,1.1185463429531224,0.963996399639964,15.017513473006032,BUF,21.42,50.11,2.0,1.0,7.8255,statline_mc+recal_10_4b,5.367221760722682,26.506603889875244,27.06025,211.4647011777586,1.193,2.84125,12.208782326630091,0.1205,0.0,0.0,0.0,0.0,14.805466279773352,0.2120471932326797,12.1,,78.86690375302663,1.248216989210361,,classic,True,,ACTIVE,5.713039057960759,5.782187177329129
00-0040666,Omarion Hampton,RB,LAC,6800,44246818,13.5797,13.5797,1.1452278034481045,0.963996399639964,14.99194133912,BUF,21.42,50.11,2.0,1.0,8.4426,statline_mc+recal_10_4b,4.6322064562789,30.37608568041397,0.0,0.0,0.0,13.43425,57.67916144666403,0.5275,1.73675,1.3355,11.806764001936491,0.05475,12.236842544860052,2.755098794259947,13.9,,85.64816374663073,4.757127212825096,,classic,True,,ACTIVE,15.322825007748126,15.333505827148416
00-0037740,Garrett Wilson,WR,NYJ,6300,44247036,14.45,14.45,1.1249145619738268,0.91989198919892,14.95284556005598,DET,20.44,47.5,2.0,1.0,8.5042,statline_mc+recal_10_4b,5.17605444168934,29.664878495398572,0.0,0.0,0.0,0.03175,0.203566520616276,0.00175,6.73575,4.44575,58.06286334594444,0.33525,12.748392986656071,2.2044525733999087,15.3,18.6,82.36022691251057,17.25607905498612,,classic,True,,ACTIVE,8.604993273149041,8.758394730329867
00-0038120,Breece Hall,RB,NYJ,6400,44246824,15.6864,15.6864,1.0315496596611518,0.91989198919892,14.88502323608136,DET,20.44,47.5,2.0,1.0,8.1588,statline_mc+recal_10_4b,4.964182572570099,29.292934320881752,0.0,0.0,0.0,12.904,47.26716246377396,0.3595,3.5195,2.78825,21.91960569517602,0.10175,12.886926815895,1.998096420186361,18.5,10.2,80.334716138814,14.099640786821986,,classic,True,,ACTIVE,9.452723071175406,9.459312119077026
00-0039040,De'Von Achane,RB,MIA,6500,44246822,18.7391,18.7391,0.9918020569384408,0.7799279927992799,14.495344446658285,KC,17.33,46.0,2.0,1.0,7.7577,statline_mc+recal_10_4b,5.683862294183827,27.05532367930288,0.0,0.0,0.0,12.5015,37.75385051455372,0.2325,5.41375,3.95075,23.63585342874299,0.1085,12.43072039432967,2.0646240523286146,11.5,42.1,73.08130475067385,15.856390799702467,,classic,True,,ACTIVE,4.888579743953011,4.891987342574198
00-0036554,Nico Collins,WR,HOU,7000,44247030,12.0757,12.0757,1.1195798949737434,1.018901890189019,13.775248499212925,IND,22.64,42.61,1.0,0.5,7.4762,statline_mc+recal_10_4b,6.872172132713544,23.779856247533992,0.0,0.0,0.0,0.28,1.711703958813836,0.01325,4.16625,2.625,36.667318537788944,0.24525,8.257402249660279,5.517846249552646,21.2,,52.71010292291843,2.3921299618993364,,classic,True,Questionable,QUESTIONABLE,1.5041345866995257,1.5309488362952546
00-0039491,Jalen Coker,WR,CAR,5500,44247054,12.5709,12.5709,1.083837626073185,1.00990099009901,13.759672594615928,CLE,22.44,42.06,2.0,1.0,9.3457,statline_mc+recal_10_4b,1.0749749045588637,33.94819439343474,0.0,0.0,0.0,0.03475,0.2382087880468985,0.0015,7.66475,5.34525,75.8969731889407,0.49075,16.580018197698763,-2.820345603082835,25.7,38.9,77.29897506339815,29.815609435145415,,classic,True,Questionable,QUESTIONABLE,6.389282331668673,6.50318424755698
00-0040124,Tetairoa McMillan,WR,CAR,6000,44247040,12.5007,12.5007,1.083837626073185,1.00990099009901,13.682899903130124,CLE,22.44,42.06,2.0,1.0,9.0871,statline_mc+recal_10_4b,2.2673021680241785,31.009301035434103,0.0,0.0,0.0,0.04475,0.3021488276990233,0.001,7.80325,4.613,74.39161333026856,0.3515,14.875376215796758,-1.192476312666635,14.8,8.8,77.03270287404902,10.439496530264604,,classic,True,,ACTIVE,6.2899862264564295,6.402117987883435
00-0036971,Trevor Lawrence,QB,JAX,5700,44246759,15.0516,15.0516,0.838466941517789,1.0814581458145816,13.64828401706988,NE,24.03,45.17,2.0,1.0,7.7297,statline_mc+recal_10_4b,5.137279709504089,24.5894536215592,24.07425,170.9458656195638,1.195,1.7795,6.409391637965764,0.073,0.0,0.0,0.0,0.0,12.314773788579128,1.333510228490752,16.6,8.8,77.66551906779661,2.6644929628250846,,classic,True,,ACTIVE,5.243231069385593,5.306692838889273
00-0030565,Geno Smith,QB,NYJ,4900,44246767,11.2625,11.2625,1.292301114673996,0.91989198919892,13.388651425858376,DET,20.44,47.5,2.0,1.0,7.9052,statline_mc+recal_10_4b,2.9384472179694123,25.801352201645685,27.674,237.19496025491685,1.1435,3.47425,15.171545685759815,0.159,0.0,0.0,0.0,0.0,16.541202978772656,-3.1525515529142805,12.4,,69.73110245157385,1.165273667092518,,classic,True,,ACTIVE,2.9748507824567505,3.0108570717401695
00-0035710,Daniel Jones,QB,IND,5000,44246765,12.6585,12.6585,1.1732722553061536,0.8987398739873987,13.34800686243894,HOU,19.97,42.61,2.0,1.0,7.8644,statline_mc+recal_10_4b,3.181363164701253,25.572158566270456,32.812,227.76109483439825,1.4285,1.87425,7.918683373259968,0.08275,0.0,0.0,0.0,0.0,15.847812130701929,-2.499805268262989,11.2,,63.784522548426146,0.9971651098506822,,classic,True,,ACTIVE,1.9453427316935503,1.968888307009738
