player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0033906,Alvin Kamara,RB,NO,9000,5562,13.9026,13.9026,1.2297210985735576,1.0562091503267974,18.057298638618516,NYG,25.25,43.0,16.532673874057796,statline_mc,3.6445115264902697,38.125289635949045,0.0,0.0,0.0,16.04825,77.0568711875944,0.41025,5.7395,4.2245,42.75861519859073,0.2875,79.93644826351593,6.367809041438474,,classic,True
00-0036972,Mac Jones,QB,NE,6500,1572,14.6252,14.6252,1.3051477958701805,0.9098039215686274,17.366369841590437,TB,21.75,49.5,9.552428417738124,statline_mc,6.73318722700087,29.864004049046216,37.291,282.4781586886547,1.31775,2.655,13.517434940442492,0.11725,0.0,0.0,0.0,0.0,57.934717746747815,1.4091963712342666,,classic,True
00-0031503,Jameis Winston,QB,NO,6900,1465,16.2689,16.2689,1.0000668255630054,1.0562091503267974,17.184491189525005,NYG,25.25,43.0,9.67506759760546,statline_mc,6.2738610567015805,30.547715279569957,27.73625,190.67711583209433,1.97175,4.11375,18.516565562412296,0.184,0.0,0.0,0.0,0.0,50.3311851056212,0.8488416839237298,,classic,True
00-0026143,Matt Ryan,QB,ATL,6700,1301,11.6403,11.6403,1.4612523110507205,0.9725490196078431,16.542554179974527,WAS,23.25,47.5,9.09788096006665,statline_mc,6.338211677516369,27.707505098717387,27.42275,248.86303686098574,1.526,1.627,9.047827055350929,0.07575,0.0,0.0,0.0,0.0,52.58354218880535,0.9863683196723307,,classic,True
00-0035685,David Montgomery,RB,CHI,7500,5713,13.4199,13.4199,1.2757078986587185,0.9411764705882353,16.112840252372287,DET,22.5,42.0,16.476456928306508,statline_mc,2.7831928643418813,35.313704684427606,0.0,0.0,0.0,17.39725,87.62816643493974,0.5365,3.5415,2.545,24.035236088783115,0.112,73.0701754385965,4.028942518709976,,classic,True
00-0033536,Mike Williams,WR,LAC,7800,5594,14.2911,14.2911,0.967022840765108,1.1503267973856208,15.897329500334475,LV,27.5,52.0,17.203020186049127,statline_mc,2.82665765668062,34.85461833818109,0.0,0.0,0.0,0.0505,0.1983421670750324,0.00175,9.23125,5.9335,89.60745283626972,0.66875,91.9359945235956,13.584028416385319,,classic,True
00-0033699,Austin Ekeler,RB,LAC,7900,5575,12.6558,12.6558,1.0798381945922932,1.1503267973856208,15.720590327298911,LV,27.5,52.0,15.322409551450331,statline_mc,3.029875583369033,33.128489425445984,0.0,0.0,0.0,11.95675,64.04097473415894,0.40175,4.75525,3.8645,39.83742853883018,0.19625,90.27181047857738,12.683216810973429,,classic,True
00-0033594,Chris Carson,RB,SEA,7300,5565,11.8901,11.8901,1.263785394932936,1.035294117647059,15.556877325598725,SF,24.75,52.0,16.635449250022948,statline_mc,1.9986444065975946,34.21673761081878,0.0,0.0,0.0,13.9,82.64396893680858,0.72375,2.21325,1.69475,18.011054319178676,0.0805,84.44981501372477,8.603306254378591,,classic,True
00-0031280,Derek Carr,QB,LV,7400,1441,19.9595,19.9595,0.7427438576170003,1.0248366013071895,15.193029787215117,LAC,24.5,52.0,8.668233992601396,statline_mc,5.64109244110026,26.58982656210626,39.29425,250.1723535769349,1.32,2.45925,6.733856441377215,0.06825,0.0,0.0,0.0,0.0,52.98603651987111,1.0131937906134292,,classic,True
00-0035719,Deebo Samuel,WR,SF,6900,5726,12.919,12.919,1.0299010075413146,1.1398692810457516,15.166344933569807,SEA,27.25,52.0,17.56393348435908,statline_mc,2.708120769414706,33.02752302330857,0.0,0.0,0.0,0.64825,3.57774361002345,0.01925,8.5615,5.365,94.51570572567462,0.43925,89.05959868224019,11.213686023715534,,classic,True
00-0031610,Darren Waller,TE,LV,7500,5419,9.9189,9.9189,1.4464128874702773,1.0248366013071895,14.70309500675953,LAC,24.5,52.0,14.209347346306965,statline_mc,2.857935385382119,31.47677666228833,0.0,0.0,0.0,0.0,0.0,0.0,8.25375,5.182,86.06595006759527,0.59625,87.95918367346937,7.090418446615031,,classic,True
00-0033077,Dak Prescott,QB,DAL,7700,1501,18.7661,18.7661,0.6661172120375113,1.1712418300653595,14.641038450198218,CAR,28.0,51.5,8.611710844093272,statline_mc,4.992092757813931,26.08763967165614,36.545,220.65354984125946,1.36725,4.215,11.358964565478397,0.102,0.0,0.0,0.0,0.0,61.32772407208496,1.7668883658438432,,classic,True
