player_id,player_name,position,team,salary,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,injury_status
00-0040586,Jaydon Blue,RB,DAL,3100,2.0,2.3902173913043483,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0037666,Jalen Tolbert,WR,DAL,3600,4.9,6.263,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039355,Luke McCaffrey,WR,WAS,3000,5.7,3.0660000000000003,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036620,Dee Eskridge,WR,MIA,3000,1.275,1.3,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039884,Tahj Washington,WR,MIA,3000,0.1,0.1,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0035125,Alec Ingold,RB,MIA,3000,0.0,0.0,1.0888301862126537,1.0,0.0,BUF,0.0,0.0,ACTIVE
00-0035243,Miles Sanders,RB,DAL,3000,6.675000000000001,6.641304347826087,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038618,Xavier Hutchinson,WR,HOU,3000,7.7125,9.346999999999998,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0031763,DeAndre Carter,WR,CLE,3000,0.0,0.0,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039816,Anthony Gould,WR,IND,3000,0.1625,0.325,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039410,Ryan Flournoy,WR,DAL,3000,5.5375,5.872999999999999,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039890,Adonai Mitchell,WR,IND,3000,2.7750000000000004,1.803,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039062,Jonathan Mingo,WR,DAL,3000,0.0,0.0,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,QUESTIONABLE
00-0037801,KaVontae Turpin,WR,DAL,3000,6.0,3.367,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0040179,DJ Giddens,RB,IND,3000,1.65,1.4532608695652176,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038738,Hunter Luepke,RB,DAL,3000,1.8285714285714283,1.5139999999999998,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038394,Will Mallory,RB,IND,3000,0.0,0.0,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0038547,Luke Schoonmaker,TE,DAL,2500,1.7875,2.7050000000000005,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039458,Brenden Bates,TE,CLE,2500,4.300000000000001,4.300000000000001,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036232,Harrison Bryant,TE,HOU,2500,0.54,0.6,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
