player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0040676,Cam Ward,QB,TEN,6600,134515-168356,12.3972,12.3972,1.0,0.8034924658498803,9.961095232584222,NYG,17.83,38.33,2.0,1.0,7.1622,statline_mc+recal_10_4b,2.9872528430614302,18.543396826208067,27.38475,140.14232837579172,0.807,3.756,12.53402097552553,0.1545,0.0,0.0,0.0,0.0,9.961095232584222,0.0,15.859999656677246,46.02139452179177,0.5251900877869634,,classic,True
00-0040719,Bhayshul Tuten,RB,JAX,6400,134515-160620,9.0592,9.0592,1.0,1.099112801013942,9.95710733499689,NE,24.39,45.83,2.0,1.0,7.5925,statline_mc+recal_10_4b,1.5450857283923018,22.118865508753654,0.0,0.0,0.0,11.24825,54.16004893833786,0.37725,1.99225,1.542,12.551024411631035,0.06525,9.95710733499689,0.0,11.25,83.13536352040816,11.799512487225735,,classic,True
00-0039065,Sam LaPorta,TE,DET,6200,134515-105646,8.1184,8.1184,1.0,1.2180819602872837,9.888826677815096,NYJ,27.03,47.5,2.0,1.0,6.527,statline_mc+recal_10_4b,1.917229088591752,21.48810336418519,0.0,0.0,0.0,0.0,0.0,0.0,6.28025,4.2765,51.96576677815095,0.43675,9.888826677815096,0.0,10.75,93.36147454031116,10.74223435408812,,classic,True
00-0034383,Dalton Schultz,TE,HOU,5800,134515-55042,9.9136,9.9136,1.0,0.9941135051401212,9.855220559338465,IND,22.06,42.56,2.0,1.0,6.5218,statline_mc+recal_10_4b,2.2513374609484087,20.052854564420976,0.0,0.0,0.0,0.0,0.0,0.0,7.383,5.052,54.232205593384656,0.33175,9.855220559338465,0.0,14.25,82.74835351838756,5.753922932292303,,classic,True
00-0040715,Cam Skattebo,RB,NYG,6900,134515-183240,10.4493,10.4493,1.0,0.923813547387692,9.653244504183773,TEN,20.5,38.33,2.0,1.0,7.5233,statline_mc+recal_10_4b,1.5664236701364789,21.804698721426014,0.0,0.0,0.0,13.5755,51.71595542996167,0.3915,2.18175,1.695,11.196489611876054,0.0545,9.653244504183773,0.0,10.800000190734863,66.1375956632653,2.5163428378197277,,classic,True
00-0037740,Garrett Wilson,WR,NYJ,7300,134515-103564,10.1722,10.1722,1.0,0.9224616251232222,9.38342262676803,DET,20.47,47.5,2.0,1.0,6.7954,statline_mc+recal_10_4b,1.8282692982052062,20.907605547043044,0.0,0.0,0.0,0.04925,0.2724721486476302,0.00075,6.88,4.5235,51.539254119032684,0.33125,9.38342262676803,0.0,12.550000190734863,79.15022840531562,6.672805326353182,,classic,True
DST_KC,Kansas City Chiefs,D,KC,5000,134515-12536,9.291191242500002,9.291191242500002,1.2797753993076502,1.281437179121506,9.291191242500002,MIA,28.36,45.89,,,6.076,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.291191242500002,0.0,6.5,75.03100198412699,16.718051285702877,,classic,True
00-0036410,Tee Higgins,WR,CIN,7000,134515-89981,8.7983,8.7983,1.0,1.0351218138290383,9.10727845921229,PIT,22.97,42.44,2.0,1.0,7.054,statline_mc+recal_10_4b,1.5783971944311468,20.47049026067723,0.0,0.0,0.0,0.056,0.3494651368220673,0.0015,6.51525,3.79225,55.36206945530083,0.27875,9.10727845921229,0.0,9.699999809265137,80.17883098006645,7.089014937244485,,classic,True
00-0037240,Jameson Williams,WR,DET,6600,134515-111631,7.3971,7.3971,1.0,1.2180819602872837,9.010291025619964,NYJ,27.03,47.5,2.0,1.0,6.9781,statline_mc+recal_10_4b,1.3544113465334435,20.467833255726084,0.0,0.0,0.0,0.0465,0.2740600854334526,0.0015,5.83475,3.3635,53.43135017076617,0.3305,9.010291025619964,0.0,5.400000095367432,90.015573089701,12.643942955725022,,classic,True
00-0035685,David Montgomery,RB,HOU,6600,134515-73273,8.8974,8.8974,1.0,0.9941135051401212,8.844984385267558,IND,22.06,42.56,2.0,1.0,7.2619,statline_mc+recal_10_4b,1.3085982936250862,19.685719583910267,0.0,0.0,0.0,11.31125,41.36945969462201,0.4365,1.85025,1.44725,11.094134158053562,0.064,8.844984385267558,0.0,15.399999618530272,74.73612882653062,5.498588514767634,,classic,True
DST_DET,Detroit Lions,D,DET,4700,134515-12532,8.810781637499998,8.810781637499998,1.2136034329770249,1.0973909990229604,8.810781637499998,NYJ,27.03,47.5,,,6.1955,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.810781637499998,0.0,4.0,73.37797619047619,14.973580248437077,,classic,True
