player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
DST_MIA,Dolphins,DST,MIA,2700,44096282,7.9349139045,7.9349139045,1.063944730916603,1.0505167149455883,7.9349139045,LV,18.69,40.39,,,6.0095,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05681818181818,4.698892595935278,,classic,True,ACTIVE
00-0039910,Jayden Daniels,QB,WAS,6500,44095903,10.3004,10.3004,0.8913906328931228,0.8613861386138615,7.908979534402686,PHI,19.14,44.17,7.0,1.0,7.3886,statline_mc+recal_10_4b,2.1601647078700696,15.530256645375278,16.92,89.05247445137218,0.5665,4.986,17.941305563477986,0.14475,0.0,0.0,0.0,0.0,62.27848662059188,3.6826945085804295,,classic,True,ACTIVE
00-0038128,Malik Willis,QB,MIA,5300,44095907,9.5186,9.5186,0.9867215125929134,0.8411341134113413,7.900106512428557,LV,18.69,40.39,4.0,1.0,7.3647,statline_mc+recal_10_4b,2.2233677872685584,15.379623038190562,12.264,96.7836818352985,0.552,3.607,13.977592390166167,0.1445,0.0,0.0,0.0,0.0,50.95959595959596,1.6407484301745607,,classic,True,ACTIVE
00-0039066,Michael Mayer,TE,LV,2900,44096199,6.2533,6.2533,1.2240159775667112,0.9761476147614764,7.471600742110466,MIA,21.69,40.39,13.0,1.0,6.3524,statline_mc+recal_10_4b,1.323922168954372,16.215160755812214,0.0,0.0,0.0,0.0,0.0,0.0,4.01575,2.72525,33.01850742110466,0.21,67.05929261656814,5.518369378831669,,classic,True,ACTIVE
00-0038555,Tank Bigsby,RB,PHI,4900,44095951,5.6341,5.6341,1.1589505966171607,1.1264626462646266,7.355410470693876,WAS,25.03,44.17,15.0,1.0,7.5466,statline_mc+recal_10_4b,0.6456734406557966,17.682749367088505,0.0,0.0,0.0,6.224,41.9699155647202,0.24275,0.80825,0.61025,6.35668914221855,0.0295,76.03253588516746,14.068873918694996,,classic,True,ACTIVE
00-0040867,Makai Lemon,WR,PHI,5100,44096043,5.6745,5.6745,1.1341729570755004,1.1264626462646266,7.2497313277765825,WAS,25.03,44.17,0.0,0.0,7.2272,statline_mc+recal_10_4b,1.05091525592583,17.1432230927629,0.0,0.0,0.0,0.0585,0.5068576600930661,0.003,3.47725,2.12225,34.920455617672765,0.21825,27.641730025562037,0.9434745842818562,,classic,True,ACTIVE
00-0036259,Jauan Jennings,WR,MIN,4300,44096055,6.4103,6.4103,1.0154804383117852,1.0724572457245725,6.981229827111608,GB,23.83,46.06,15.0,1.0,7.0919,statline_mc+recal_10_4b,1.0157435422052543,16.17477442577735,0.0,0.0,0.0,0.0,0.0,0.0,3.664,2.262,28.73729827111608,0.27975,79.79206265976273,20.27686889989492,,classic,True,ACTIVE
00-0039849,Marvin Harrison Jr.,WR,ARI,5000,44096045,9.0287,9.0287,0.890901076427422,0.8537353735373537,6.867183910546317,LAC,18.97,47.17,12.0,1.0,6.7361,statline_mc+recal_10_4b,1.3421545492046392,14.85087309990806,0.0,0.0,0.0,0.0,0.0,0.0,4.74975,2.73275,28.754339105463167,0.184,71.30939896440977,12.311090908053965,,classic,True,ACTIVE
DST_MIN,Vikings,DST,MIN,2800,44096281,6.849450090000001,6.849450090000001,0.9184014370715412,1.0254593855611975,6.849450090000001,GB,23.83,46.06,,,5.9214,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.07117224880383,2.9494453455016534,,classic,True,ACTIVE
00-0039915,Ladd McConkey,WR,LAC,5900,44096031,5.4634,5.4634,0.980121153333867,1.2686768676867688,6.793538947922829,ARI,28.19,47.17,16.0,0.8,6.9535,statline_mc+recal_10_4b,1.054713633821439,15.24776757843182,0.0,0.0,0.0,0.0,0.0,0.0,3.49375,2.16025,31.31788947922829,0.21875,75.75321000196631,15.989003507952107,,classic,True,QUESTIONABLE
