player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0041272,Ja'Mori Maclin,WR,BUF,200,44138469,1.6755,1.6755,1.8073953677366923,1.2808271917280827,3.8788097497890264,DET,29.11,53.67,0.0,0.0,6.7531,statline_mc+recal_10_4b,0.0,10.479142540322242,0.0,0.0,0.0,0.06575,0.6914947087054472,0.004,1.15925,0.71325,21.829102789184812,0.128,FLEX,showdown,21.865489130434778,0.9689799553104191,True
00-0041443,Skyler Bell,WR,BUF,200,44138467,1.6442,1.6442,1.8073953677366923,1.2808271917280827,3.806339049769112,DET,29.11,53.67,0.0,0.0,6.6075,statline_mc+recal_10_4b,0.0,9.934803850512154,0.0,0.0,0.0,0.067,1.0273301445641967,0.00425,1.174,0.72275,20.866060353126926,0.123,FLEX,showdown,20.686141304347824,0.8957136163877356,True
00-0039652,Jabari Small,RB,DET,300,44138512,2.3983499999999998,2.3983499999999998,1.4594376429436298,1.080629193708063,3.7824758575538437,BUF,24.56,53.67,0.0,0.0,8.08335,statline_mc+recal_10_4b,0.0,10.60120420089179,0.0,0.0,0.0,1.31825,8.901850658386872,0.05575,0.6475,0.483,6.179655058638753,0.02975,CPT,showdown,14.675271739130432,0.13609037364989612,True
00-0035537,Ty Johnson,RB,BUF,3000,44138502,2.6203499999999997,2.6203499999999997,1.0762814475985472,1.2808271917280827,3.612141811996959,DET,29.11,53.67,0.0,0.0,7.8496500000000005,statline_mc+recal_10_4b,0.0,10.178474559583512,0.0,0.0,0.0,1.51375,8.941537945515089,0.063,0.628,0.4765,5.039407467797965,0.024,CPT,showdown,13.952445652173912,0.12968789696822183,True
00-0038679,Tyrell Shavers,WR,BUF,200,44138477,1.5497,1.5497,1.8073953677366923,1.2808271917280827,3.587419415463675,DET,29.11,53.67,0.0,0.0,6.4011,statline_mc+recal_10_4b,0.0,9.532178294338006,0.0,0.0,0.0,0.07075,0.9941618812360518,0.0055,1.13025,0.683,19.880032273400698,0.112,FLEX,showdown,20.03940217391304,0.8579148012266858,True
00-0035500,Greg Dortch,WR,BUF,1500,44138507,1.5174,1.5174,1.8073953677366923,1.2808271917280827,3.512794331029801,DET,29.11,53.67,1.0,1.0,8.55285,statline_mc+recal_10_4b,0.0,11.223812284241333,0.0,0.0,0.0,0.04275,0.6178080870746734,0.00325,0.705,0.42975,12.585820786457335,0.084,CPT,showdown,49.32065217391304,1.3706100424380676,True
00-0040194,Jackson Hawes,TE,BUF,600,44138463,1.3195,1.3195,2.0758782201405155,1.2808271917280827,3.5082631635576838,DET,29.11,53.67,0.0,0.0,5.747,statline_mc+recal_10_4b,0.0,9.751565889778261,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.639,19.15763163557683,0.14325,FLEX,showdown,19.658967391304344,0.8364297001652516,True
00-0033949,Joshua Dobbs,QB,DET,9000,44138490,3.44925,3.44925,0.9397323818019626,1.080629193708063,3.5027599919839876,BUF,24.56,53.67,0.0,0.0,10.06935,statline_mc+recal_10_4b,0.32221001734823385,9.578797919622566,2.818,20.565322649780185,0.13475,1.714,7.20310421998118,0.0705,0.0,0.0,0.0,0.0,CPT,showdown,9.539402173913043,0.09663373200172613,True
00-0041453,Luke Altmyer,QB,DET,9000,44138489,3.44655,3.44655,0.9397323818019626,1.080629193708063,3.4999689561370286,BUF,24.56,53.67,0.0,0.0,10.0587,statline_mc+recal_10_4b,0.3398010609959864,9.507884696537978,2.85125,20.65231997409221,0.13875,1.695,6.737198384609977,0.0735,0.0,0.0,0.0,0.0,CPT,showdown,9.158967391304346,0.09421369507611066,True
00-0036679,Shane Buechele,QB,BUF,6000,44138441,1.8773,1.8773,1.3245316681534345,1.2808271917280827,3.184838152186402,DET,29.11,53.67,0.0,0.0,7.0445,statline_mc+recal_10_4b,0.14633797007108137,8.100819255121488,1.37025,16.90867265774666,0.11025,1.96375,13.74491245876536,0.133,0.0,0.0,0.0,0.0,FLEX,showdown,14.561141304347826,0.5954321259129327,True
00-0034577,Kyle Allen,QB,BUF,6000,44138442,1.8638,1.8638,1.3245316681534345,1.2808271917280827,3.1619586902672574,DET,29.11,53.67,0.0,0.0,7.046,statline_mc+recal_10_4b,0.11763821774570014,7.991101795941699,1.38275,16.873738648520053,0.10275,1.932,13.460091443264554,0.14025,0.0,0.0,0.0,0.0,FLEX,showdown,14.180706521739127,0.5805204827262525,True
