player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0037614,John Metchie III,WR,CAR,7600,43716727,5.530769230769232,5.225,0.9815399007789108,1.0,5.278608331785047,ARI,0.0,0.0,,,,FLEX,showdown,47.71341463414634,10.095718743519077,True
DST_CAR,Panthers,DST,CAR,7600,43716694,5.237663589,5.237663589,0.9463657105108152,0.9419096483165635,5.237663589,CHI,21.51,45.83,,,,FLEX,showdown,64.0548780487805,30.010350580614176,True
00-0039041,Elijah Higgins,TE,ARI,7600,43716710,3.4176470588235297,5.486000000000001,1.0312886580299652,1.0,4.591115113433283,CAR,0.0,0.0,,,,FLEX,showdown,45.27439024390244,8.580651312660203,True
00-0039342,Xavier Legette,WR,CAR,7600,43716708,5.953333333333334,3.381,0.9815399007789108,1.0,4.58101030691864,ARI,0.0,0.0,,,,FLEX,showdown,44.05487804878049,7.910642526899535,True
00-0039394,Casey Washington,WR,CAR,11400,43761180,4.620000000000001,4.128,0.9815399007789108,1.0,4.2932555260069565,ARI,0.0,0.0,,,,CPT,showdown,39.176829268292686,1.1428988020003916,True
00-0040556,Corey Kiner,RB,ARI,11400,43716784,3.4875000000000003,4.0793478260869565,1.0994897617548982,1.0,4.159835856769959,CAR,0.0,0.0,,,,CPT,showdown,37.95731707317073,1.0536570637367948,True
00-0040218,Jimmy Horn Jr.,WR,CAR,11400,43716780,4.305,3.7080000000000006,0.9815399007789108,1.0,3.932539612470707,ARI,0.0,0.0,,,,CPT,showdown,36.737804878048784,0.9713836483329035,True
00-0033307,Kendrick Bourne,WR,ARI,7600,43716709,6.578571428571429,2.459,0.8647810592275972,1.0,3.9077602964225346,CAR,0.0,0.0,,,,FLEX,showdown,42.83536585365854,7.292950489208344,True
00-0040187,Mitchell Evans,TE,CAR,7600,43716711,3.442857142857143,2.385,1.2737366136715011,1.0,3.7115775110520635,ARI,0.0,0.0,,,,FLEX,showdown,41.61585365853659,6.723490115649323,True
00-0037282,James Mitchell,TE,CAR,7600,43716723,2.9000000000000004,2.7666666666666666,1.2737366136715011,1.0,3.608920405402587,ARI,0.0,0.0,,,,FLEX,showdown,40.396341463414636,6.198495300650428,True
00-0039521,Xavier Weaver,WR,ARI,11400,43716774,2.935714285714286,4.534500000000001,0.8647810592275972,1.0,3.2300499113285657,CAR,0.0,0.0,,,,CPT,showdown,35.518292682926834,0.8955344435333757,True
00-0039394,Casey Washington,WR,CAR,7600,43761176,3.0800000000000005,2.752,0.9815399007789108,1.0,2.8621703506713043,ARI,0.0,0.0,,,,FLEX,showdown,39.176829268292686,5.714494010001959,True
00-0040556,Corey Kiner,RB,ARI,7600,43716725,2.325,2.7195652173913043,1.0994897617548982,1.0,2.773223904513306,CAR,0.0,0.0,,,,FLEX,showdown,37.95731707317073,5.268285318683974,True
00-0036265,A.J. Dillon,RB,CAR,11400,43716773,2.2750000000000004,2.3265000000000002,1.1940378460178651,1.0,2.747182574225603,ARI,0.0,0.0,,,,CPT,showdown,34.29878048780488,0.8256078233672156,True
00-0038840,Brycen Tremayne,WR,CAR,11400,43716790,3.0,2.4675000000000002,0.9815399007789108,1.0,2.6832847037543477,ARI,0.0,0.0,,,,CPT,showdown,33.079268292682926,0.7611413306625623,True
00-0040218,Jimmy Horn Jr.,WR,CAR,7600,43716721,2.87,2.4720000000000004,0.9815399007789108,1.0,2.621693074980471,ARI,0.0,0.0,,,,FLEX,showdown,36.737804878048784,4.856918241664517,True
00-0039737,Tip Reiman,TE,ARI,11400,43716762,2.4000000000000004,2.0625,1.0312886580299652,1.0,2.3010628182293598,CAR,0.0,0.0,,,,CPT,showdown,31.859756097560975,0.701708618602925,True
00-0039521,Xavier Weaver,WR,ARI,7600,43716715,1.9571428571428573,3.023000000000001,0.8647810592275972,1.0,2.153366607552377,CAR,0.0,0.0,,,,FLEX,showdown,35.518292682926834,4.477672217666878,True
00-0038102,Kenny Pickett,QB,CAR,11400,43716755,1.9300000000000002,1.6299000000000003,1.0400384303979038,1.0,1.851216404186749,ARI,0.0,0.0,,,,CPT,showdown,30.640243902439025,0.646916631097936,True
00-0038640,Jalen Brooks,WR,ARI,11400,43716793,2.4300000000000006,1.8060000000000003,0.8647810592275972,1.0,1.8316062834440512,CAR,0.0,0.0,,,,CPT,showdown,29.420731707317074,0.5964030033211264,True
00-0036265,A.J. Dillon,RB,CAR,7600,43716714,1.5166666666666668,1.5510000000000002,1.1940378460178651,1.0,1.8314550494837354,ARI,0.0,0.0,,,,FLEX,showdown,34.29878048780488,4.128039116836078,True
00-0038840,Brycen Tremayne,WR,CAR,7600,43716731,2.0,1.645,0.9815399007789108,1.0,1.788856469169565,ARI,0.0,0.0,,,,FLEX,showdown,33.079268292682926,3.8057066533128117,True
00-0038397,Evan Hull,RB,ARI,11400,43761177,1.6000000000000003,1.2360000000000002,1.0994897617548982,1.0,1.559076482168446,CAR,0.0,0.0,,,,CPT,showdown,28.201219512195124,0.5498336652232564,True
00-0039737,Tip Reiman,TE,ARI,7600,43716703,1.6,1.375,1.0312886580299652,1.0,1.5340418788195733,CAR,0.0,0.0,,,,FLEX,showdown,31.859756097560975,3.508543093014625,True
00-0033589,David Moore,WR,CAR,11400,43716794,1.35,1.490625,0.9815399007789108,1.0,1.3940933903250468,ARI,0.0,0.0,,,,CPT,showdown,26.981707317073173,0.5069006321721369,True
00-0038102,Kenny Pickett,QB,CAR,7600,43716696,1.2866666666666668,1.0866000000000002,1.0400384303979038,1.0,1.2341442694578326,ARI,0.0,0.0,,,,FLEX,showdown,30.640243902439025,3.23458315548968,True
00-0038640,Jalen Brooks,WR,ARI,7600,43716734,1.6200000000000003,1.2040000000000002,0.8647810592275972,1.0,1.2210708556293675,CAR,0.0,0.0,,,,FLEX,showdown,29.420731707317074,2.982015016605632,True
00-0038397,Evan Hull,RB,ARI,7600,43761173,1.0666666666666669,0.8240000000000001,1.0994897617548982,1.0,1.0393843214456306,CAR,0.0,0.0,,,,FLEX,showdown,28.201219512195124,2.7491683261162816,True
00-0033589,David Moore,WR,CAR,7600,43716735,0.9,0.99375,0.9815399007789108,1.0,0.9293955935500312,ARI,0.0,0.0,,,,FLEX,showdown,26.981707317073173,2.5345031608606843,True
00-0040644,Trevor Etienne,RB,CAR,11400,43716766,1.2088235294117649,0.16799999999999987,1.1940378460178651,1.0,0.821989700702769,ARI,0.0,0.0,,,,CPT,showdown,25.762195121951223,0.467319968107409,True
00-0040644,Trevor Etienne,RB,CAR,7600,43716707,0.8058823529411765,0.1119999999999999,1.1940378460178651,1.0,0.547993133801846,ARI,0.0,0.0,,,,FLEX,showdown,25.762195121951223,2.336599840537045,True
00-0036331,Devin Duvernay,WR,ARI,11400,43716787,0.4058823529411765,0.40800000000000003,0.8647810592275972,1.0,0.3519150216315599,CAR,0.0,0.0,,,,CPT,showdown,24.54268292682927,0.43082990773968494,True
00-0036331,Devin Duvernay,WR,ARI,7600,43716728,0.2705882352941177,0.272,0.8647810592275972,1.0,0.23461001442103993,CAR,0.0,0.0,,,,FLEX,showdown,24.54268292682927,2.1541495386984244,True
00-0036825,Feleipe Franks,TE,CAR,11400,43716776,0.06,0.06,1.2737366136715011,1.0,0.07642419682029007,ARI,0.0,0.0,,,,CPT,showdown,23.323170731707318,0.3971891253752799,True
00-0036825,Feleipe Franks,TE,CAR,7600,43716717,0.04,0.04,1.2737366136715011,1.0,0.05094946454686005,ARI,0.0,0.0,,,,FLEX,showdown,23.323170731707318,1.9859456268763995,True
00-0035289,Gardner Minshew II,QB,ARI,11400,43716756,-0.12,0.18586956521739104,0.8475616769546165,1.0,0.02791425957796171,CAR,0.0,0.0,,,,CPT,showdown,22.103658536585368,0.36617513891746983,True
00-0035289,Gardner Minshew II,QB,ARI,7600,43716697,-0.08,0.1239130434782607,0.8475616769546165,1.0,0.018609506385307808,CAR,0.0,0.0,,,,FLEX,showdown,22.103658536585368,1.830875694587349,True
00-0036646,Simi Fehoko,WR,ARI,11400,43716791,0.0,0.0,0.8647810592275972,1.0,0.0,CAR,0.0,0.0,,,,CPT,showdown,19.664634146341463,0.0,True
00-0037277,Teagan Quitoriano,TE,ARI,7600,43716718,0.0,0.0,1.0312886580299652,1.0,0.0,CAR,0.0,0.0,,,,FLEX,showdown,19.664634146341463,0.0,True
00-0037277,Teagan Quitoriano,TE,ARI,11400,43716777,0.0,0.0,1.0312886580299652,1.0,0.0,CAR,0.0,0.0,,,,CPT,showdown,19.664634146341463,0.0,True
