player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
DST_ATL,Falcons,DST,ATL,5100,44225942,8.907094719000002,8.907094719000002,0.8506820443586675,0.9334250415282392,8.907094719000002,GB,18.92,43.0,,,8.682,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.938063146000001,0.0,CPT,showdown,60.825471698113205,5.870323322289541,True,2.223373070049204,,ACTIVE
00-0039146,Jayden Reed,WR,GB,9300,44225931,7.7574,7.7574,1.0,1.0837083708370836,0.0,ATL,24.08,43.0,2.0,1.0,9.8184,statline_mc+recal_10_4b,1.1846486040125088,18.79716527980006,0.0,0.0,0.0,0.02575,0.1336245552121323,0.00075,3.29275,1.95825,25.51900966002253,0.15875,5.604513421523466,0.0,CPT,showdown,34.59905660377358,0.0,True,2.251516659536659,Out,OUT
00-0025565,Nick Folk,K,ATL,4800,44225885,8.33835,8.33835,1.0,1.0,8.33835,GB,0.0,0.0,,,4.9898,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33835,0.0,FLEX,showdown,51.53301886792452,24.538127691326366,True,5.9571974560492045,,ACTIVE
00-0037746,Brian Robinson Jr.,RB,ATL,6600,44225939,9.7785,9.7785,1.0,0.8514851485148516,8.326220333954828,GB,18.92,43.0,2.0,1.0,9.6384,statline_mc+recal_10_4b,1.083871668985703,18.85299939301644,0.0,0.0,0.0,6.86675,25.210161473469974,0.1455,1.4355,1.0965,7.54547408622888,0.03575,5.550813555969885,0.0,CPT,showdown,51.67452830188679,0.8467848607762581,True,1.185417017373545,,ACTIVE
00-0038685,Chris Brooks,RB,GB,8100,44225934,7.49445,7.49445,1.0,1.0837083708370836,8.121777649143306,ATL,24.08,43.0,2.0,1.0,9.6648,statline_mc+recal_10_4b,0.957197452602862,18.30829492943825,0.0,0.0,0.0,4.616,19.89563685585676,0.16325,1.62575,1.17475,9.267047471765276,0.046,5.414518432762204,0.0,CPT,showdown,60.35377358490566,0.8467848607762581,True,2.114272915626961,,ACTIVE
00-0040899,Trey Smack,K,GB,5200,44225882,8.06875,8.06875,1.0,1.0,8.06875,ATL,0.0,0.0,,,4.8633,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06875,0.0,FLEX,showdown,48.702830188679236,16.685034169209043,True,4.932869659316666,,ACTIVE
DST_GB,Packers,DST,GB,5000,44225884,8.022647992500001,8.022647992500001,1.1493179556413324,1.1879955073995772,8.022647992500001,ATL,24.08,43.0,,,5.76,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022647992500001,0.0,FLEX,showdown,70.25943396226415,12.482106172217808,True,20.759995010329803,,ACTIVE
00-0040003,Lenny Krieg,K,GB,5200,44225883,7.9954,7.9954,1.0,1.0,7.9954,ATL,0.0,0.0,,,4.8596,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9954,0.0,FLEX,showdown,47.476415094339615,20.516950899016805,True,4.545600733211555,,ACTIVE
00-0037741,Jahan Dotson,WR,ATL,4500,44225943,9.1164,9.1164,1.0,0.8514851485148516,7.762448453327457,GB,18.92,43.0,2.0,1.0,9.60345,statline_mc+recal_10_4b,0.7628741499171634,17.367427996843816,0.0,0.0,0.0,0.016,0.0837226377582893,0.00025,3.3655,1.9755,22.96093371775808,0.1315,5.174965635551638,0.0,CPT,showdown,58.08962264150943,0.8467848607762581,True,1.8180556067348017,,ACTIVE
00-0035700,Josh Jacobs,RB,GB,8400,44225871,6.9864,6.9864,1.0,1.0837083708370836,0.0,ATL,24.08,43.0,0.0,0.0,6.964,statline_mc+recal_10_4b,1.453876598712195,16.324729074665072,0.0,0.0,0.0,6.1455,27.810207143287997,0.20025,2.13075,1.61025,14.075008196944417,0.0735,7.571271534023241,0.0,FLEX,showdown,38.56132075471698,0.0,True,15.44723980014106,Out,OUT
