player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct
00-0027966,Mark Ingram,RB,NO,6700,2793,18.0467,18.0467,1.0703884828836747,1.1227495908346972,21.688184904610694,GB,24.5,45.5,19.04050809674927,statline_mc,5.3747080740047055,43.50917019374687,0.0,0.0,0.0,15.3055,79.40402210500096,0.57925,5.62525,4.19525,41.100326941105955,0.1635,81.93877781033744,12.718146772625198
00-0023436,Alex Smith,QB,KC,6400,1254,21.6756,21.6756,1.0,1.0,21.675636228224395,OAK,0.0,0.0,11.801210127453288,statline_mc,8.205568903306633,37.28036528991308,33.197,273.5239167302955,1.83925,4.5575,19.679295590125705,0.18425,0.0,0.0,0.0,0.0,44.184986421828526,1.1405833780810826
00-0027029,LeSean McCoy,RB,BUF,7400,2707,18.0279,18.0279,1.0462113302928733,1.1342062193126021,21.392276877344532,TB,24.75,46.5,17.0155444042659,statline_mc,5.865057323860958,43.31858365980167,0.0,0.0,0.0,17.52425,73.91365569449988,0.364,6.64175,5.2565,45.31911307894545,0.18125,82.0488357414963,12.811805476691765
00-0027939,Cam Newton,QB,CAR,7000,1378,23.4106,23.4106,0.8980838113435266,0.9623567921440261,20.2332808525846,CHI,21.0,39.5,11.52610464688733,statline_mc,7.410591226772108,35.082736159086465,38.99675,248.38894459212634,1.5135,8.00725,28.159730688995428,0.3475,0.0,0.0,0.0,0.0,54.72778999094788,2.303416459453634
00-0032241,Todd Gurley,RB,LA,8200,2992,21.1036,21.1036,0.8447350587028591,1.111292962356792,19.811010775809027,ARI,24.25,45.5,17.096092616268383,statline_mc,4.3159423481498305,41.394672272865286,0.0,0.0,0.0,20.7615,84.10571365686337,0.599,4.20475,3.21225,27.034394101226905,0.169,77.22601041408382,9.289134281199711
00-0027793,Antonio Brown,WR,PIT,8900,3474,24.1601,24.1601,0.8122070929936971,1.0081833060556464,19.783582218311178,CIN,22.0,40.0,16.8227569302809,statline_mc,6.031970380589189,40.0470030834784,0.0,0.0,0.0,0.0,0.0,0.0,12.16925,7.707,89.44332218311177,0.391,75.90595336998214,9.497816776636824
00-0031236,Brandin Cooks,WR,NE,7400,5255,13.6093,13.6093,1.0618762995456883,1.3633387888707036,19.7021410841171,ATL,29.75,56.5,20.12502268402542,statline_mc,3.835330462598109,42.75890916587508,0.0,0.0,0.0,0.356,3.3182779313825566,0.0165,7.39975,4.4405,105.5106329097884,0.55025,84.99116186166546,17.404738997598066
00-0031407,Blake Bortles,QB,JAX,4700,1442,15.0104,15.0104,1.2645962034818143,1.0081833060556464,19.137445238539215,IND,22.0,41.0,11.059701898908527,statline_mc,6.8110887451430875,34.45966065266225,29.33375,243.07582490813382,1.756,2.63175,16.769122422138636,0.12925,0.0,0.0,0.0,0.0,66.5808871072029,5.0763876309157725
00-0020531,Drew Brees,QB,NO,7600,1151,18.1959,18.1959,0.9312668842298784,1.1227495908346972,19.02521575381571,GB,24.5,45.5,10.96287342980743,statline_mc,6.735838038138055,34.34071189191776,34.6595,263.654251481251,1.84775,1.24925,5.215456945656711,0.059,0.0,0.0,0.0,0.0,62.14761412129833,3.777446982429343
00-0027902,Dez Bryant,WR,DAL,7800,3891,13.1221,13.1221,1.1200698740051755,1.2487725040916529,18.354067931425767,SF,27.25,48.0,18.541192555152115,statline_mc,3.9400714277893853,40.125420085528326,0.0,0.0,0.0,0.0,0.0,0.0,9.3795,4.851,86.31817931425769,0.68275,81.78782281300268,14.057929147729709
