position,ecr,exp_pts
RB,31.58,9.738
RB,31.61,9.738
RB,31.7,9.738
RB,31.71,9.738
RB,31.85,9.738
RB,31.86,9.738
RB,31.88,9.738
RB,32.0,9.738
RB,32.01,9.738
RB,32.16,9.738
RB,32.18,9.738
RB,32.25,9.738
RB,32.28,9.738
RB,32.3,9.738
RB,32.32,9.738
RB,32.36,9.738
RB,32.4,9.738
RB,32.41,9.738
RB,32.45,9.738
RB,32.47,9.738
RB,32.58,9.738
RB,32.59,9.738
RB,32.64,9.738
RB,32.67,9.738
RB,32.75,9.738
RB,32.79,9.738
RB,33.03,9.738
RB,33.12,9.738
RB,33.15,9.738
RB,33.17,9.532
RB,33.29,9.325
RB,33.36,9.325
RB,33.37,9.198
RB,33.38,9.198
RB,33.48,9.198
RB,33.5,9.198
RB,33.53,9.198
RB,33.55,9.198
RB,33.61,9.198
RB,33.62,9.198
RB,33.64,9.198
RB,33.69,9.198
RB,33.72,9.198
RB,33.74,9.198
RB,33.8,9.198
RB,33.82,9.198
RB,33.87,9.198
RB,33.97,9.198
RB,34.05,9.198
RB,34.06,9.198
RB,34.11,9.198
RB,34.13,9.198
RB,34.15,9.198
RB,34.28,9.198
RB,34.3,9.198
RB,34.33,9.198
RB,34.36,9.198
RB,34.41,9.198
RB,34.42,9.198
RB,34.51,9.198
RB,34.55,9.198
RB,34.63,9.198
RB,34.64,9.198
RB,34.72,9.198
RB,34.74,9.198
RB,34.76,9.198
RB,34.82,9.198
RB,34.86,9.198
RB,34.92,9.198
RB,34.97,9.198
RB,35.07,9.198
RB,35.15,9.198
RB,35.18,9.198
RB,35.29,9.198
RB,35.32,9.198
RB,35.35,9.198
RB,35.53,9.198
RB,35.56,9.198
RB,35.61,9.198
RB,35.64,9.198
RB,35.68,9.198
RB,35.71,9.198
RB,35.76,9.198
RB,35.79,9.198
RB,35.85,9.198
RB,35.89,9.198
RB,35.93,9.198
RB,35.99,9.198
RB,36.02,9.198
RB,36.04,9.198
RB,36.32,9.198
RB,36.33,9.198
RB,36.36,9.198
RB,36.37,9.198
RB,36.42,9.198
RB,36.45,9.198
RB,36.5,9.198
RB,36.63,9.198
RB,36.64,9.198
RB,36.65,9.198
RB,36.68,9.198
RB,36.7,9.198
RB,36.71,9.198
RB,36.73,9.198
RB,36.83,9.198
RB,36.88,9.198
RB,36.9,9.198
RB,36.98,9.198
RB,37.13,9.198
RB,37.24,9.198
RB,37.26,9.198
RB,37.27,9.198
RB,37.39,9.198
RB,37.45,9.198
RB,37.49,9.198
RB,37.53,9.198
RB,37.58,9.198
RB,37.62,9.198
RB,37.66,9.198
RB,37.67,9.198
RB,37.68,9.198
RB,37.69,9.198
RB,37.76,9.198
RB,37.87,9.198
RB,37.89,9.198
RB,37.9,9.198
RB,38.03,9.198
RB,38.05,9.198
RB,38.09,9.198
RB,38.1,8.804
RB,38.13,8.804
RB,38.15,8.804
RB,38.18,8.804
RB,38.21,8.804
RB,38.24,8.804
RB,38.29,8.804
RB,38.3,8.804
RB,38.38,8.804
RB,38.39,8.804
RB,38.42,8.804
RB,38.46,8.804
RB,38.47,8.804
RB,38.51,8.804
RB,38.6,8.804
RB,38.71,8.804
RB,38.74,8.804
RB,38.75,8.804
RB,38.84,8.804
RB,38.92,8.804
RB,38.93,8.804
RB,39.05,8.804
RB,39.1,8.804
RB,39.24,8.804
RB,39.29,8.804
RB,39.31,8.804
RB,39.48,8.804
RB,39.53,8.804
RB,39.55,8.804
RB,39.58,8.804
RB,39.7,8.804
RB,39.72,8.804
RB,39.75,8.804
RB,39.87,8.804
RB,39.89,8.804
RB,39.9,8.804
RB,39.91,8.804
RB,39.95,8.804
RB,40.0,8.804
RB,40.16,8.804
RB,40.21,8.804
RB,40.24,8.804
RB,40.25,8.282
RB,40.28,8.282
RB,40.46,8.282
RB,40.51,8.282
RB,40.67,8.282
RB,40.68,8.282
RB,40.69,8.282
RB,40.73,8.282
RB,40.74,8.282
RB,40.86,8.282
RB,40.89,8.282
RB,40.95,8.282
RB,41.03,8.282
RB,41.09,8.282
RB,41.1,8.282
RB,41.15,8.282
RB,41.24,8.282
RB,41.33,8.282
RB,41.37,8.282
RB,41.47,8.282
RB,41.48,8.282
RB,41.57,8.282
RB,41.62,8.282
RB,41.63,8.282
RB,41.65,8.282
RB,41.76,8.282
RB,41.79,8.282
RB,41.87,8.282
RB,41.89,8.282
RB,41.91,8.282
RB,41.95,8.282
RB,41.97,8.282
RB,42.05,8.282
RB,42.1,8.282
RB,42.14,8.282
RB,42.17,8.282
RB,42.23,8.282
RB,42.33,8.282
RB,42.38,8.282
RB,42.4,8.282
RB,42.48,8.282
RB,42.49,8.282
RB,42.56,8.282
RB,42.57,8.282
RB,42.59,8.282
RB,42.62,8.282
RB,42.63,8.282
RB,42.69,8.282
RB,42.72,8.282
RB,42.73,8.282
RB,42.74,8.282
RB,42.75,8.282
RB,42.92,8.282
RB,42.94,8.1
RB,43.0,7.682
RB,43.06,7.682
RB,43.09,7.682
RB,43.11,7.682
RB,43.13,7.682
RB,43.14,7.682
RB,43.15,7.682
RB,43.16,7.682
RB,43.18,7.682
RB,43.21,7.682
RB,43.24,7.682
RB,43.32,7.682
RB,43.5,7.682
RB,43.59,7.682
RB,43.8,7.682
RB,43.88,7.682
RB,43.89,7.682
RB,43.97,7.682
RB,44.03,7.682
RB,44.12,7.682
RB,44.14,7.682
RB,44.17,7.682
RB,44.26,7.682
RB,44.28,7.682
RB,44.33,7.682
RB,44.35,7.682
RB,44.37,7.682
RB,44.46,7.682
RB,44.47,7.682
RB,44.52,7.682
RB,44.54,7.682
RB,44.56,7.682
RB,44.57,7.682
RB,44.7,7.682
RB,44.71,7.682
RB,44.72,7.682
RB,44.76,7.682
RB,44.79,7.682
RB,44.97,7.682
RB,45.1,7.682
RB,45.14,7.682
RB,45.17,7.682
RB,45.21,7.682
RB,45.24,7.682
RB,45.34,7.682
RB,45.41,7.682
RB,45.53,7.682
RB,45.57,7.682
RB,45.61,7.682
RB,45.78,7.682
RB,45.84,7.682
RB,45.88,7.682
RB,45.95,7.682
RB,46.03,7.682
RB,46.05,7.682
RB,46.11,7.682
RB,46.18,7.682
RB,46.21,7.682
RB,46.28,7.682
RB,46.35,7.682
RB,46.36,7.682
RB,46.45,7.682
RB,46.5,7.682
RB,46.52,7.682
RB,46.55,7.682
RB,46.56,7.682
RB,46.57,7.682
RB,46.63,7.682
RB,46.64,7.682
RB,46.74,7.682
RB,46.79,7.682
RB,46.8,7.682
RB,46.82,7.682
RB,46.89,7.682
RB,46.91,7.682
RB,46.97,7.682
RB,47.17,7.682
RB,47.19,7.682
RB,47.21,7.682
RB,47.24,7.682
RB,47.25,7.682
RB,47.26,7.682
RB,47.43,7.682
RB,47.56,7.682
RB,47.59,7.682
RB,47.62,7.682
RB,47.63,7.682
RB,47.7,7.682
RB,47.71,7.682
RB,47.74,7.557
RB,47.82,7.557
RB,47.83,7.557
RB,47.84,7.557
RB,47.93,7.557
RB,47.97,7.557
RB,48.03,7.557
RB,48.23,6.683
RB,48.3,6.683
RB,48.41,6.683
RB,48.53,6.683
RB,48.58,6.563
RB,48.61,6.563
RB,48.62,6.563
RB,48.66,6.563
RB,48.68,6.563
RB,48.74,6.563
RB,48.75,6.563
RB,48.76,6.563
RB,48.81,6.563
RB,48.84,6.563
RB,48.86,6.563
RB,48.88,6.563
RB,48.89,6.563
RB,48.91,6.563
RB,48.92,6.563
RB,48.95,6.563
RB,48.97,6.563
RB,49.02,6.563
RB,49.05,6.563
RB,49.08,6.563
RB,49.1,6.563
RB,49.12,6.563
RB,49.2,6.563
RB,49.29,6.563
RB,49.36,6.563
RB,49.4,6.563
RB,49.41,6.563
RB,49.42,6.563
RB,49.5,6.563
RB,49.51,6.563
RB,49.62,6.563
RB,49.7,6.563
RB,49.74,6.563
RB,49.76,6.563
RB,49.82,6.563
RB,49.83,6.563
RB,49.86,6.563
RB,49.87,6.563
RB,49.88,6.563
RB,49.9,6.563
RB,49.91,6.563
RB,49.95,6.563
RB,50.0,6.563
RB,50.42,6.563
RB,50.43,6.563
RB,50.5,6.563
RB,50.51,6.563
RB,50.55,6.563
RB,50.62,6.563
RB,50.65,6.563
RB,50.69,6.563
RB,50.7,6.563
RB,50.76,6.563
RB,50.94,6.563
RB,51.0,6.563
RB,51.06,6.563
RB,51.12,6.563
RB,51.14,6.563
RB,51.18,6.563
RB,51.21,6.563
RB,51.34,6.563
RB,51.36,6.563
RB,51.38,6.563
RB,51.44,6.563
RB,51.49,6.563
RB,51.61,6.563
RB,51.68,6.563
RB,51.73,6.563
RB,51.75,6.563
RB,51.78,6.563
RB,51.79,6.563
RB,51.9,6.563
RB,51.97,6.563
RB,52.2,6.563
RB,52.21,6.563
RB,52.27,6.563
RB,52.29,6.563
RB,52.33,6.563
RB,52.34,6.563
RB,52.38,6.563
RB,52.4,6.563
RB,52.43,6.563
RB,52.53,6.563
