player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,S
00-0034844,Saquon Barkley,RB,PHI,6900,43727337,12.8759,12.8759,1.1589505966171607,1.1170574781040223,16.669266438977147,WAS,25.03,44.17,16.0,1.0,8.8522,statline_mc+recal_10_4b,4.640276631304973,33.90251485978072,0.0,0.0,0.0,14.3625,73.87023391285047,0.496,1.81325,1.342,14.028499671423182,0.08075,14.263623358427369,2.40564308054978,15.4,23.2,83.22702113708245,17.341985675063217,9.690336767238094,,classic,True,9.0,dk_classic_wk1_main_13Sep2026,1,main,12.250373358427364
00-0038597,Chase Brown,RB,CIN,7100,43727333,13.5698,13.5698,1.0046738358934528,1.2076538297041486,16.464185849631498,TB,27.06,50.44,17.0,1.0,8.4924,statline_mc+recal_10_4b,4.97357463400043,32.70720444231968,0.0,0.0,0.0,11.15925,58.2364060669655,0.3585,3.48525,2.68925,21.94852109458371,0.17125,14.469242716154922,1.9949431334765768,17.2,4.6,93.78497695363728,13.87344587756738,25.30351564907369,,classic,True,18.8,dk_classic_wk1_main_13Sep2026,1,main,11.196992716154922
00-0032764,Derrick Henry,RB,BAL,6700,43727341,15.7054,15.7054,0.907715177244178,1.1407107127582423,16.262011933146763,IND,25.56,48.17,17.0,1.0,9.2152,statline_mc+recal_10_4b,3.1535377000996263,36.39124123144168,0.0,0.0,0.0,15.26325,79.90190236087345,0.76225,0.943,0.6965,6.200518903691594,0.024,14.702742126456506,1.5592698066902564,18.0,14.0,90.96650080999768,18.32344738225568,19.58410446611116,,classic,True,38.3,dk_classic_wk1_main_13Sep2026,1,main,13.327742126456503
00-0037744,Trey McBride,TE,ARI,6800,43728217,24.1279,24.1279,0.7860774817983541,0.8466072856425609,16.057071760677704,LAC,18.97,47.17,17.0,1.0,6.8826,statline_mc+recal_10_4b,7.312218803019241,27.436179406710764,0.0,0.0,0.0,0.0,0.0,0.0,8.83575,6.43825,43.082872451288594,0.365,13.19553724512886,2.8615345155488434,19.1,,76.66124484927347,3.445534957718569,2.9554356042936547,,classic,True,24.5,dk_classic_wk1_main_13Sep2026,1,main,6.498287245128859
00-0039910,Jayden Daniels,QB,WAS,6500,43727238,21.0291,21.0291,0.8913906328931228,0.8541941722297637,16.011987478855275,PHI,19.14,44.17,7.0,1.0,7.7325,statline_mc+recal_10_4b,7.501300490565683,26.151830056422227,30.68375,161.3491346493966,1.00375,5.80425,20.72498465727264,0.17775,0.0,0.0,0.0,0.0,12.84021385170313,3.1717736271521453,17.0,,63.906703928255645,0.5616895423454653,1.336048376848241,,classic,True,17.66,dk_classic_wk1_main_13Sep2026,1,main,13.607963851703127
00-0039150,Bryce Young,QB,CAR,5200,43727251,14.2182,14.2182,1.112361983113228,0.9818323818732916,15.528486244519026,CHI,22.0,46.94,16.0,1.0,8.1001,statline_mc+recal_10_4b,3.400335821115357,30.300351419047875,33.33475,231.37582319630545,1.70725,5.14675,23.77013774583495,0.23525,0.0,0.0,0.0,0.0,19.569046702435717,-4.040560457916687,15.4,9.8,72.64845427560945,4.294543255338668,2.4945965775654586,,classic,True,35.44,dk_classic_wk1_main_13Sep2026,1,main,19.872546702435713
00-0040122,Ashton Jeanty,RB,LV,6600,43727343,14.1456,14.1456,1.131898595170816,0.9679974710378044,15.498987362594494,MIA,21.69,40.39,17.0,1.0,8.5289,statline_mc+recal_10_4b,4.743666824687983,31.382076471600197,0.0,0.0,0.0,13.42875,56.44468513408779,0.33875,3.4355,2.58,19.462858585744726,0.1695,13.709254371983253,1.7897329906112436,14.8,17.5,71.0947022294222,10.07156230809799,3.21616963422171,,classic,True,35.7,dk_classic_wk1_main_13Sep2026,1,main,10.640254371983252
00-0023459,Aaron Rodgers,QB,PIT,5300,43727249,14.2504,14.2504,1.0010103196940177,1.0536846607285644,15.03061955855222,ATL,23.61,40.78,16.0,1.0,7.9728,statline_mc+recal_10_4b,3.96593352578822,28.67613582765085,35.2215,246.72077865349544,1.7365,1.45175,5.827265308278245,0.0655,0.0,0.0,0.0,0.0,17.843057676967643,-2.8124381184154217,14.1,,71.48292440318302,1.166996910278555,2.295326019904252,,classic,True,12.54,dk_classic_wk1_main_13Sep2026,1,main,17.79055767696764
00-0037248,James Cook III,RB,BUF,7200,43727331,15.9277,15.9277,0.9093222268350496,1.017981665024081,14.743876518393938,HOU,22.81,44.5,17.0,1.0,7.7095,statline_mc+recal_10_4b,6.574721795840713,26.863106831592287,0.0,0.0,0.0,9.015,42.57557079304844,0.30775,2.2855,1.79525,13.601068769902897,0.07275,10.003663956295131,4.7402125620988045,18.8,,77.9464389030317,2.042923929953412,5.995902078871038,,classic,True,9.9,dk_classic_wk1_main_13Sep2026,1,main,7.9006639562951335
00-0036973,Travis Etienne Jr.,RB,NO,5900,43727355,17.3994,17.3994,0.8820023837902266,0.9568402848801532,14.68397721522252,DET,21.44,49.83,17.0,1.0,9.2497,statline_mc+recal_10_4b,0.6126680266374591,35.20470926883307,0.0,0.0,0.0,25.974,91.45810205391348,0.59825,2.37,1.69525,11.567757066209689,0.10875,17.044085912012317,-2.3601086967897977,15.7,25.6,79.70820797654864,16.214706002150177,7.037387966923661,,classic,True,14.8,dk_classic_wk1_main_13Sep2026,1,main,14.54458591201232
