player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0039451,Isaiah Williams,WR,NYJ,3300,44157573,6.2716,6.2716,1.0028443722064202,0.922042006129008,5.799089294394044,GB,20.56,44.39,1.0,1.0,5.7097,statline_mc+recal_10_4b,2.3397949982489683,10.982808914805311,0.0,0.0,0.0,0.057,0.28472020410191956,0.001,2.0445,1.29,15.210722757348831,0.0935,3.4592942961450754,2.3397949982489683,1.7,,56.94705882352942,0.3724640742505304,1.8372561686820748,,classic,True
DST_NO,Saints,DST,NO,2300,44157954,5.789766348000001,5.789766348000001,0.7582118607667945,0.8289329911315526,5.789766348000001,BAL,18.53,45.67,,,5.9182,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.789766348000001,0.0,2.0,,41.740196078431374,1.4509922223223313,1.6317357059936612,,classic,True
00-0039794,Braelon Allen,RB,NYJ,4200,44157359,6.0154,6.0154,0.9980357863581328,0.922042006129008,5.535536002191179,GB,20.56,44.39,1.0,1.0,6.5612,statline_mc+recal_10_4b,0.4128836860809917,12.843396727815541,0.0,0.0,0.0,7.10775,26.2461296555284,0.1805,1.51175,1.10025,8.291278217477167,0.0405,5.9677407873005555,-0.4322047851093762,4.0,,52.701406649616374,0.2752348934411624,0.8640595449324284,,classic,True
00-0040138,Jaylin Noel,WR,HOU,3700,44157547,5.3075,5.3075,0.9677366924014628,1.076313625831527,5.528224009237105,CIN,24.0,45.5,1.0,1.0,6.6511,statline_mc+recal_10_4b,0.5222049904615301,11.883171460762785,0.0,0.0,0.0,0.05825,0.47682034914594945,0.00225,2.6055,1.668,24.735559423076953,0.12975,5.12598797722229,0.40223603201481506,7.3,,67.37009803921568,1.104772203318468,3.3919100518589973,,classic,True
DST_MIN,Vikings,DST,MIN,2600,44157952,5.442922071,5.442922071,0.7127900891695127,0.8652785145888592,5.442922071,CHI,21.5,47.5,,,5.8047,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.442922071,0.0,8.0,,31.46446078431373,2.0268023902089713,0.8225017069404403,,classic,True
00-0036290,Cole Kmet,TE,CHI,3000,44157791,4.4487,4.4487,1.0473067915690866,1.1660064279841542,5.432554940679025,MIN,26.0,47.5,1.0,1.0,5.9144,statline_mc+recal_10_4b,0.2804418318422947,12.344071453678755,0.0,0.0,0.0,0.0,0.0,0.0,2.62825,1.783,23.773223930687205,0.189,5.392072393068721,0.040482547610303676,11.5,,81.52533997469955,1.8447096203600142,4.46095917401521,,classic,True
00-0041511,Omar Cooper Jr.,WR,NYJ,3800,44157541,5.7118,5.7118,1.0028443722064202,0.922042006129008,5.281486969980922,GB,20.56,44.39,1.0,1.0,6.0445,statline_mc+recal_10_4b,1.050360490707515,10.682908867370825,0.0,0.0,0.0,0.066,0.2814059366335242,0.002,2.46825,1.5315,18.887358856100548,0.1155,4.231126479273407,1.050360490707515,4.0,,56.34705882352941,0.4180520242058726,1.773542800578722,,classic,True
00-0034975,Justice Hill,RB,BAL,4200,44157355,3.8283,3.8283,1.113413157540697,1.2171313252111517,5.187983700647354,NO,27.14,45.67,1.0,1.0,7.027,statline_mc+recal_10_4b,0.0,14.371367484254261,0.0,0.0,0.0,5.178,28.662402145512313,0.20325,1.5,1.13875,12.871073007271676,0.05825,7.0428475152784,-1.8548638146310452,3.8,,67.77573529411765,0.3698815341745215,3.401715687539654,,classic,True
00-0040162,Dylan Sampson,RB,CLE,4400,44157347,6.704,6.704,1.0307547423651289,0.7435533298452798,5.138056418978535,TB,16.58,41.5,1.0,1.0,5.1706,statline_mc+recal_10_4b,2.459641607731812,9.726701546482055,0.0,0.0,0.0,3.02025,9.937828971091731,0.06825,1.06625,0.80725,4.78942891212235,0.02875,2.8544757883214085,2.2835806306571267,0.0,,42.62201619778345,0.18333474205294673,0.34561777271281524,,classic,True
00-0041048,Ted Hurst III,WR,TB,3200,44157581,4.1178,4.1178,1.1153189760260056,1.1175723148217356,5.132647180350427,CLE,24.92,41.5,1.0,1.0,6.4468,statline_mc+recal_10_4b,0.030182465014289298,12.075653428768439,0.0,0.0,0.0,0.05175,0.28794286754574044,0.002,2.64625,1.68075,24.454010364331282,0.15325,5.218695323187704,-0.08604814283727613,6.6,,60.382843137254895,0.5440460858772217,2.248758318888704,,classic,True
