player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,eng,tier,pw
00-0038597,Chase Brown,RB,CIN,7100,43727333,13.6183,13.6183,1.0,1.2076538297041486,16.446245759804718,TB,27.06,50.44,17.0,1.0,8.4815,statline_mc+recal_10_4b,5.005919422396197,32.65711140558521,0.0,0.0,0.0,11.15925,57.96548490304424,0.3575,3.48525,2.68925,21.84641453817195,0.17075,14.41393994412162,2.032305815683099,17.2,4.6,94.100413195248,14.178232393612772,25.988845885796973,,classic,True,18.8,dk_classic_wk1_main_13Sep2026,1,main,14.41393994412162,6-7.5k,00-0038597_1
00-0040743,Tyler Shough,QB,NO,5600,43727245,16.9812,16.9812,1.0,0.9568402848801532,16.248288275418815,DET,21.44,49.83,11.0,1.0,8.0371,statline_mc+recal_10_4b,4.458943608692402,30.259944432218337,35.63725,248.67429385894604,1.14975,6.6025,26.137941196607454,0.3075,0.0,0.0,0.0,0.0,18.788265874018588,-2.539977598599773,15.6,,75.21820133889099,0.6870285856687354,2.995773236979195,,classic,True,29.2,dk_classic_wk1_main_13Sep2026,1,main,18.788265874018588,5-6k,00-0040743_1
00-0035710,Daniel Jones,QB,IND,5400,43727247,16.0112,16.0112,1.0,1.0090559160979602,16.156225821802387,BAL,22.61,48.17,13.0,1.0,8.0612,statline_mc+recal_10_4b,4.068656027044014,30.713092499215676,34.96325,284.550684625679,1.69525,1.7875,7.240200428611124,0.11375,0.0,0.0,0.0,0.0,19.78354742788828,-3.627321606085889,18.7,,78.46453833522799,2.39870467179808,3.777579982073462,,classic,True,10.04,dk_classic_wk1_main_13Sep2026,1,main,19.78354742788828,5-6k,00-0035710_1
00-0034844,Saquon Barkley,RB,PHI,6900,43727337,14.3988,14.3988,1.0,1.1170574781040223,16.084284975111103,WAS,25.03,44.17,16.0,1.0,8.4436,statline_mc+recal_10_4b,5.605057937112051,31.346419204897288,0.0,0.0,0.0,14.3625,63.738898041442766,0.42875,1.81325,1.342,12.1044846194227,0.07275,12.460338266086548,3.6239467090245543,15.4,23.2,83.12634999614285,14.94108336637774,9.583331934124,,classic,True,9.0,dk_classic_wk1_main_13Sep2026,1,main,12.460338266086548,6-7.5k,00-0034844_1
00-0040666,Omarion Hampton,RB,LAC,6800,43727339,12.6615,12.6615,1.0,1.2580843111367317,15.929283083673548,ARI,28.19,47.17,9.0,1.0,8.8023,statline_mc+recal_10_4b,3.6043990371704058,33.699269415095614,0.0,0.0,0.0,10.94725,59.40391863937064,0.4055,3.89575,3.218,28.65786778765801,0.15375,16.00417864270287,-0.0748955590293203,13.9,4.9,90.84442258736402,12.380531547445594,19.330193343277127,,classic,True,9.3,dk_classic_wk1_main_13Sep2026,1,main,16.00417864270287,6-7.5k,00-0040666_1
00-0036264,Jordan Love,QB,GB,5700,43727244,16.0406,16.0406,1.0,0.9916507056920244,15.906653841751645,MIN,22.22,46.06,15.0,1.0,7.9385,statline_mc+recal_10_4b,5.347455791364974,29.43138856188652,31.02425,237.04888826353795,1.603,2.5875,10.799088799285228,0.07425,0.0,0.0,0.0,0.0,17.415114410470043,-1.508460568718398,17.6,,72.44797587469999,0.702653247117555,2.4579535826142167,,classic,True,24.48,dk_classic_wk1_main_13Sep2026,1,main,17.415114410470043,5-6k,00-0036264_1
00-0036973,Travis Etienne Jr.,RB,NO,5900,43727355,16.0554,16.0554,1.0,0.9568402848801532,15.362477280100707,DET,21.44,49.83,17.0,1.0,9.6255,statline_mc+recal_10_4b,0.0,37.49265148668879,0.0,0.0,0.0,25.974,103.69371300436946,0.679,2.37,1.69525,13.11533537641882,0.12225,19.135654838078825,-3.7731775579781175,15.7,25.6,80.14444958728689,17.59862736708553,7.307808815753198,,classic,True,14.8,dk_classic_wk1_main_13Sep2026,1,main,19.135654838078825,5-6k,00-0036973_1
00-0040122,Ashton Jeanty,RB,LV,6600,43727343,15.5639,15.5639,1.0,0.9679974710378044,15.065822338509602,MIA,21.69,40.39,17.0,1.0,8.2032,statline_mc+recal_10_4b,5.397163688557073,29.49274298024838,0.0,0.0,0.0,13.42875,49.86726317614136,0.298,3.4355,2.58,17.194878294559206,0.1525,12.373964147070058,2.691858191439543,14.8,17.5,70.28933310190543,8.661999259148404,2.9832812839059466,,classic,True,35.7,dk_classic_wk1_main_13Sep2026,1,main,12.373964147070058,6-7.5k,00-0040122_1
00-0037248,James Cook III,RB,BUF,7200,43727331,14.7595,14.7595,1.0,1.017981665024081,15.024867968463854,HOU,22.81,44.5,17.0,1.0,7.9505,statline_mc+recal_10_4b,6.109075844967195,27.846520974781058,0.0,0.0,0.0,9.015,46.82121423693256,0.341,2.2855,1.79525,14.957369751361112,0.07975,10.869858398829368,4.155009569634485,18.8,,77.84576776209211,2.918815931426281,5.929692769872911,,classic,True,9.9,dk_classic_wk1_main_13Sep2026,1,main,10.869858398829368,6-7.5k,00-0037248_1
00-0023459,Aaron Rodgers,QB,PIT,5300,43727249,14.2557,14.2557,1.0,1.0536846607285644,15.020967329704696,ATL,23.61,40.78,16.0,1.0,7.9714,statline_mc+recal_10_4b,3.969099281204584,28.635960973664364,35.2215,246.47176337693648,1.735,1.45175,5.821383849528631,0.06525,0.0,0.0,0.0,0.0,17.82125892003032,-2.8002915903256245,14.1,,71.09830901856763,0.6222142313862876,2.232058717548636,,classic,True,12.54,dk_classic_wk1_main_13Sep2026,1,main,17.82125892003032,5-6k,00-0023459_1
