baseline,add,slate,corr,mae,chalk_bias,chalk_hit,chalk_n,miss12,cheap_miss12,eta2,eta2_perm,eta2_p
ffc,qb_share,week2,0.7985,5.2018,-3.5285,33,35,16,2,,,
ffc,tm_unstk,POOLED,0.7672,5.9589,-4.1011,57,62,40,6,0.3019,0.2492,0.0660
ffc,tm_unstk,wk1_afternoon_,0.7479,10.0265,-7.4990,12,14,9,1,,,
ffc,tm_unstk,wk1_early_13Se,0.6829,6.2754,2.9777,7,7,9,2,,,
ffc,tm_unstk,wk1_main_13Sep,0.6365,5.4592,-7.7548,5,6,5,1,,,
ffc,tm_unstk,wk2_afternoon_,0.8681,4.9908,-1.2867,17,17,4,1,,,
ffc,tm_unstk,wk2_early_20Se,0.7428,5.7837,-5.8220,10,11,9,1,,,
ffc,tm_unstk,wk2_main_20Sep,0.7175,4.7427,-5.3836,6,7,4,0,,,
ffc,tm_unstk,week1,0.7443,6.7596,-4.8396,24,27,23,4,,,
ffc,tm_unstk,week2,0.8001,5.1719,-3.5314,33,35,17,2,,,
ffc,tm_stk,POOLED,0.7650,6.0054,-4.0886,57,62,41,6,0.3008,0.2492,0.0850
ffc,tm_stk,wk1_afternoon_,0.7466,10.0651,-7.5376,12,14,10,1,,,
ffc,tm_stk,wk1_early_13Se,0.6813,6.3387,3.1698,7,7,9,2,,,
ffc,tm_stk,wk1_main_13Sep,0.6354,5.4817,-7.6778,5,6,5,1,,,
ffc,tm_stk,wk2_afternoon_,0.8688,5.0232,-1.1672,17,17,4,1,,,
ffc,tm_stk,wk2_early_20Se,0.7351,5.8791,-5.9979,10,11,9,1,,,
ffc,tm_stk,wk2_main_20Sep,0.7143,4.7650,-5.4670,6,7,4,0,,,
ffc,tm_stk,week1,0.7427,6.8015,-4.7927,24,27,24,4,,,
ffc,tm_stk,week2,0.7976,5.2185,-3.5454,33,35,17,2,,,
ffc,env,POOLED,0.7668,6.0159,-4.1927,57,62,43,6,0.2971,0.2492,0.1050
ffc,env,wk1_afternoon_,0.7388,10.6095,-7.4007,12,14,12,1,,,
ffc,env,wk1_early_13Se,0.6856,6.3621,2.9091,7,7,10,2,,,
ffc,env,wk1_main_13Sep,0.6440,5.2961,-7.7992,5,6,5,1,,,
ffc,env,wk2_afternoon_,0.8664,5.0613,-1.3149,17,17,3,1,,,
ffc,env,wk2_early_20Se,0.7454,5.7657,-6.1018,10,11,9,1,,,
ffc,env,wk2_main_20Sep,0.7071,4.8449,-5.7764,6,7,4,0,,,
ffc,env,week1,0.7457,6.8234,-4.8163,24,27,27,4,,,
ffc,env,week2,0.7978,5.2268,-3.7116,33,35,16,2,,,
ffc,combo,POOLED,0.7676,6.1665,-3.5379,57,62,44,9,0.3046,0.2539,0.0800
ffc,combo,wk1_afternoon_,0.7585,10.6678,-6.1597,12,14,11,3,,,
ffc,combo,wk1_early_13Se,0.6927,6.7008,5.3686,7,7,10,3,,,
ffc,combo,wk1_main_13Sep,0.6213,5.7116,-7.1476,5,6,6,1,,,
ffc,combo,wk2_afternoon_,0.8660,5.0997,-1.2108,17,17,4,1,,,
ffc,combo,wk2_early_20Se,0.7455,5.7649,-6.1023,10,11,9,1,,,
ffc,combo,wk2_main_20Sep,0.7050,4.8699,-5.7285,6,7,4,0,,,
ffc,combo,week1,0.7493,7.1243,-3.3904,24,27,27,7,,,
ffc,combo,week2,0.7972,5.2467,-3.6517,33,35,17,2,,,
